element,GW,starts,understat_matches
3,2,0,1
3,3,1,1
3,4,1,1
3,5,1,1
3,6,1,1
3,10,1,1
3,13,0,1
3,14,1,1
3,18,1,1
3,19,1,1
3,20,1,1
3,21,1,1
3,22,1,1
3,24,1,1
3,25,0,1
3,26,1,1
3,27,1,1
3,28,1,1
3,29,1,1
3,34,1,1
4,1,1,1
4,2,1,1
4,3,1,1
4,4,1,1
4,5,1,1
4,6,1,1
4,7,1,1
4,8,1,1
4,9,1,1
4,10,1,1
4,11,1,1
4,12,1,1
4,13,1,1
4,16,1,1
4,17,1,1
4,18,1,1
4,19,1,1
4,22,0,1
4,23,0,1
4,24,1,1
4,25,1,1
4,26,0,1
4,27,1,1
4,29,1,1
4,30,1,1
4,34,1,1
4,35,1,1
4,37,1,1
4,38,1,1
5,13,0,1
5,19,1,1
5,20,1,1
5,21,1,1
5,22,1,1
5,23,1,1
5,24,1,1
5,26,1,1
5,28,1,1
5,30,0,1
6,1,1,1
6,2,1,1
6,3,1,1
6,5,0,1
6,6,1,1
6,7,1,1
6,8,1,1
6,10,0,1
6,11,1,1
6,12,1,1
6,14,0,1
6,15,1,1
6,16,0,1
6,17,1,1
6,18,1,1
6,19,1,1
6,20,1,1
6,21,1,1
6,22,1,1
6,23,1,1
6,25,0,1
6,26,1,1
6,27,0,1
6,28,1,1
6,29,1,1
6,30,1,1
6,31,1,1
6,32,1,1
6,35,0,2
6,38,0,1
7,6,0,1
7,7,0,1
7,15,0,1
8,1,1,1
8,2,1,1
8,3,1,1
8,4,1,1
8,5,1,1
8,6,1,1
8,7,1,1
8,8,1,1
8,9,1,1
8,10,1,1
8,11,1,1
8,12,1,1
8,13,1,1
8,14,1,1
8,15,1,1
8,16,1,1
8,17,1,1
8,18,1,1
8,19,1,1
8,20,1,1
8,21,1,1
8,22,1,1
8,24,1,1
8,25,1,1
8,26,1,1
8,27,1,1
8,28,1,1
8,29,1,1
8,30,1,1
8,31,1,1
8,33,1,1
8,35,2,2
8,37,1,1
8,38,1,1
9,1,1,1
9,2,1,1
9,3,1,1
9,4,0,1
9,5,1,1
9,6,1,1
9,9,1,1
9,10,1,1
9,11,1,1
9,12,1,1
9,15,1,1
9,16,1,1
9,17,1,1
9,18,1,1
9,19,1,1
9,20,1,1
9,21,1,1
9,22,1,1
9,23,1,1
9,24,1,1
9,25,1,1
9,26,1,1
9,27,1,1
9,28,1,1
9,29,1,1
9,31,1,1
9,32,1,1
9,33,1,1
9,34,1,1
9,37,0,1
9,38,1,1
10,15,1,1
10,16,1,1
10,17,1,1
10,25,1,1
10,26,1,1
10,27,1,1
10,29,1,1
10,31,1,1
10,33,1,1
10,35,1,1
11,1,1,1
11,2,1,1
11,3,1,1
11,4,1,1
11,5,1,1
11,6,1,1
11,7,1,1
11,8,1,1
11,9,1,1
11,10,1,1
11,11,1,1
11,12,1,1
11,15,1,1
11,16,1,1
11,17,1,1
11,18,1,1
11,20,1,1
11,21,1,1
11,22,1,1
11,23,1,1
11,24,1,1
11,25,1,1
11,32,1,1
11,34,1,1
11,35,0,1
12,2,1,1
12,3,1,1
12,4,1,1
12,5,1,1
12,6,1,1
12,7,1,1
12,8,1,1
12,9,1,1
12,10,1,1
12,12,1,1
12,13,1,1
12,14,1,1
12,15,1,1
12,16,1,1
12,17,1,1
12,19,2,2
12,20,1,1
12,21,1,1
12,22,1,1
12,23,1,1
12,24,1,1
12,25,1,1
12,26,2,2
12,27,1,1
12,28,1,1
12,29,1,1
12,30,1,1
12,31,1,1
12,32,1,1
12,33,1,1
12,34,1,1
12,35,2,2
12,36,1,1
12,37,1,1
12,38,1,1
13,27,1,1
13,29,1,1
13,30,1,1
13,31,1,1
13,33,1,1
13,34,0,1
13,35,1,2
13,37,1,1
13,38,1,1
14,2,1,1
15,1,1,1
15,3,1,1
15,4,0,1
15,7,0,1
15,9,0,1
15,12,0,1
15,13,1,1
15,14,1,1
15,16,0,1
15,17,0,1
15,18,1,1
15,23,1,1
15,24,1,1
15,25,1,1
15,26,2,2
15,27,1,1
15,28,1,1
15,30,1,1
15,31,1,1
15,32,1,1
15,33,1,1
15,34,1,1
15,36,0,1
15,37,1,1
15,38,1,1
16,1,1,1
16,2,1,1
16,3,1,1
16,7,1,1
16,8,1,1
16,9,1,1
16,10,0,1
16,11,1,1
16,12,1,1
16,13,1,1
16,14,1,1
16,15,1,1
16,16,1,1
16,17,1,1
16,18,1,1
16,19,1,1
16,20,1,1
16,21,1,1
16,22,1,1
16,23,1,1
16,24,0,1
16,25,1,1
16,30,1,1
16,31,1,1
16,32,1,1
16,33,1,1
16,35,2,2
16,37,1,1
16,38,1,1
17,1,1,1
17,3,1,1
17,4,1,1
17,5,1,1
17,6,1,1
17,7,1,1
17,8,1,1
17,9,1,1
17,10,1,1
17,11,1,1
17,12,1,1
17,13,1,1
17,14,1,1
17,15,1,1
17,16,1,1
17,17,1,1
17,19,1,1
17,25,1,1
17,26,1,1
17,27,1,1
17,28,1,1
17,29,1,1
17,30,1,1
17,35,1,2
17,37,1,1
17,38,1,1
18,1,0,1
18,2,0,1
18,3,0,1
18,4,0,1
18,5,1,1
18,6,0,1
18,8,0,1
18,9,1,1
18,13,1,1
18,14,1,1
18,15,0,1
18,18,0,1
18,20,1,1
18,21,1,1
18,22,1,1
18,23,1,1
18,25,1,1
18,26,1,1
18,27,0,1
18,28,0,1
18,29,0,1
18,30,1,1
18,31,1,1
18,32,0,1
18,33,1,1
18,34,0,1
18,35,1,1
18,37,1,1
18,38,1,1
20,9,1,1
20,10,1,1
20,13,0,1
20,14,0,1
20,15,0,1
20,17,0,1
20,20,0,1
20,23,1,1
20,24,1,1
20,25,1,1
20,26,1,1
20,27,1,1
20,28,1,1
20,29,1,1
20,30,0,1
20,32,0,1
20,33,0,1
20,35,1,1
20,36,1,1
20,37,1,1
20,38,1,1
21,9,0,1
21,10,0,1
22,1,0,1
22,2,0,1
22,3,0,1
22,4,1,1
22,5,0,1
22,6,0,1
22,7,0,1
22,8,0,1
22,11,0,1
22,12,0,1
22,13,1,1
22,14,1,1
22,18,0,1
22,21,0,1
22,31,0,1
22,32,0,1
22,33,1,1
23,15,1,1
23,16,1,1
23,17,1,1
23,18,1,1
23,19,1,1
23,20,1,1
23,21,1,1
23,22,1,1
23,23,1,1
23,24,1,1
23,25,0,1
23,26,1,1
23,28,1,1
23,29,0,1
23,32,1,1
23,33,1,1
23,35,2,2
23,37,1,1
23,38,1,1
24,2,1,1
24,4,1,1
24,5,1,1
24,6,1,1
24,7,1,1
24,8,1,1
24,9,0,1
24,10,1,1
24,11,1,1
24,12,1,1
24,13,1,1
24,14,1,1
24,15,1,1
24,16,1,1
24,17,1,1
24,18,1,1
24,19,1,1
24,20,1,1
24,22,1,1
24,23,1,1
24,24,1,1
24,25,1,1
24,27,1,1
24,28,1,1
24,29,1,1
24,31,1,1
24,32,1,1
24,33,1,1
24,35,2,2
24,37,1,1
24,38,0,1
26,14,0,1
26,15,1,1
26,16,1,1
26,19,0,1
26,21,1,1
26,29,0,1
26,30,0,1
26,31,1,1
26,32,1,1
26,33,0,1
26,34,1,1
26,35,1,1
26,37,0,1
26,38,0,1
29,4,0,1
29,7,0,1
29,10,0,1
29,13,1,1
29,15,0,1
29,24,0,1
29,25,1,1
29,26,2,2
29,27,1,1
29,28,1,1
29,33,1,1
29,35,0,1
29,36,1,1
31,19,0,1
33,2,1,1
33,3,1,1
33,9,0,1
33,10,1,1
37,2,1,1
37,3,1,1
37,4,1,1
37,5,1,1
37,6,1,1
37,7,1,1
37,8,1,1
37,9,1,1
37,10,1,1
37,12,1,1
37,13,1,1
37,14,1,1
37,15,1,1
37,16,1,1
37,17,1,1
37,19,2,2
37,20,1,1
37,21,1,1
37,22,1,1
37,23,1,1
37,24,1,1
37,35,0,1
37,36,0,1
37,37,1,1
37,38,1,1
38,2,1,1
38,3,1,1
38,4,1,1
38,5,1,1
38,6,1,1
38,7,1,1
38,8,1,1
38,9,1,1
38,10,1,1
38,12,1,1
38,13,1,1
38,14,1,1
38,15,1,1
38,16,1,1
38,17,1,1
38,19,1,1
38,20,1,1
38,21,1,1
38,22,1,1
38,23,1,1
38,24,1,1
38,25,1,1
38,26,2,2
38,27,1,1
38,28,1,1
38,29,1,1
38,30,1,1
38,31,1,1
38,32,1,1
38,33,1,1
38,34,1,1
38,35,2,2
38,36,1,1
38,37,1,1
38,38,1,1
39,13,1,1
39,14,1,1
39,15,1,1
39,16,1,1
39,36,1,1
39,37,1,1
39,38,1,1
40,2,1,1
