element,GW,expected_goals,expected_assists
3,5,0.074498,0.000000
3,10,0.034282,0.073810
3,14,0.042206,0.000000
3,19,0.148231,0.000000
3,21,0.102848,0.000000
3,24,0.000000,0.354515
3,26,0.102556,0.000000
3,29,0.016647,0.000000
3,34,0.093878,0.000000
4,1,0.259612,0.052600
4,2,0.043428,0.388912
4,4,0.065236,0.000000
4,5,0.000000,0.392184
4,6,0.114838,0.052904
4,7,0.758279,0.046082
4,8,0.000000,0.143062
4,9,0.219634,0.011333
4,10,0.241449,0.000000
4,11,0.172209,0.000000
4,12,0.202759,0.065533
4,13,0.344355,0.070274
4,16,0.661783,0.000000
4,17,0.779655,0.000000
4,18,0.036965,0.000000
4,19,1.123648,0.000000
4,22,0.106429,0.000000
4,23,0.039071,0.000000
4,24,1.954096,0.063163
4,26,0.065017,0.000000
4,27,0.759843,0.000000
4,30,0.000000,0.121493
4,34,0.924038,0.063545
4,35,0.000000,0.451711
4,37,0.493153,0.000000
4,38,0.235158,0.064526
5,19,0.000000,0.497282
5,20,0.029504,0.129762
5,21,0.038746,0.000000
5,22,0.011692,0.000000
5,23,0.000000,0.024147
5,24,0.035647,0.078564
5,28,0.047296,0.000000
5,30,0.024114,0.000000
6,1,0.760950,0.090035
6,2,0.330659,0.000000
6,3,1.039962,0.037765
6,6,0.131038,0.064654
6,7,0.000000,0.060201
6,8,0.220104,0.000000
6,11,0.214841,0.079580
6,12,0.391107,0.102341
6,14,0.037629,0.046765
6,15,1.007678,0.000000
6,16,0.091956,0.000000
6,17,1.626371,0.100839
6,19,0.424572,0.119266
6,20,1.138192,0.374078
6,21,0.077536,0.000000
6,22,0.000000,0.076083
6,23,0.000000,0.092521
6,26,0.699300,0.000000
6,28,1.216687,0.000000
6,29,0.689025,0.135041
6,31,0.832623,0.075390
6,32,0.120957,0.351194
9,1,0.191434,0.066787
9,6,0.053006,0.000000
9,9,0.048693,0.000000
9,15,0.052791,0.000000
9,16,0.131738,0.000000
9,18,0.014648,0.000000
9,19,0.013883,0.000000
9,20,0.000000,0.547856
9,21,0.049139,0.000000
9,22,0.000000,0.022903
9,23,0.034857,0.084962
9,24,0.000000,0.144106
9,25,0.000000,0.055955
9,26,0.000000,0.049929
9,27,0.000000,0.057879
9,28,0.014070,0.000000
9,29,0.000000,0.016981
9,32,0.013346,0.000000
9,33,0.000000,0.043152
9,34,0.036221,0.000000
9,38,0.061721,0.102585
10,16,0.024150,0.044338
10,27,0.013079,0.000000
11,1,0.000000,0.087078
11,4,0.000000,0.376716
11,6,0.059464,0.000000
11,7,0.000000,0.047451
11,8,0.019773,0.000000
11,9,0.000000,0.284173
11,10,0.000000,0.354715
11,11,0.000000,0.038920
11,12,0.015259,0.135616
11,15,0.060110,0.122916
11,16,0.000000,0.105834
11,17,0.024958,0.000000
11,18,0.021468,0.015904
11,21,0.034480,0.040046
11,22,0.000000,0.094689
11,23,0.022425,0.048193
11,24,0.138712,0.016348
11,32,0.202403,0.000000
11,34,0.130750,0.006338
11,35,0.060508,0.000000
12,19,0.000000,0.035158
12,20,0.000000,0.065316
13,27,0.000000,0.081393
13,29,0.017419,0.144437
13,31,0.045565,0.000000
13,33,0.119678,0.085116
13,34,0.043135,0.000000
13,35,0.108592,0.041933
13,37,0.000000,0.432487
13,38,0.000000,0.066963
15,3,0.042448,0.000000
15,12,0.000000,0.022107
15,14,0.000000,0.044462
15,18,0.050779,0.000000
15,24,0.000000,0.066133
15,25,0.068327,0.452457
15,26,0.313935,0.000000
15,27,0.015020,0.000000
15,28,0.012690,0.000000
15,30,0.013994,0.000000
15,32,0.034395,0.000000
15,33,0.091798,0.000000
15,34,0.045826,0.000000
15,38,0.042264,0.086716
16,8,0.099894,0.000000
16,10,0.112563,0.000000
16,12,0.152809,0.000000
16,13,0.022489,0.000000
16,15,0.047140,0.000000
16,16,0.014738,0.000000
16,17,0.042556,0.046047
16,18,0.068114,0.081442
16,20,0.061531,0.000000
16,23,0.052433,0.036544
17,4,0.000000,0.045350
17,5,0.026099,0.000000
17,6,0.000000,0.152029
17,7,0.000000,0.012705
17,8,0.024569,0.215086
17,10,0.034864,0.000000
17,11,0.000000,0.073632
17,12,0.073658,0.424142
17,13,0.000000,0.009481
17,14,0.000000,0.126966
17,15,0.000000,0.095652
17,16,0.000000,0.122470
17,17,0.062983,0.915917
17,19,0.037361,0.036174
17,25,0.014628,0.094273
17,26,0.025748,0.070922
17,27,0.000000,0.273413
17,28,0.011912,0.065267
17,29,0.034147,0.042437
17,35,0.009277,0.042671
17,37,0.000000,0.306966
18,1,0.000000,0.057367
18,2,0.042673,0.000000
18,4,0.085354,0.000000
18,5,0.182942,0.000000
18,8,0.087927,0.000000
18,9,0.012739,0.049175
18,13,0.152540,0.000000
18,14,0.712676,0.000000
18,18,0.010297,0.000000
18,20,0.440534,0.000000
18,21,0.246604,0.093779
18,22,0.120967,0.010402
18,23,0.153068,0.000000
18,25,0.096815,0.000000
18,26,0.940217,0.000000
18,27,0.632832,0.000000
18,29,0.173367,0.447145
18,30,0.112443,0.000000
18,31,0.125621,0.076201
18,32,0.310235,0.000000
18,33,0.048502,0.093245
18,35,0.209321,0.000000
18,37,0.441162,0.000000
18,38,0.173667,0.000000
20,10,0.033330,0.000000
20,14,0.049975,0.015831
20,15,0.049879,0.034437
20,17,0.089984,0.000000
20,23,0.395335,0.227534
20,24,0.129463,0.000000
20,26,0.424693,0.139100
20,27,0.056060,0.089094
20,28,0.000000,0.054481
20,30,0.780236,0.000000
20,32,0.052044,0.000000
20,33,0.093259,0.000000
20,35,0.327455,0.000000
20,36,1.459596,0.000000
20,37,0.487353,0.039232
20,38,0.245858,0.000000
21,10,0.052291,0.000000
22,2,0.528648,0.000000
22,4,0.050972,0.000000
22,8,0.097968,0.078228
22,11,0.000000,0.042935
22,13,0.035740,0.318365
22,14,0.085406,0.000000
22,18,0.040761,0.000000
22,32,0.901849,0.066690
22,33,0.116394,0.100564
23,15,0.127690,0.086477
23,16,0.000000,0.092628
23,17,0.088028,0.730633
23,18,0.021922,0.000000
23,19,0.000000,0.202014
23,20,0.051860,0.000000
23,21,0.059237,0.128652
23,22,0.000000,0.031540
23,23,0.103993,0.058600
23,24,0.045622,0.633610
23,28,0.016646,0.414844
23,29,0.000000,0.009690
23,32,0.055878,0.430450
23,35,0.891872,0.000000
23,38,0.000000,0.141900
24,2,0.154603,0.107638
24,4,0.411343,0.000000
24,5,0.399663,0.008243
24,6,0.175372,0.067216
24,7,0.062020,0.000000
24,9,0.267460,0.149189
24,10,0.398695,0.177687
24,11,0.078465,0.048364
24,12,0.441922,0.064181
24,13,0.028134,0.020008
24,14,0.143904,0.023074
24,15,0.098795,0.000000
24,16,0.232461,0.651290
24,17,0.917795,0.037862
24,18,0.074617,0.060600
24,19,0.297036,0.370041
24,20,0.514449,0.801691
24,22,0.383210,0.000000
24,23,0.054169,0.077215
24,24,0.026059,0.000000
24,25,0.178824,0.000000
24,27,0.778433,0.289610
24,28,0.000000,0.101830
24,29,0.157625,0.008306
24,31,0.043387,0.045775
24,32,0.030560,0.133212
24,33,0.153046,0.079190
24,35,0.084407,0.348428
24,37,0.000000,0.017174
26,14,0.052564,0.000000
26,15,0.291901,0.000000
26,16,0.051626,0.000000
26,19,0.040659,0.000000
26,21,0.000000,0.015226
26,31,0.726188,0.038601
26,32,0.983222,0.456088
26,33,0.052962,0.000000
26,34,0.017295,0.817489
26,35,0.069600,0.099447
26,37,0.702068,0.000000
29,4,0.000000,0.036866
29,13,0.044078,0.254805
29,25,0.000000,0.059569
29,26,0.109126,0.347749
29,27,0.020968,0.000000
29,28,0.000000,0.042879
29,33,0.046601,0.050961
29,35,0.053767,0.000000
29,36,0.038993,0.015934
33,2,0.040101,0.054849
33,3,0.349538,0.696472
33,10,0.132150,0.000000
37,2,0.252446,0.120201
37,3,0.428432,0.172965
37,4,0.350199,1.045594
