season,gw,captured_at,hours_before,events_behind,backfilled,players,flagged
2020-21,1,2020-09-11T01:25Z,32.6,0,true,514,76
2020-21,2,2020-09-16T12:04Z,69.9,0,true,529,99
2020-21,3,2020-09-16T12:04Z,237.9,1,true,529,99
2020-21,4,2020-10-02T17:32Z,16.5,0,true,558,179
2020-21,5,2020-10-08T07:54Z,218.1,0,true,573,206
2020-21,6,2020-10-17T12:20Z,149.2,0,true,577,237
2020-21,7,2020-10-17T12:20Z,318.2,1,true,577,237
2020-21,8,2020-11-06T10:29Z,5.5,0,true,597,300
2020-21,9,2020-11-21T10:13Z,0.8,0,true,600,331
2020-21,10,2020-11-27T11:48Z,6.7,0,true,601,340
2020-21,11,2020-12-05T10:21Z,0.6,0,true,603,349
2020-21,12,2020-12-10T16:34Z,25.9,0,true,604,351
2020-21,13,2020-12-15T14:56Z,1.6,0,true,607,362
2020-21,14,2020-12-19T10:11Z,0.8,0,true,607,367
2020-21,15,2020-12-26T10:26Z,0.6,0,true,611,376
2020-21,16,2020-12-28T12:41Z,0.8,0,true,614,379
2020-21,17,2020-12-31T19:13Z,20.8,0,true,616,381
2020-21,18,2021-01-11T22:39Z,17.8,0,true,628,407
2020-21,19,2021-01-16T09:59Z,1.0,0,true,633,417
2020-21,20,2021-01-26T10:05Z,6.4,0,true,642,437
2020-21,21,2021-01-30T10:23Z,0.6,0,true,645,439
2020-21,22,2021-02-02T10:20Z,6.2,0,true,650,462
2020-21,23,2021-02-05T11:40Z,23.3,0,true,665,467
2020-21,24,2021-02-13T10:49Z,0.2,0,true,667,474
2020-21,25,2021-02-19T16:39Z,1.8,0,true,670,480
2020-21,26,2021-02-27T10:31Z,0.5,0,true,673,490
2020-21,27,2021-03-06T10:29Z,0.5,0,true,682,497
2020-21,28,2021-03-12T15:29Z,3.0,0,true,685,501
2020-21,29,2021-03-19T13:48Z,4.7,0,true,686,505
2020-21,30,2021-04-03T09:37Z,0.4,0,true,686,507
2020-21,31,2021-04-09T08:31Z,9.0,0,true,687,512
2020-21,32,2021-04-16T08:25Z,9.1,0,true,691,517
2020-21,33,2021-04-23T16:32Z,1.0,0,true,691,519
2020-21,34,2021-04-28T08:29Z,57.0,0,true,693,522
2020-21,35,2021-05-07T09:23Z,8.1,0,true,695,524
2020-21,36,2021-05-13T23:25Z,18.1,0,true,703,526
2020-21,37,2021-05-18T09:08Z,6.4,0,true,703,526
2020-21,38,2021-05-23T09:02Z,4.5,0,true,706,528
2021-22,1,2021-08-13T09:52Z,7.6,0,true,529,80
2021-22,2,2021-08-21T09:17Z,0.7,0,true,559,125
2021-22,3,2021-08-28T09:00Z,1.0,0,true,567,166
2021-22,4,2021-09-11T07:33Z,2.4,0,true,594,237
