season,gw,code,status,chance
2020-21,1,15033,d,75
2020-21,1,15749,a,100
2020-21,1,18987,a,100
2020-21,1,19419,i,0
2020-21,1,20529,n,0
2020-21,1,21205,i,0
2020-21,1,33148,u,0
2020-21,1,37402,i,0
2020-21,1,37642,s,0
2020-21,1,40145,i,0
2020-21,1,40694,u,0
2020-21,1,40784,i,0
2020-21,1,41270,d,50
2020-21,1,41823,d,50
2020-21,1,44699,i,0
2020-21,1,49083,n,0
2020-21,1,49413,i,0
2020-21,1,50232,d,75
2020-21,1,51090,d,25
2020-21,1,51927,i,0
2020-21,1,54861,i,0
2020-21,1,56983,d,50
2020-21,1,58845,d,25
2020-21,1,59125,i,0
2020-21,1,61933,n,0
2020-21,1,66838,i,0
2020-21,1,67089,i,0
2020-21,1,69140,i,0
2020-21,1,74230,i,0
2020-21,1,74471,u,0
2020-21,1,80179,i,0
2020-21,1,81880,d,50
2020-21,1,82078,d,75
2020-21,1,83312,n,0
2020-21,1,86153,u,0
2020-21,1,86934,d,75
2020-21,1,91047,i,0
2020-21,1,91651,s,0
2020-21,1,92371,i,0
2020-21,1,101148,a,100
2020-21,1,101184,i,0
2020-21,1,104547,i,0
2020-21,1,106618,d,25
2020-21,1,108053,d,75
2020-21,1,111931,i,0
2020-21,1,114128,i,0
2020-21,1,119471,d,25
2020-21,1,122074,n,0
2020-21,1,124183,i,0
2020-21,1,149266,n,0
2020-21,1,155569,a,100
2020-21,1,160987,i,0
2020-21,1,165809,d,75
2020-21,1,167473,i,0
2020-21,1,167522,u,0
2020-21,1,172780,d,50
2020-21,1,172850,i,0
2020-21,1,173809,u,0
2020-21,1,176413,a,100
2020-21,1,178173,n,0
2020-21,1,181008,u,0
2020-21,1,184386,u,0
2020-21,1,194164,d,25
2020-21,1,207189,d,75
2020-21,1,208998,n,0
2020-21,1,209042,n,0
2020-21,1,213345,i,0
2020-21,1,214285,d,50
2020-21,1,219924,a,100
2020-21,1,222531,n,0
2020-21,1,222677,n,0
2020-21,1,232413,d,75
2020-21,1,232423,i,0
2020-21,1,232977,n,0
2020-21,1,243568,i,0
2020-21,1,444145,i,0
2020-21,2,15033,d,75
2020-21,2,15749,a,100
2020-21,2,18987,a,100
2020-21,2,19419,i,0
2020-21,2,20529,n,0
2020-21,2,21205,i,0
2020-21,2,33148,u,0
2020-21,2,37402,a,100
2020-21,2,37642,s,0
2020-21,2,39155,d,75
2020-21,2,39476,i,0
2020-21,2,40145,i,0
2020-21,2,40694,u,0
2020-21,2,40784,a,100
2020-21,2,41270,i,0
2020-21,2,41823,d,75
2020-21,2,44699,i,0
2020-21,2,49083,n,0
2020-21,2,49413,i,0
2020-21,2,50229,d,75
2020-21,2,50232,a,100
2020-21,2,51090,d,25
2020-21,2,51927,i,0
2020-21,2,54102,d,75
2020-21,2,54861,i,0
2020-21,2,55914,d,75
2020-21,2,56979,a,100
2020-21,2,56983,a,100
2020-21,2,58845,a,100
2020-21,2,59125,i,0
2020-21,2,61933,n,0
2020-21,2,66242,d,50
2020-21,2,66838,i,0
2020-21,2,67089,i,0
2020-21,2,68312,d,75
2020-21,2,69140,i,0
2020-21,2,74230,i,0
2020-21,2,74471,u,0
2020-21,2,77359,n,0
2020-21,2,80179,i,0
2020-21,2,81880,d,50
2020-21,2,82078,i,0
2020-21,2,83312,n,0
2020-21,2,85955,a,100
2020-21,2,86153,u,0
2020-21,2,86934,a,100
2020-21,2,91047,i,0
2020-21,2,91651,a,100
2020-21,2,92371,i,0
2020-21,2,93284,i,0
2020-21,2,101148,a,100
2020-21,2,101184,i,0
2020-21,2,104547,i,0
2020-21,2,106618,d,25
2020-21,2,108053,d,75
2020-21,2,108813,i,0
2020-21,2,111931,i,0
2020-21,2,114128,i,0
2020-21,2,119471,i,0
2020-21,2,122074,n,0
2020-21,2,124183,i,0
2020-21,2,149266,n,0
2020-21,2,155569,a,100
2020-21,2,160987,i,0
2020-21,2,165153,d,75
2020-21,2,165809,d,75
2020-21,2,167473,i,0
2020-21,2,167522,u,0
2020-21,2,172780,a,100
2020-21,2,172850,i,0
2020-21,2,173809,u,0
2020-21,2,176413,d,75
2020-21,2,178173,n,0
2020-21,2,178304,i,0
2020-21,2,180804,i,0
2020-21,2,181008,u,0
2020-21,2,184386,u,0
2020-21,2,194164,i,0
2020-21,2,196118,n,0
2020-21,2,198869,d,75
2020-21,2,199584,i,0
2020-21,2,200826,d,75
2020-21,2,207189,a,100
2020-21,2,208998,n,0
2020-21,2,209042,n,0
2020-21,2,209289,i,0
2020-21,2,213345,i,0
2020-21,2,213405,i,0
2020-21,2,214285,d,75
2020-21,2,219924,a,100
2020-21,2,221272,d,75
2020-21,2,222531,n,0
2020-21,2,222677,n,0
2020-21,2,223175,i,0
2020-21,2,232413,a,100
2020-21,2,232423,i,0
2020-21,2,232977,n,0
2020-21,2,243568,i,0
2020-21,2,444145,i,0
2020-21,3,15033,d,75
2020-21,3,15749,a,100
2020-21,3,18987,a,100
2020-21,3,19419,i,0
2020-21,3,20529,n,0
2020-21,3,21205,i,0
2020-21,3,33148,u,0
2020-21,3,37402,a,100
2020-21,3,37642,s,0
2020-21,3,39155,d,75
2020-21,3,39476,i,0
2020-21,3,40145,i,0
2020-21,3,40694,u,0
2020-21,3,40784,a,100
2020-21,3,41270,i,0
2020-21,3,41823,d,75
2020-21,3,44699,i,0
2020-21,3,49083,n,0
2020-21,3,49413,i,0
2020-21,3,50229,d,75
2020-21,3,50232,a,100
2020-21,3,51090,d,25
