season,arm,points,xpoints,transfers,hits,opening_slots_vs_baseline
2020-21,baseline,1963,2025.07,41,4,0
2020-21,ownership,1972,2026.58,43,6,6
2020-21,price,2056,2081.21,42,7,4
2021-22,baseline,2336,2322.76,44,7,0
2021-22,ownership,2215,2280.30,43,6,1
2021-22,price,2199,2259.41,45,8,3
2022-23,baseline,2086,2110.27,37,1,0
2022-23,ownership,2072,2049.02,37,1,6
2022-23,price,2065,2086.64,37,0,5
2023-24,baseline,2301,2341.36,37,0,0
2023-24,ownership,2331,2322.88,38,1,3
2023-24,price,2305,2295.62,39,2,2
2024-25,baseline,2433,2355.11,33,1,0
2024-25,ownership,2332,2294.68,39,3,5
2024-25,price,2332,2294.68,39,3,4
2025-26,baseline,2137,2055.45,36,1,0
2025-26,ownership,2203,2145.11,35,1,5
2025-26,price,2128,2077.10,38,3,2
