season,arm,gw,gross,net
2020-21,baseline,1,68,68
2020-21,baseline,2,34,34
2020-21,baseline,3,56,56
2020-21,baseline,4,34,34
2020-21,baseline,5,52,52
2020-21,baseline,6,41,41
2020-21,baseline,7,60,60
2020-21,baseline,8,63,63
2020-21,baseline,9,37,37
2020-21,baseline,10,44,44
2020-21,baseline,11,67,67
2020-21,baseline,12,58,54
2020-21,baseline,13,58,58
2020-21,baseline,14,76,76
2020-21,baseline,15,31,31
2020-21,baseline,16,48,48
2020-21,baseline,17,48,44
2020-21,baseline,18,40,40
2020-21,baseline,19,97,97
2020-21,baseline,20,57,57
2020-21,baseline,21,27,23
2020-21,baseline,22,77,77
2020-21,baseline,23,48,48
2020-21,baseline,24,63,63
2020-21,baseline,25,69,69
2020-21,baseline,26,67,67
2020-21,baseline,27,45,45
2020-21,baseline,28,58,54
2020-21,baseline,29,44,44
2020-21,baseline,30,50,50
2020-21,baseline,31,33,33
2020-21,baseline,32,36,36
2020-21,baseline,33,33,33
2020-21,baseline,34,37,37
2020-21,baseline,35,88,88
2020-21,baseline,36,43,43
2020-21,baseline,37,44,44
2020-21,baseline,38,48,48
2020-21,ownership,1,80,80
2020-21,ownership,2,36,36
2020-21,ownership,3,42,42
2020-21,ownership,4,48,48
2020-21,ownership,5,68,68
2020-21,ownership,6,37,37
2020-21,ownership,7,42,42
2020-21,ownership,8,62,62
2020-21,ownership,9,31,31
2020-21,ownership,10,45,45
2020-21,ownership,11,60,60
2020-21,ownership,12,47,47
2020-21,ownership,13,38,38
2020-21,ownership,14,71,71
2020-21,ownership,15,61,57
2020-21,ownership,16,41,41
2020-21,ownership,17,46,42
2020-21,ownership,18,28,24
2020-21,ownership,19,90,90
2020-21,ownership,20,61,61
2020-21,ownership,21,50,50
2020-21,ownership,22,77,73
2020-21,ownership,23,56,56
2020-21,ownership,24,63,63
2020-21,ownership,25,68,68
2020-21,ownership,26,74,70
2020-21,ownership,27,35,35
2020-21,ownership,28,44,44
2020-21,ownership,29,32,32
2020-21,ownership,30,41,41
2020-21,ownership,31,41,41
2020-21,ownership,32,37,37
2020-21,ownership,33,45,41
2020-21,ownership,34,35,35
2020-21,ownership,35,118,118
2020-21,ownership,36,53,53
2020-21,ownership,37,57,57
2020-21,ownership,38,36,36
2020-21,price,1,78,78
2020-21,price,2,48,48
2020-21,price,3,42,42
2020-21,price,4,46,46
2020-21,price,5,61,61
2020-21,price,6,31,27
2020-21,price,7,50,50
2020-21,price,8,64,64
2020-21,price,9,35,35
2020-21,price,10,42,42
2020-21,price,11,70,70
2020-21,price,12,58,54
2020-21,price,13,63,63
2020-21,price,14,76,76
2020-21,price,15,32,32
2020-21,price,16,49,45
2020-21,price,17,49,49
2020-21,price,18,34,34
2020-21,price,19,86,86
2020-21,price,20,60,56
2020-21,price,21,42,42
2020-21,price,22,69,65
2020-21,price,23,57,57
2020-21,price,24,75,75
2020-21,price,25,73,73
2020-21,price,26,76,72
2020-21,price,27,43,43
2020-21,price,28,46,46
2020-21,price,29,40,40
2020-21,price,30,50,50
2020-21,price,31,34,34
2020-21,price,32,50,50
2020-21,price,33,35,31
2020-21,price,34,40,40
2020-21,price,35,108,108
2020-21,price,36,56,56
2020-21,price,37,63,63
2020-21,price,38,53,53
2021-22,baseline,1,90,90
2021-22,baseline,2,53,53
2021-22,baseline,3,51,51
2021-22,baseline,4,70,70
2021-22,baseline,5,62,62
2021-22,baseline,6,54,54
2021-22,baseline,7,62,62
2021-22,baseline,8,66,66
2021-22,baseline,9,85,85
2021-22,baseline,10,37,37
2021-22,baseline,11,68,68
2021-22,baseline,12,72,72
2021-22,baseline,13,47,47
2021-22,baseline,14,61,57
2021-22,baseline,15,62,58
2021-22,baseline,16,65,65
2021-22,baseline,17,63,63
2021-22,baseline,18,51,51
2021-22,baseline,19,26,26
2021-22,baseline,20,37,37
2021-22,baseline,21,65,65
2021-22,baseline,22,58,54
2021-22,baseline,23,39,39
2021-22,baseline,24,67,67
2021-22,baseline,25,59,59
2021-22,baseline,26,62,58
2021-22,baseline,27,59,55
2021-22,baseline,28,74,74
2021-22,baseline,29,96,96
2021-22,baseline,30,73,73
2021-22,baseline,31,58,58
2021-22,baseline,32,91,87
2021-22,baseline,33,47,47
2021-22,baseline,34,51,47
2021-22,baseline,35,63,63
2021-22,baseline,36,96,96
2021-22,baseline,37,47,47
2021-22,baseline,38,77,77
2021-22,ownership,1,90,90
2021-22,ownership,2,53,53
2021-22,ownership,3,51,51
2021-22,ownership,4,70,70
2021-22,ownership,5,62,62
2021-22,ownership,6,54,54
2021-22,ownership,7,62,62
2021-22,ownership,8,66,66
2021-22,ownership,9,85,85
2021-22,ownership,10,37,37
2021-22,ownership,11,68,68
2021-22,ownership,12,72,72
2021-22,ownership,13,42,38
2021-22,ownership,14,54,54
2021-22,ownership,15,65,65
2021-22,ownership,16,64,60
2021-22,ownership,17,53,53
2021-22,ownership,18,41,41
2021-22,ownership,19,26,22
2021-22,ownership,20,54,54
2021-22,ownership,21,66,66
2021-22,ownership,22,64,64
2021-22,ownership,23,28,24
2021-22,ownership,24,65,65
2021-22,ownership,25,62,58
2021-22,ownership,26,85,85
2021-22,ownership,27,33,33
2021-22,ownership,28,61,61
2021-22,ownership,29,109,109
2021-22,ownership,30,47,47
2021-22,ownership,31,41,41
2021-22,ownership,32,50,50
2021-22,ownership,33,82,78
2021-22,ownership,34,49,49
2021-22,ownership,35,46,46
2021-22,ownership,36,81,81
2021-22,ownership,37,42,42
2021-22,ownership,38,59,59
2021-22,price,1,88,88
2021-22,price,2,58,58
2021-22,price,3,46,46
2021-22,price,4,74,74
2021-22,price,5,49,49
2021-22,price,6,49,49
2021-22,price,7,54,54
2021-22,price,8,60,60
2021-22,price,9,81,81
2021-22,price,10,29,29
2021-22,price,11,66,66
2021-22,price,12,64,64
2021-22,price,13,37,37
2021-22,price,14,54,50
2021-22,price,15,65,65
2021-22,price,16,49,49
2021-22,price,17,57,57
2021-22,price,18,50,50
2021-22,price,19,35,35
2021-22,price,20,37,37
2021-22,price,21,75,71
2021-22,price,22,61,57
2021-22,price,23,25,25
2021-22,price,24,61,61
2021-22,price,25,59,59
2021-22,price,26,63,59
2021-22,price,27,61,57
2021-22,price,28,78,78
2021-22,price,29,104,104
2021-22,price,30,64,64
2021-22,price,31,51,51
2021-22,price,32,78,74
2021-22,price,33,46,46
2021-22,price,34,55,51
2021-22,price,35,42,42
2021-22,price,36,95,91
2021-22,price,37,45,45
2021-22,price,38,66,66
2022-23,baseline,1,59,59
2022-23,baseline,2,54,54
2022-23,baseline,3,42,42
2022-23,baseline,4,39,39
2022-23,baseline,5,53,53
2022-23,baseline,6,51,51
2022-23,baseline,7,0,0
2022-23,baseline,8,58,58
2022-23,baseline,9,20,20
2022-23,baseline,10,55,55
2022-23,baseline,11,55,51
2022-23,baseline,12,35,35
2022-23,baseline,13,36,36
2022-23,baseline,14,50,50
2022-23,baseline,15,69,69
2022-23,baseline,16,45,45
2022-23,baseline,17,56,56
2022-23,baseline,18,42,42
2022-23,baseline,19,57,57
2022-23,baseline,20,54,54
2022-23,baseline,21,59,59
2022-23,baseline,22,52,52
2022-23,baseline,23,57,57
2022-23,baseline,24,42,42
2022-23,baseline,25,92,92
2022-23,baseline,26,67,67
2022-23,baseline,27,85,85
2022-23,baseline,28,37,37
2022-23,baseline,29,85,85
2022-23,baseline,30,53,53
2022-23,baseline,31,66,66
2022-23,baseline,32,60,60
2022-23,baseline,33,44,44
2022-23,baseline,34,106,106
2022-23,baseline,35,54,54
2022-23,baseline,36,67,67
2022-23,baseline,37,75,75
2022-23,baseline,38,59,59
2022-23,ownership,1,66,66
2022-23,ownership,2,51,51
2022-23,ownership,3,48,48
2022-23,ownership,4,58,58
2022-23,ownership,5,46,46
2022-23,ownership,6,48,48
2022-23,ownership,7,0,0
2022-23,ownership,8,59,59
2022-23,ownership,9,19,19
2022-23,ownership,10,54,54
2022-23,ownership,11,47,47
2022-23,ownership,12,39,39
2022-23,ownership,13,30,30
2022-23,ownership,14,49,49
2022-23,ownership,15,56,56
2022-23,ownership,16,35,35
2022-23,ownership,17,44,44
2022-23,ownership,18,54,54
2022-23,ownership,19,81,81
2022-23,ownership,20,50,50
2022-23,ownership,21,39,39
2022-23,ownership,22,45,45
2022-23,ownership,23,76,76
2022-23,ownership,24,57,57
2022-23,ownership,25,97,97
2022-23,ownership,26,66,62
2022-23,ownership,27,76,76
2022-23,ownership,28,43,43
2022-23,ownership,29,79,79
2022-23,ownership,30,41,41
2022-23,ownership,31,61,61
2022-23,ownership,32,60,60
2022-23,ownership,33,44,44
2022-23,ownership,34,104,104
2022-23,ownership,35,52,52
2022-23,ownership,36,74,74
2022-23,ownership,37,63,63
2022-23,ownership,38,65,65
2022-23,price,1,60,60
2022-23,price,2,37,37
2022-23,price,3,47,47
2022-23,price,4,53,53
2022-23,price,5,43,43
2022-23,price,6,47,47
2022-23,price,7,0,0
2022-23,price,8,33,33
2022-23,price,9,31,31
2022-23,price,10,48,48
2022-23,price,11,43,43
2022-23,price,12,41,41
2022-23,price,13,37,37
2022-23,price,14,45,45
2022-23,price,15,72,72
2022-23,price,16,48,48
2022-23,price,17,50,50
2022-23,price,18,36,36
2022-23,price,19,58,58
2022-23,price,20,62,62
2022-23,price,21,58,58
2022-23,price,22,49,49
2022-23,price,23,62,62
2022-23,price,24,57,57
2022-23,price,25,90,90
2022-23,price,26,72,72
2022-23,price,27,79,79
2022-23,price,28,43,43
2022-23,price,29,87,87
2022-23,price,30,43,43
2022-23,price,31,59,59
2022-23,price,32,60,60
2022-23,price,33,44,44
2022-23,price,34,104,104
2022-23,price,35,61,61
2022-23,price,36,74,74
2022-23,price,37,68,68
2022-23,price,38,64,64
2023-24,baseline,1,31,31
2023-24,baseline,2,40,40
2023-24,baseline,3,37,37
2023-24,baseline,4,80,80
2023-24,baseline,5,55,55
2023-24,baseline,6,83,83
2023-24,baseline,7,50,50
2023-24,baseline,8,58,58
2023-24,baseline,9,80,80
2023-24,baseline,10,72,72
2023-24,baseline,11,48,48
2023-24,baseline,12,81,81
2023-24,baseline,13,46,46
2023-24,baseline,14,57,57
2023-24,baseline,15,42,42
2023-24,baseline,16,49,49
2023-24,baseline,17,45,45
2023-24,baseline,18,54,54
2023-24,baseline,19,34,34
2023-24,baseline,20,72,72
2023-24,baseline,21,37,37
2023-24,baseline,22,63,63
2023-24,baseline,23,74,74
2023-24,baseline,24,91,91
2023-24,baseline,25,89,89
2023-24,baseline,26,63,63
2023-24,baseline,27,77,77
2023-24,baseline,28,33,33
2023-24,baseline,29,12,12
2023-24,baseline,30,44,44
2023-24,baseline,31,66,66
2023-24,baseline,32,67,67
2023-24,baseline,33,86,86
2023-24,baseline,34,119,119
