figure,value
watched_digest,3493aea2b3b68f3dabadf1c1ea10199208529c008aa10e6189741465a47dff09
recorded_at,2026-08-15T23:54:19.990472537Z
commit,8c05c694d4c4d9f83a10cf0df0623e5ed6462de6
path.CLAUDE.md,dfa8eb4eca579d7eb45b7bb13947d3138a06e7529a6551bf1be648827072c948
path.config.json,6f43f2a2f0e5a4f226e4729610d007b697ff079f7b98c5305c7004f6b2865135
path.docs,833178324afd1225897726a1e45632cfd1e5c2e76bf07470a07ed25e4444767b
path.internal/agent,3fc325796cdd44539e1e277e1db59ab8a85a7628c732dad24d1eec71ea3e99f1
path.internal/analysis,2b5607b980f2c9e7a7986c92c1d2069dbfa29a33dc3963be1bb07a705c69581a
path.internal/backtest,96ae4a03ab586ab5cdfa61d8447929c11420745cb7725bc4fac4f1792af33ce5
path.internal/config,428a550fcf69253bc379c05fa93049eb6107d95dacf81ef7bd8739a6daa42777
path.internal/fpl,2dcd851168105bc709a998dafcdb740eb8a8c91a9340c8e712c0d99b153d2d28
path.internal/snapshot,5e0bd586f806fef158b49f0b26b747c26cbfbfc92ac26c00dff109d8023bf98e
path.stats,cce334ce8a0b32f782a0ce2be3eb704bff9c115740ef8b41277f352f332a116d
