figure,value
watched_digest,7e9e0c87016146b44f04beb862a2ebcb25a032d4d3448725a9582e843cc0579b
recorded_at,2026-08-16T04:25:02.750119757Z
commit,94e20fdafb24efa1b872bc3e0ee8a658da88e2cf
path.CLAUDE.md,bffb87af3ed28114e854038d42688b8a04aaeab6515112e97a1f7ef0bbc9467d
path.config.json,6f43f2a2f0e5a4f226e4729610d007b697ff079f7b98c5305c7004f6b2865135
path.docs,3884f50706e347422df6473aad5a79c0521d121b4ba8207550270d2ecf4750c1
path.internal/agent,3fc325796cdd44539e1e277e1db59ab8a85a7628c732dad24d1eec71ea3e99f1
path.internal/analysis,e046e2b48da56354314d2b9454f40ae1be4e7f751cae5e13f821fde5356ff5bb
path.internal/backtest,96ae4a03ab586ab5cdfa61d8447929c11420745cb7725bc4fac4f1792af33ce5
path.internal/config,428a550fcf69253bc379c05fa93049eb6107d95dacf81ef7bd8739a6daa42777
path.internal/fpl,2dcd851168105bc709a998dafcdb740eb8a8c91a9340c8e712c0d99b153d2d28
path.internal/snapshot,d86448c6d11ac1ae3244a8a570ad5126d6531cc750b70a4d3ffc66e73f24332c
path.stats,8575fd0b8fd91396be5d4f6b8108e497418a7f35454229200314fc8ed40772a5
