figure,value
watched_digest,b5c7332c4abc7e054670391b669242fa4c82890334c60635a25ae2fe178a8f91
recorded_at,2026-08-15T17:23:51.55428368Z
commit,c1d4ae5e8548537a0afb92ca212f40041520e990
path.CLAUDE.md,5cfa5b3dc7e06a5db82d2bdcb5d31b74ce76f89173f86d1a5cd611218d0c323c
path.config.json,6f43f2a2f0e5a4f226e4729610d007b697ff079f7b98c5305c7004f6b2865135
path.docs,51e4fcc2f5f6e55a141454ea9c74f6c538c04f482407e967c9bcd7f307f31857
path.internal/agent,3fc325796cdd44539e1e277e1db59ab8a85a7628c732dad24d1eec71ea3e99f1
path.internal/analysis,3b9617e89a8915d426f40c0de5db2467c2e524ad93a4517c4129bbdf344a3639
path.internal/backtest,96ae4a03ab586ab5cdfa61d8447929c11420745cb7725bc4fac4f1792af33ce5
path.internal/config,428a550fcf69253bc379c05fa93049eb6107d95dacf81ef7bd8739a6daa42777
path.internal/fpl,2dcd851168105bc709a998dafcdb740eb8a8c91a9340c8e712c0d99b153d2d28
path.internal/snapshot,5e0bd586f806fef158b49f0b26b747c26cbfbfc92ac26c00dff109d8023bf98e
path.stats,fa79d185d1878164915390078120a622916990ed72190b10993cb312dd9913bf
