figure,value
watched_digest,4768980776abf9eab2cf644bd3a416920962c07b5b19b13ceada5537250c7efb
recorded_at,2026-08-16T17:55:46.354650616Z
commit,b452d442551ea486e921fb5cdfd93f713973eda0
path.CLAUDE.md,16e57b522fad67369dda51ded265ac5fc30cdcceefe3469456492aa7c97f743f
path.config.json,6f43f2a2f0e5a4f226e4729610d007b697ff079f7b98c5305c7004f6b2865135
path.docs,3850d2b79763008b2d5723b61350174596137618b67be83e7e7735399ede097c
path.internal/agent,3fc325796cdd44539e1e277e1db59ab8a85a7628c732dad24d1eec71ea3e99f1
path.internal/analysis,ef968f354de070f675980416b8035d1204c7e562d879ea270c5942056756e169
path.internal/backtest,5ebcd24cba4c0b0a57dc6a3088f557f15f9c93718faa77818d38395237e18bdb
path.internal/config,428a550fcf69253bc379c05fa93049eb6107d95dacf81ef7bd8739a6daa42777
path.internal/fpl,2dcd851168105bc709a998dafcdb740eb8a8c91a9340c8e712c0d99b153d2d28
path.internal/snapshot,d86448c6d11ac1ae3244a8a570ad5126d6531cc750b70a4d3ffc66e73f24332c
path.stats,8ab2320d4c3e0b555096543fba1cc579e97a931e79e2d7cc50e70cc1204a17d0
