figure,value
watched_digest,29dfd32d865ec1f4aeba0b96a194e088510ee94e8887775918e90896f1e4e665
recorded_at,2026-08-16T21:10:47.786146047Z
commit,1753fe253b2bb592e36fa78c9d1d094e05f4d8c6
path.AGENTS.md,5146b226237c6a6d31663fdfbbf7e4fc58ecb4a8b50e253110d9f650dc5f5ce6
path.config.json,6f43f2a2f0e5a4f226e4729610d007b697ff079f7b98c5305c7004f6b2865135
path.docs,5d3b811c8a7c1ccebff73d15690c20ebfad66c35209e2b8bc42cece4db0da509
path.internal/agent,feb00a470d0e515ac44e5a2ba77c82768270562d1889a07366b01d6338347023
path.internal/analysis,97e651377639dc4a4f214802ad9ec83c902e3c4d1e64722d26b47dee26f2a853
path.internal/backtest,945a4886e362185a0348702b41dfd38df3de3ee4317187dcaf43519385063fbf
path.internal/config,370a79016c548e0571f78f346588f826a9427d0550635601afb72eebf40083d6
path.internal/fpl,02878d0f48df032c7b756ed96cf669d4d9df61d033c0a3adb8225b5cf0db6550
path.internal/snapshot,f272e7c918c8bd230aada0aee7670ab725613ab40441815c0f6b1582b07fc0ff
path.stats,d6afb2f2ccba526473db6b8331f39eb49a50b49af83e918e634c357774fedb7c
