figure,value
watched_digest,abba371a0220316d1adf8795d35cd3402486a317b31efaa69505ed0be9cdad52
recorded_at,2026-08-17T03:53:59.281218788Z
commit,b213ca11dbed174f534a446252f454ec36ec357d
path.AGENTS.md,8d7e1a50758faa1e644b39e41bf83475637386dfcd39dd874b9be2b218968f3d
path.config.json,6f43f2a2f0e5a4f226e4729610d007b697ff079f7b98c5305c7004f6b2865135
path.docs,0fbcf7a82ebbeb83e43e42bb843b9259c9fd55473f6b481e4f41055f0a5a6570
path.internal/agent,43c307052ae93dc0fab4d0cee2d9793cf1bc0f68837b0cfb561a57ae9a120591
path.internal/analysis,97e651377639dc4a4f214802ad9ec83c902e3c4d1e64722d26b47dee26f2a853
path.internal/backtest,945a4886e362185a0348702b41dfd38df3de3ee4317187dcaf43519385063fbf
path.internal/config,370a79016c548e0571f78f346588f826a9427d0550635601afb72eebf40083d6
path.internal/fpl,02878d0f48df032c7b756ed96cf669d4d9df61d033c0a3adb8225b5cf0db6550
path.internal/snapshot,d53bd998d9f3f0a777853629b45a123e3d6af4c506d752c311ec5609c514ced7
path.stats,0195357dbe70cdba68a0bee642fad97c10dc81430ed3093e47c803e11436d964
