figure,value
watched_digest,da503592323f39aecd92cd5a6498246079cb791aece9ec1fcd4839b3b32b6307
recorded_at,2026-08-16T14:22:38.430298479Z
commit,a4a970bff2104dde957925e4b5a5fc3b6e0b514a
path.CLAUDE.md,a734f507a8f6de47b953d3b83d9c0efb4ee16f8562726dd9623cfe703977a096
path.config.json,6f43f2a2f0e5a4f226e4729610d007b697ff079f7b98c5305c7004f6b2865135
path.docs,68bc36cac36e2d543a3dab8f6e8d756cc73bbbb89966bef2c4c97341b4520ee6
path.internal/agent,3fc325796cdd44539e1e277e1db59ab8a85a7628c732dad24d1eec71ea3e99f1
path.internal/analysis,0a7494a2404bf6a4065a719de8c1a40a585e8eb27c30f5cd3600925499fe5ef0
path.internal/backtest,381f20e0aeaaaec846ee6e4bad9625d499d65f774b9b3c99c487b83bde25bb95
path.internal/config,428a550fcf69253bc379c05fa93049eb6107d95dacf81ef7bd8739a6daa42777
path.internal/fpl,2dcd851168105bc709a998dafcdb740eb8a8c91a9340c8e712c0d99b153d2d28
path.internal/snapshot,d86448c6d11ac1ae3244a8a570ad5126d6531cc750b70a4d3ffc66e73f24332c
path.stats,90dc00ff129ac1703fdc66cb9ce6a0d4fa9226802f3405197180e80c3f5f9e42
