figure,value
watched_digest,f59a1a49d4d01d35a214c76e5403ab96cf4ccd7d23de47f28e6bf99eef530d81
recorded_at,2026-08-16T18:00:52.184562686Z
commit,f3418dfc2a53f796d236e88cdc44ae0b343f2b2d
path.CLAUDE.md,50815a33da53af1896b154ab04d1f09f48c28c88ba6feaa206aac039277ac52a
path.config.json,6f43f2a2f0e5a4f226e4729610d007b697ff079f7b98c5305c7004f6b2865135
path.docs,2b800b7f961b0eccc934ef9d1523cb1ff4dacce53d10b4bed8e58860f7a60037
path.internal/agent,3fc325796cdd44539e1e277e1db59ab8a85a7628c732dad24d1eec71ea3e99f1
path.internal/analysis,0a7494a2404bf6a4065a719de8c1a40a585e8eb27c30f5cd3600925499fe5ef0
path.internal/backtest,0dca44e4292b4cd0db73f4a0e0f1029cfce8e417abd600fc4b08ebffbde18b62
path.internal/config,428a550fcf69253bc379c05fa93049eb6107d95dacf81ef7bd8739a6daa42777
path.internal/fpl,2dcd851168105bc709a998dafcdb740eb8a8c91a9340c8e712c0d99b153d2d28
path.internal/snapshot,d86448c6d11ac1ae3244a8a570ad5126d6531cc750b70a4d3ffc66e73f24332c
path.stats,5bb8b5a5c63f77616c57bc73defa13f6c570ec7c8a990864145e1e4436d822b8
