figure,value
watched_digest,b6e67aa01ac89c584182fa15212f1cd68943c6a142e17f307fd724e9e057be56
recorded_at,2026-08-16T18:41:42.864001404Z
commit,75ac40973157319bacf2f07b91dff594e3821831
path.AGENTS.md,6fec62b04b04e887b03985877b4226bd5843bb34b94a9d64ec3bea06073eea19
path.config.json,6f43f2a2f0e5a4f226e4729610d007b697ff079f7b98c5305c7004f6b2865135
path.docs,138ced715af5bd62cb740e13de88dd4907ec9462fa4e2a80c80b8664116fe23d
path.internal/agent,3fc325796cdd44539e1e277e1db59ab8a85a7628c732dad24d1eec71ea3e99f1
path.internal/analysis,66c654313d4b242a4a2ebdec505ab18fd180d2f281430dd08ef05fbcc272591b
path.internal/backtest,fe90ef0a4db0d8abefb024916196593180dd8790bab318c0257b53f52f835212
path.internal/config,428a550fcf69253bc379c05fa93049eb6107d95dacf81ef7bd8739a6daa42777
path.internal/fpl,359dde34a60c85b952954ea9d32ed3c418b07d3f7843ff2d00ae222de798e6c9
path.internal/snapshot,fecf72e95cdbb423a6edbd45a97513faef8e2d7d8b11b7f9e8b6dd33ab06a765
path.stats,0dc9225124192cdd29f12e6a8201165f5e863a5f404e5f84e6d75f8f8a6eac44
