figure,value
watched_digest,2752e5e244fafe779644051686d2891d7e6af5d120c01be057cc3597b7001507
recorded_at,2026-08-16T13:49:44.705626474Z
commit,9833d3534fd52fabb0bbc168ec2f0492ba8eec98
path.CLAUDE.md,92b5f1d208348fbf67994821dbf87dc5d336ad1dd9b494c2b7a5978450aa049e
path.config.json,6f43f2a2f0e5a4f226e4729610d007b697ff079f7b98c5305c7004f6b2865135
path.docs,3672cc77b37f8b3ad7ad6774dedcf078bd9b1d66eeaa94035473a0e35057d0c3
path.internal/agent,3fc325796cdd44539e1e277e1db59ab8a85a7628c732dad24d1eec71ea3e99f1
path.internal/analysis,0a7494a2404bf6a4065a719de8c1a40a585e8eb27c30f5cd3600925499fe5ef0
path.internal/backtest,381f20e0aeaaaec846ee6e4bad9625d499d65f774b9b3c99c487b83bde25bb95
path.internal/config,428a550fcf69253bc379c05fa93049eb6107d95dacf81ef7bd8739a6daa42777
path.internal/fpl,2dcd851168105bc709a998dafcdb740eb8a8c91a9340c8e712c0d99b153d2d28
path.internal/snapshot,d86448c6d11ac1ae3244a8a570ad5126d6531cc750b70a4d3ffc66e73f24332c
path.stats,90dc00ff129ac1703fdc66cb9ce6a0d4fa9226802f3405197180e80c3f5f9e42
