figure,value
watched_digest,6e5296f1cefbdbf35434efcf89a6cf4f9e3db9c84cc18bcb39efedbebd2a4c4b
recorded_at,2026-08-17T05:23:27.227962946Z
commit,23c29503054a9b0b547590bfd26e1bec77b008cd
path.AGENTS.md,b5539c907fb69bedc5f9782b79cf48a2ad68bd56a8a3b0a20f9b4b160f90ae7c
path.config.json,52ba7759a13d7e79d987a004db9fab627131686ed48dd2e52b542fec6a4a3b27
path.docs,0fbcf7a82ebbeb83e43e42bb843b9259c9fd55473f6b481e4f41055f0a5a6570
path.internal/agent,43c307052ae93dc0fab4d0cee2d9793cf1bc0f68837b0cfb561a57ae9a120591
path.internal/analysis,97e651377639dc4a4f214802ad9ec83c902e3c4d1e64722d26b47dee26f2a853
path.internal/backtest,945a4886e362185a0348702b41dfd38df3de3ee4317187dcaf43519385063fbf
path.internal/config,370a79016c548e0571f78f346588f826a9427d0550635601afb72eebf40083d6
path.internal/fpl,02878d0f48df032c7b756ed96cf669d4d9df61d033c0a3adb8225b5cf0db6550
path.internal/snapshot,d53bd998d9f3f0a777853629b45a123e3d6af4c506d752c311ec5609c514ced7
path.stats,0195357dbe70cdba68a0bee642fad97c10dc81430ed3093e47c803e11436d964
