figure,value
watched_digest,9fed016bec4486e07ba6fc5ebbe1afbf408205cf39de3cc78f1ddf3734ba90a2
recorded_at,2026-08-19T03:48:52.688049133Z
commit,afbe713ea0355edb029d8ab200075244c6dfd091
path.AGENTS.md,dff4868d0a315e006fb2cd140669f0bf0a056ed1dec647b13f1defe8fd89fd07
path.config.json,437efa3bc41591aadb4c6240ca3bed4593f6de796e2eaa259f5d4faca07527a9
path.docs,d134b9f903e2f1bb5673a9b0775a1794642866c8996be25721b47c526051f54a
path.internal/agent,e2221920b0d3580317221a0243ed62bd0c163e4d3cef05d3f64d8677410fc95c
path.internal/analysis,8256b94176c2a48e3451d1d51712cdba147967a537f124215b28418e6d6f3508
path.internal/backtest,24a0579608df607ebc7134b1bdc4841843fc03f70784543d81e8c691d6b57590
path.internal/config,fc5362f7371960ba0b97e07279428fdcb771a67b681c32d9b6a19677773aa1ef
path.internal/fpl,02878d0f48df032c7b756ed96cf669d4d9df61d033c0a3adb8225b5cf0db6550
path.internal/snapshot,d53bd998d9f3f0a777853629b45a123e3d6af4c506d752c311ec5609c514ced7
path.stats,7cd56a39f23ee5c1e9b401bd3ed61d08a29541d2386b5d74a71cd2cc5cead1c9
