figure,value
watched_digest,6bbed33e4b417b15552dbdc835373056499a7ddc10e9a572062db01f8122867c
recorded_at,2026-08-18T19:53:06.45794231Z
commit,d4afeb4ab81bc5c5c5003bb562a27d1e565deaee
path.AGENTS.md,fbe095c2bb9a0b729dfa8baaf2f2b27b683c796647db90bae15bf5be8933b96a
path.config.json,437efa3bc41591aadb4c6240ca3bed4593f6de796e2eaa259f5d4faca07527a9
path.docs,d134b9f903e2f1bb5673a9b0775a1794642866c8996be25721b47c526051f54a
path.internal/agent,e2221920b0d3580317221a0243ed62bd0c163e4d3cef05d3f64d8677410fc95c
path.internal/analysis,8256b94176c2a48e3451d1d51712cdba147967a537f124215b28418e6d6f3508
path.internal/backtest,19f66503f48a2651a95919550b805f4705144249abe3ba3d743478da5e3417ef
path.internal/config,df5f18bd4c4930cba1935bd156c916eeeb4efbd5ededcc2a7a5358b8fc7bbba1
path.internal/fpl,02878d0f48df032c7b756ed96cf669d4d9df61d033c0a3adb8225b5cf0db6550
path.internal/snapshot,d53bd998d9f3f0a777853629b45a123e3d6af4c506d752c311ec5609c514ced7
path.stats,49dddb9b25a94d3eff38ad5ef1479e70b197be319af05cbf97de9a4738f0ad2c
