sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
ANCHORED#1,1786465642-199009,chips at fixed offsets from entry,0,true,2022-23,2021-22,1,38,5,false,2079,1987,40,5,54.71052631578947,52.28947368421053,,,,,,,1993,52.44736842105263,1738,45.73684210526316,-,none
ANCHORED#1,1786465642-199009,chips at fixed offsets from entry,0,true,2023-24,2022-23,1,38,5,false,2333,1809,40,3,61.39473684210526,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
ANCHORED#1,1786465642-199009,chips at fixed offsets from entry,0,true,2024-25,2023-24,1,38,5,false,2266,1847,37,4,59.63157894736842,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
ANCHORED#1,1786465642-199009,chips at fixed offsets from entry,0,true,2025-26,2024-25,1,38,5,false,2111,1514,38,3,55.55263157894737,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
ANCHORED#1,1786465642-199009,chips at fixed offsets from entry,0,true,2022-23,2021-22,6,33,5,false,1766,1692,37,7,53.515151515151516,51.27272727272727,,,,,,,1635,49.54545454545455,1507,45.666666666666664,-,none
ANCHORED#1,1786465642-199009,chips at fixed offsets from entry,0,true,2023-24,2022-23,6,33,5,false,2093,1662,33,2,63.42424242424242,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,-,none
ANCHORED#1,1786465642-199009,chips at fixed offsets from entry,0,true,2024-25,2023-24,6,33,5,false,1961,1762,33,2,59.42424242424242,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,-,none
ANCHORED#1,1786465642-199009,chips at fixed offsets from entry,0,true,2025-26,2024-25,6,33,5,false,1879,1742,31,3,56.93939393939394,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,-,none
ANCHORED#1,1786465642-199009,chips at fixed offsets from entry,0,true,2022-23,2021-22,11,28,5,false,1623,1538,32,7,57.964285714285715,54.92857142857143,,,,,,,1444,51.57142857142857,1358,48.5,-,none
ANCHORED#1,1786465642-199009,chips at fixed offsets from entry,0,true,2023-24,2022-23,11,28,5,false,1733,1424,27,1,61.892857142857146,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,-,none
