sweep,run_id,metric,variant,variant_index,baseline_variant,mean_per_gw,n_cells,oracle
ANCHORED#1,1786465642-199009,policy,chips anchored on the calendar (full sight),1,chips at fixed offsets from entry,-0.08685035036579662,24,-
ANCHORED#1,1786465642-199009,policy,"anchored, 2 gameweeks of sight",2,chips at fixed offsets from entry,-0.2408457505711512,24,-
ANCHORED#1,1786465642-199009,policy,"anchored, 4 gameweeks of sight",3,chips at fixed offsets from entry,-0.10217726114465275,24,-
ANCHORED#1,1786465642-199009,policy,"anchored, 6 gameweeks of sight",4,chips at fixed offsets from entry,-0.10217726114465275,24,-
ANCHORED#1,1786465642-199009,hold,chips anchored on the calendar (full sight),1,chips at fixed offsets from entry,0,24,-
ANCHORED#1,1786465642-199009,hold,"anchored, 2 gameweeks of sight",2,chips at fixed offsets from entry,0,24,-
ANCHORED#1,1786465642-199009,hold,"anchored, 4 gameweeks of sight",3,chips at fixed offsets from entry,0,24,-
ANCHORED#1,1786465642-199009,hold,"anchored, 6 gameweeks of sight",4,chips at fixed offsets from entry,0,24,-
ANCHORED#1,1786465642-199009,hold_fixedcap,chips anchored on the calendar (full sight),1,chips at fixed offsets from entry,0,24,-
ANCHORED#1,1786465642-199009,hold_fixedcap,"anchored, 2 gameweeks of sight",2,chips at fixed offsets from entry,0,24,-
ANCHORED#1,1786465642-199009,hold_fixedcap,"anchored, 4 gameweeks of sight",3,chips at fixed offsets from entry,0,24,-
ANCHORED#1,1786465642-199009,hold_fixedcap,"anchored, 6 gameweeks of sight",4,chips at fixed offsets from entry,0,24,-
ANCHORED#1,1786465642-199009,hold_nocap,chips anchored on the calendar (full sight),1,chips at fixed offsets from entry,0,24,-
ANCHORED#1,1786465642-199009,hold_nocap,"anchored, 2 gameweeks of sight",2,chips at fixed offsets from entry,0,24,-
ANCHORED#1,1786465642-199009,hold_nocap,"anchored, 4 gameweeks of sight",3,chips at fixed offsets from entry,0,24,-
ANCHORED#1,1786465642-199009,hold_nocap,"anchored, 6 gameweeks of sight",4,chips at fixed offsets from entry,0,24,-
