sweep,run_id,key,value
HITS#1,1786410409-75819,commit,149615c54ab3a4ccc7a46a1d6172a0e07d17d381
HITS#1,1786410409-75819,dirty,true
HITS#1,1786410409-75819,constants_digest,67455aaa8835
HITS#1,1786410409-75819,bank_up_to,5
HITS#1,1786410409-75819,season,2022-23<-2021-22
HITS#1,1786410409-75819,season,2023-24<-2022-23
HITS#1,1786410409-75819,season,2024-25<-2023-24
HITS#1,1786410409-75819,season,2025-26<-2024-25
HITS#1,1786410409-75819,start_gw,1
HITS#1,1786410409-75819,start_gw,6
HITS#1,1786410409-75819,start_gw,11
HITS#1,1786410409-75819,start_gw,16
HITS#1,1786410409-75819,start_gw,21
HITS#1,1786410409-75819,start_gw,26
HITS#1,1786410409-75819,declared_arm,0	hit>=3.0 (ships)
HITS#1,1786410409-75819,declared_arm,1	no hits ever
HITS#1,1786410409-75819,declared_arm,2	hit>=1.5
HITS#1,1786410409-75819,declared_arm,3	hit>=5.0
HITS#1,1786410409-75819,constant,chip_plan.bench_boost_gameweek	8
HITS#1,1786410409-75819,constant,chip_plan.free_hit_gameweek	16
HITS#1,1786410409-75819,constant,chip_plan.triple_captain_gameweek	9
HITS#1,1786410409-75819,constant,chip_plan.wildcard_gameweek	6
HITS#1,1786410409-75819,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
HITS#1,1786410409-75819,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
HITS#1,1786410409-75819,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
HITS#1,1786410409-75819,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
HITS#1,1786410409-75819,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
HITS#1,1786410409-75819,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
HITS#1,1786410409-75819,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
HITS#1,1786410409-75819,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
HITS#1,1786410409-75819,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
HITS#1,1786410409-75819,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
HITS#1,1786410409-75819,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
HITS#1,1786410409-75819,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
HITS#1,1786410409-75819,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
