sweep,run_id,metric,variant,variant_index,baseline_variant,mean_per_gw,n_cells,oracle
BONUS#1,1786598705-519405,policy,1.0 / 1.0,1,0.5 / 1.5 (ships),-0.28476566234003214,24,-
BONUS#1,1786598705-519405,policy,0.5 / 2.0,2,0.5 / 1.5 (ships),-0.24708637144277823,24,-
BONUS#1,1786598705-519405,policy,0.0 / 2.0,3,0.5 / 1.5 (ships),0.09428296828182514,24,-
BONUS#1,1786598705-519405,policy,1.5 / 1.5,4,0.5 / 1.5 (ships),-0.12812417474888824,24,-
BONUS#1,1786598705-519405,hold,1.0 / 1.0,1,0.5 / 1.5 (ships),-0.05863546467093469,24,-
BONUS#1,1786598705-519405,hold,0.5 / 2.0,2,0.5 / 1.5 (ships),-0.3936042821912394,24,-
BONUS#1,1786598705-519405,hold,0.0 / 2.0,3,0.5 / 1.5 (ships),0.16837843167934588,24,-
BONUS#1,1786598705-519405,hold,1.5 / 1.5,4,0.5 / 1.5 (ships),0.13604140742298507,24,-
BONUS#1,1786598705-519405,hold_fixedcap,1.0 / 1.0,1,0.5 / 1.5 (ships),-0.05014529764243717,24,-
BONUS#1,1786598705-519405,hold_fixedcap,0.5 / 2.0,2,0.5 / 1.5 (ships),-0.20061661366009234,24,-
BONUS#1,1786598705-519405,hold_fixedcap,0.0 / 2.0,3,0.5 / 1.5 (ships),0.3525073166091473,24,-
BONUS#1,1786598705-519405,hold_fixedcap,1.5 / 1.5,4,0.5 / 1.5 (ships),0.188242273554058,24,-
BONUS#1,1786598705-519405,hold_nocap,1.0 / 1.0,1,0.5 / 1.5 (ships),-0.05014529764243717,24,-
BONUS#1,1786598705-519405,hold_nocap,0.5 / 2.0,2,0.5 / 1.5 (ships),-0.24409487452965717,24,-
BONUS#1,1786598705-519405,hold_nocap,0.0 / 2.0,3,0.5 / 1.5 (ships),0.12794186807344707,24,-
BONUS#1,1786598705-519405,hold_nocap,1.5 / 1.5,4,0.5 / 1.5 (ships),0.11842923634971658,24,-
