sweep,run_id,key,value
MINW#1,1786598694-519032,commit,d9b83c5072f9be38506c1dbb18083be835fa2d14
MINW#1,1786598694-519032,dirty,true
MINW#1,1786598694-519032,constants_digest,5695079171c6
MINW#1,1786598694-519032,bank_up_to,5
MINW#1,1786598694-519032,season,2022-23<-2021-22
MINW#1,1786598694-519032,season,2023-24<-2022-23
MINW#1,1786598694-519032,season,2024-25<-2023-24
MINW#1,1786598694-519032,season,2025-26<-2024-25
MINW#1,1786598694-519032,start_gw,1
MINW#1,1786598694-519032,start_gw,6
MINW#1,1786598694-519032,start_gw,11
MINW#1,1786598694-519032,start_gw,16
MINW#1,1786598694-519032,start_gw,21
MINW#1,1786598694-519032,start_gw,26
MINW#1,1786598694-519032,declared_arm,0	exponent 1.25 (ships)
MINW#1,1786598694-519032,declared_arm,1	exponent 1.00
MINW#1,1786598694-519032,declared_arm,2	exponent 1.15
MINW#1,1786598694-519032,declared_arm,3	exponent 1.50
MINW#1,1786598694-519032,declared_arm,4	exponent 1.75
MINW#1,1786598694-519032,constant,chip_plan.bench_boost_gameweek	8
MINW#1,1786598694-519032,constant,chip_plan.free_hit_gameweek	16
MINW#1,1786598694-519032,constant,chip_plan.triple_captain_gameweek	9
MINW#1,1786598694-519032,constant,chip_plan.wildcard_gameweek	6
MINW#1,1786598694-519032,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
MINW#1,1786598694-519032,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
MINW#1,1786598694-519032,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
MINW#1,1786598694-519032,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
MINW#1,1786598694-519032,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
MINW#1,1786598694-519032,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
MINW#1,1786598694-519032,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
MINW#1,1786598694-519032,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
MINW#1,1786598694-519032,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
MINW#1,1786598694-519032,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
