sweep,run_id,metric,variant,variant_index,baseline_variant,mean_per_gw,n_cells,oracle
FIXW#1,1786639915-600276,policy,fixture weight 0.00,1,fixture weight 0.65 (ships),-1.2860979899976845,36,-
FIXW#1,1786639915-600276,policy,fixture weight 0.35,2,fixture weight 0.65 (ships),-0.0014888228560994638,36,-
FIXW#1,1786639915-600276,policy,fixture weight 1.00,3,fixture weight 0.65 (ships),0.11439974869608764,36,-
FIXW#1,1786639915-600276,hold,fixture weight 0.00,1,fixture weight 0.65 (ships),-0.482031969922894,36,-
FIXW#1,1786639915-600276,hold,fixture weight 0.35,2,fixture weight 0.65 (ships),0.024285128451794574,36,-
FIXW#1,1786639915-600276,hold,fixture weight 1.00,3,fixture weight 0.65 (ships),0.010303556022472706,36,-
FIXW#1,1786639915-600276,hold_fixedcap,fixture weight 0.00,1,fixture weight 0.65 (ships),-0.4372451043885067,36,-
FIXW#1,1786639915-600276,hold_fixedcap,fixture weight 0.35,2,fixture weight 0.65 (ships),-0.036108517086778216,36,-
FIXW#1,1786639915-600276,hold_fixedcap,fixture weight 1.00,3,fixture weight 0.65 (ships),-0.00024956856573924807,36,-
FIXW#1,1786639915-600276,hold_nocap,fixture weight 0.00,1,fixture weight 0.65 (ships),-0.44868582416255975,36,-
FIXW#1,1786639915-600276,hold_nocap,fixture weight 0.35,2,fixture weight 0.65 (ships),-0.03732103913263371,36,-
FIXW#1,1786639915-600276,hold_nocap,fixture weight 1.00,3,fixture weight 0.65 (ships),-0.05199241106945093,36,-
