sweep,run_id,key,value
FIXW#1,1786639915-600276,commit,b400ec37f09eff1273201da0b4628b57d0d9b922
FIXW#1,1786639915-600276,dirty,true
FIXW#1,1786639915-600276,constants_digest,67455aaa8835
FIXW#1,1786639915-600276,bank_up_to,5
FIXW#1,1786639915-600276,season,2020-21<-2019-20
FIXW#1,1786639915-600276,season,2021-22<-2020-21
FIXW#1,1786639915-600276,season,2022-23<-2021-22
FIXW#1,1786639915-600276,season,2023-24<-2022-23
FIXW#1,1786639915-600276,season,2024-25<-2023-24
FIXW#1,1786639915-600276,season,2025-26<-2024-25
FIXW#1,1786639915-600276,start_gw,1
FIXW#1,1786639915-600276,start_gw,6
FIXW#1,1786639915-600276,start_gw,11
FIXW#1,1786639915-600276,start_gw,16
FIXW#1,1786639915-600276,start_gw,21
FIXW#1,1786639915-600276,start_gw,26
FIXW#1,1786639915-600276,declared_arm,0	fixture weight 0.65 (ships)
FIXW#1,1786639915-600276,declared_arm,1	fixture weight 0.00
FIXW#1,1786639915-600276,declared_arm,2	fixture weight 0.35
FIXW#1,1786639915-600276,declared_arm,3	fixture weight 1.00
FIXW#1,1786639915-600276,constant,chip_plan.bench_boost_gameweek	8
FIXW#1,1786639915-600276,constant,chip_plan.free_hit_gameweek	16
FIXW#1,1786639915-600276,constant,chip_plan.triple_captain_gameweek	9
FIXW#1,1786639915-600276,constant,chip_plan.wildcard_gameweek	6
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.BOU[0].note	enters at round three as a European qualifier
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.BOU[0].start_date	2026-09-15
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.BRE[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.BRE[0].match_dates	6 items, sha f7a87904"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.BRE[0].note	enters at round two
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.BRE[0].start_date	2026-08-26
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.CHE[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.CHE[0].match_dates	6 items, sha f7a87904"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.CHE[0].note	enters at round two
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.CHE[0].start_date	2026-08-26
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.COV[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.COV[0].match_dates	6 items, sha f7a87904"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.COV[0].note	enters at round two
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.COV[0].start_date	2026-08-26
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.CRY[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.CRY[0].match_dates	5 items, sha 3f0a0705"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.CRY[0].note	enters at round three as a European qualifier
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.CRY[0].start_date	2026-09-15
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.EVE[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.EVE[0].match_dates	6 items, sha f7a87904"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.EVE[0].note	enters at round two
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.EVE[0].start_date	2026-08-26
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.FUL[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.FUL[0].match_dates	6 items, sha f7a87904"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.FUL[0].note	enters at round two
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.FUL[0].start_date	2026-08-26
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.HUL[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.HUL[0].match_dates	6 items, sha f7a87904"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.HUL[0].note	enters at round two
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.HUL[0].start_date	2026-08-26
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.IPS[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.IPS[0].match_dates	6 items, sha f7a87904"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.IPS[0].note	enters at round two
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.IPS[0].start_date	2026-08-26
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.LEE[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.LEE[0].match_dates	6 items, sha f7a87904"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.LEE[0].note	enters at round two
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.LEE[0].start_date	2026-08-26
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.LIV[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.LIV[0].match_dates	5 items, sha 3f0a0705"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.LIV[0].note	enters at round three as a European qualifier
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.LIV[0].start_date	2026-09-15
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.MCI[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.MCI[0].match_dates	5 items, sha 3f0a0705"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.MCI[0].note	enters at round three as a European qualifier
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.MCI[0].start_date	2026-09-15
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.MUN[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.MUN[0].match_dates	5 items, sha 3f0a0705"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.MUN[0].note	enters at round three as a European qualifier
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.MUN[0].start_date	2026-09-15
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.NEW[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.NEW[0].match_dates	6 items, sha f7a87904"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.NEW[0].note	enters at round two
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.NEW[0].start_date	2026-08-26
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.NFO[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.NFO[0].match_dates	6 items, sha f7a87904"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.NFO[0].note	enters at round two
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.NFO[0].start_date	2026-08-26
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.SUN[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.SUN[0].match_dates	5 items, sha 3f0a0705"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.SUN[0].note	enters at round three as a European qualifier
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.SUN[0].start_date	2026-09-15
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.TOT[0].competition	League Cup
FIXW#1,1786639915-600276,constant,"congestion.domestic_cup_campaigns.TOT[0].match_dates	6 items, sha f7a87904"
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.TOT[0].note	enters at round two
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_campaigns.TOT[0].start_date	2026-08-26
FIXW#1,1786639915-600276,constant,congestion.domestic_cup_penalty	1
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.ARS[0].competition	UCL
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.ARS[0].start_date	2026-09-08
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.AVL[0].competition	UCL
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.AVL[0].start_date	2026-09-08
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.BHA[0].competition	UECL
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.BHA[0].end_date	2026-08-27
FIXW#1,1786639915-600276,constant,"congestion.european_campaigns.BHA[0].match_dates	2 items, sha 488b402a"
FIXW#1,1786639915-600276,constant,"congestion.european_campaigns.BHA[0].note	play-off round, two legs; progression not yet known"
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.BHA[0].start_date	2026-08-20
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.BHA[1].competition	UECL
FIXW#1,1786639915-600276,constant,"congestion.european_campaigns.BHA[1].note	league phase, conditional on winning the play-off"
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.BHA[1].start_date	2026-10-15
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.BOU[0].competition	UEL
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.BOU[0].start_date	2026-09-16
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.CRY[0].competition	UEL
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.CRY[0].start_date	2026-09-16
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.LIV[0].competition	UCL
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.LIV[0].start_date	2026-09-08
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.MCI[0].competition	UCL
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.MCI[0].start_date	2026-09-08
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.MUN[0].competition	UCL
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.MUN[0].start_date	2026-09-08
FIXW#1,1786639915-600276,constant,congestion.european_campaigns.SUN[0].competition	UEL
