sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2020-21,2019-20,1,38,5,false,2167,1711,39,3,57.026315789473685,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2021-22,2020-21,1,38,5,false,2284,1942,42,6,60.10526315789474,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2022-23,2021-22,1,38,5,false,2058,1842,38,2,54.1578947368421,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2023-24,2022-23,1,38,5,false,2254,1809,37,1,59.31578947368421,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2024-25,2023-24,1,38,5,false,2275,1847,35,2,59.86842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2025-26,2024-25,1,38,5,false,2126,1514,36,2,55.94736842105263,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2020-21,2019-20,6,33,5,false,1816,1634,36,5,55.03030303030303,49.515151515151516,,,,,,,1633,49.484848484848484,1447,43.84848484848485,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2021-22,2020-21,6,33,5,false,1833,1513,36,5,55.54545454545455,45.84848484848485,,,,,,,1536,46.54545454545455,1291,39.121212121212125,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2022-23,2021-22,6,33,5,false,1820,1563,31,1,55.15151515151515,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2023-24,2022-23,6,33,5,false,2082,1662,33,2,63.09090909090909,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2024-25,2023-24,6,33,5,false,1954,1762,33,4,59.21212121212121,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2025-26,2024-25,6,33,5,false,1904,1742,31,3,57.696969696969695,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2020-21,2019-20,11,28,5,false,1656,1389,24,1,59.142857142857146,49.607142857142854,,,,,,,1387,49.535714285714285,1212,43.285714285714285,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2021-22,2020-21,11,28,5,false,1514,1604,32,6,54.07142857142857,57.285714285714285,,,,,,,1632,58.285714285714285,1444,51.57142857142857,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2022-23,2021-22,11,28,5,false,1578,1548,30,4,56.357142857142854,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2023-24,2022-23,11,28,5,false,1732,1424,27,1,61.857142857142854,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2024-25,2023-24,11,28,5,false,1790,1704,26,1,63.92857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2025-26,2024-25,11,28,5,false,1547,1489,24,0,55.25,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2020-21,2019-20,16,23,5,false,1359,1189,23,2,59.08695652173913,51.69565217391305,,,,,,,1155,50.21739130434783,1042,45.30434782608695,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2021-22,2020-21,16,23,5,false,1309,1260,24,3,56.91304347826087,54.78260869565217,,,,,,,1278,55.56521739130435,1153,50.130434782608695,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2022-23,2021-22,16,23,5,false,1361,1106,23,2,59.17391304347826,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2023-24,2022-23,16,23,5,false,1455,1077,22,1,63.26086956521739,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2024-25,2023-24,16,23,5,false,1409,1336,23,2,61.26086956521739,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2025-26,2024-25,16,23,5,false,1350,1288,23,3,58.69565217391305,56,,,,,,,1289,56.04347826086956,1127,49,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2020-21,2019-20,21,18,5,false,1069,942,17,2,59.388888888888886,52.333333333333336,,,,,,,963,53.5,845,46.94444444444444,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2021-22,2020-21,21,18,5,false,999,944,19,2,55.5,52.44444444444444,,,,,,,962,53.44444444444444,855,47.5,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2022-23,2021-22,21,18,5,false,1202,1181,14,0,66.77777777777777,65.61111111111111,,,,,,,1171,65.05555555555556,1032,57.333333333333336,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2023-24,2022-23,21,18,5,false,1215,909,17,1,67.5,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2024-25,2023-24,21,18,5,false,1076,1047,15,1,59.77777777777778,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2025-26,2024-25,21,18,5,false,1067,950,15,1,59.27777777777778,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2020-21,2019-20,26,13,5,false,698,638,11,0,53.69230769230769,49.07692307692308,,,,,,,646,49.69230769230769,579,44.53846153846154,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2021-22,2020-21,26,13,5,false,748,636,15,4,57.53846153846154,48.92307692307692,,,,,,,634,48.76923076923077,578,44.46153846153846,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2022-23,2021-22,26,13,5,false,922,812,11,0,70.92307692307692,62.46153846153846,,,,,,,808,62.15384615384615,696,53.53846153846154,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2023-24,2022-23,26,13,5,false,827,620,11,0,63.61538461538461,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2024-25,2023-24,26,13,5,false,737,710,9,0,56.69230769230769,54.61538461538461,,,,,,,710,54.61538461538461,637,49,-,none
MINHL#1,1786639147-596472,half-life 4 (ships),0,true,2025-26,2024-25,26,13,5,false,767,761,9,0,59,58.53846153846154,,,,,,,762,58.61538461538461,660,50.76923076923077,-,none
MINHL#1,1786639147-596472,flat (no recency),1,false,2020-21,2019-20,1,38,5,false,2074,1714,37,2,54.578947368421055,45.10526315789474,,,,,,,1714,45.10526315789474,1474,38.78947368421053,-,none
MINHL#1,1786639147-596472,flat (no recency),1,false,2021-22,2020-21,1,38,5,false,2245,1961,29,2,59.078947368421055,51.60526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,-,none
MINHL#1,1786639147-596472,flat (no recency),1,false,2022-23,2021-22,1,38,5,false,2029,1843,35,1,53.39473684210526,48.5,,,,,,,1846,48.578947368421055,1583,41.6578947368421,-,none
MINHL#1,1786639147-596472,flat (no recency),1,false,2023-24,2022-23,1,38,5,false,2096,1808,21,1,55.1578947368421,47.578947368421055,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
MINHL#1,1786639147-596472,flat (no recency),1,false,2024-25,2023-24,1,38,5,false,2313,1834,20,0,60.86842105263158,48.26315789473684,,,,,,,1825,48.026315789473685,1643,43.23684210526316,-,none
MINHL#1,1786639147-596472,flat (no recency),1,false,2025-26,2024-25,1,38,5,false,2199,1531,24,0,57.86842105263158,40.28947368421053,,,,,,,1529,40.23684210526316,1375,36.18421052631579,-,none
MINHL#1,1786639147-596472,flat (no recency),1,false,2020-21,2019-20,6,33,5,false,1751,1665,30,1,53.06060606060606,50.45454545454545,,,,,,,1660,50.303030303030305,1468,44.484848484848484,-,none
MINHL#1,1786639147-596472,flat (no recency),1,false,2021-22,2020-21,6,33,5,false,1978,1613,28,0,59.93939393939394,48.878787878787875,,,,,,,1630,49.39393939393939,1385,41.96969696969697,-,none
