sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,oracle,oracle_kind
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2020-21,2019-20,1,38,5,false,2082,1538,40,4,54.78947368421053,40.473684210526315,,,,,,,1530,40.26315789473684,1290,33.94736842105263,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2021-22,2020-21,1,38,5,false,2161,1884,38,3,56.86842105263158,49.578947368421055,,,,,,,1929,50.76315789473684,1634,43,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2022-23,2021-22,1,38,5,false,2044,1812,38,3,53.78947368421053,47.68421052631579,,,,,,,1815,47.76315789473684,1552,40.8421052631579,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2023-24,2022-23,1,38,5,false,2344,1680,39,2,61.68421052631579,44.21052631578947,,,,,,,1653,43.5,1442,37.94736842105263,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2024-25,2023-24,1,38,5,false,2361,1868,37,3,62.13157894736842,49.1578947368421,,,,,,,1844,48.526315789473685,1664,43.78947368421053,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2025-26,2024-25,1,38,5,false,2178,1498,34,0,57.31578947368421,39.421052631578945,,,,,,,1493,39.28947368421053,1339,35.23684210526316,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2020-21,2019-20,6,33,5,false,1923,1660,33,3,58.27272727272727,50.303030303030305,,,,,,,1659,50.27272727272727,1473,44.63636363636363,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2021-22,2020-21,6,33,5,false,1920,1601,36,5,58.18181818181818,48.515151515151516,,,,,,,1624,49.21212121212121,1379,41.78787878787879,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2022-23,2021-22,6,33,5,false,1787,1578,31,3,54.15151515151515,47.81818181818182,,,,,,,1525,46.21212121212121,1399,42.39393939393939,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2023-24,2022-23,6,33,5,false,2092,1680,33,2,63.39393939393939,50.90909090909091,,,,,,,1653,50.09090909090909,1435,43.484848484848484,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2024-25,2023-24,6,33,5,false,1954,1762,33,4,59.21212121212121,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,0,0,0,0,-,none
benchshape#1,1786645791-625124,flat 1/1/1/1 (baseline),0,true,2025-26,2024-25,6,33,5,false,1857,1699,30,2,56.27272727272727,51.484848484848484,,,,,,,1617,49,1476,44.72727272727273,0,0,0,0,-,none
