sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,oracle,oracle_kind
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2020-21,2019-20,1,38,5,false,2161,1711,39,3,56.86842105263158,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,26,0,19,8,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2021-22,2020-21,1,38,5,false,2299,1942,42,6,60.5,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,36,31,26,6,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2022-23,2021-22,1,38,5,false,2072,1842,38,2,54.526315789473685,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,29,2,34,18,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2023-24,2022-23,1,38,5,false,2247,1809,39,2,59.13157894736842,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,34,0,37,3,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2024-25,2023-24,1,38,5,false,2229,1847,36,2,58.6578947368421,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,33,17,0,0,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2025-26,2024-25,1,38,5,false,2127,1514,36,2,55.973684210526315,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,33,4,0,0,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2020-21,2019-20,6,33,5,false,1860,1634,35,5,56.36363636363637,49.515151515151516,,,,,,,1633,49.484848484848484,1447,43.84848484848485,26,10,19,8,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2021-22,2020-21,6,33,5,false,1861,1513,36,5,56.39393939393939,45.84848484848485,,,,,,,1536,46.54545454545455,1291,39.121212121212125,36,17,26,6,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2022-23,2021-22,6,33,5,false,1724,1563,35,5,52.24242424242424,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,29,2,34,18,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2023-24,2022-23,6,33,5,false,2076,1662,33,2,62.90909090909091,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,34,6,37,3,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2024-25,2023-24,6,33,5,false,1946,1762,34,3,58.96969696969697,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,33,9,0,0,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2025-26,2024-25,6,33,5,false,1889,1742,32,3,57.24242424242424,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,33,4,0,0,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2020-21,2019-20,11,28,5,false,1635,1389,26,1,58.392857142857146,49.607142857142854,,,,,,,1387,49.535714285714285,1212,43.285714285714285,26,9,19,8,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2021-22,2020-21,11,28,5,false,1528,1604,27,3,54.57142857142857,57.285714285714285,,,,,,,1632,58.285714285714285,1444,51.57142857142857,36,20,26,6,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2022-23,2021-22,11,28,5,false,1561,1548,30,4,55.75,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,29,11,34,18,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2023-24,2022-23,11,28,5,false,1722,1424,27,0,61.5,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,34,23,37,3,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2024-25,2023-24,11,28,5,false,1786,1704,26,0,63.785714285714285,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,33,8,0,0,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2025-26,2024-25,11,28,5,false,1519,1489,24,0,54.25,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,33,17,0,0,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2020-21,2019-20,16,23,5,false,1320,1189,23,2,57.391304347826086,51.69565217391305,,,,,,,1155,50.21739130434783,1042,45.30434782608695,26,3,19,8,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2021-22,2020-21,16,23,5,false,1298,1260,24,3,56.43478260869565,54.78260869565217,,,,,,,1278,55.56521739130435,1153,50.130434782608695,36,13,26,6,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2022-23,2021-22,16,23,5,false,1354,1106,23,2,58.869565217391305,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,29,3,34,18,-,none
CHIPPREP3#1,1786633955-567691,no preparation,0,true,2023-24,2022-23,16,23,5,false,1448,1077,22,1,62.95652173913044,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,34,0,37,3,-,none
