sweep,run_id,key,value
CHIPPREP3#1,1786633955-567691,commit,e447e4db1155ee74a098252365e8f42ca0cf7956
CHIPPREP3#1,1786633955-567691,dirty,false
CHIPPREP3#1,1786633955-567691,constants_digest,67455aaa8835
CHIPPREP3#1,1786633955-567691,bank_up_to,5
CHIPPREP3#1,1786633955-567691,season,2020-21<-2019-20
CHIPPREP3#1,1786633955-567691,season,2021-22<-2020-21
CHIPPREP3#1,1786633955-567691,season,2022-23<-2021-22
CHIPPREP3#1,1786633955-567691,season,2023-24<-2022-23
CHIPPREP3#1,1786633955-567691,season,2024-25<-2023-24
CHIPPREP3#1,1786633955-567691,season,2025-26<-2024-25
CHIPPREP3#1,1786633955-567691,start_gw,1
CHIPPREP3#1,1786633955-567691,start_gw,6
CHIPPREP3#1,1786633955-567691,start_gw,11
CHIPPREP3#1,1786633955-567691,start_gw,16
CHIPPREP3#1,1786633955-567691,start_gw,21
CHIPPREP3#1,1786633955-567691,start_gw,26
CHIPPREP3#1,1786633955-567691,declared_arm,0	no preparation
CHIPPREP3#1,1786633955-567691,declared_arm,1	build toward the bench boost
CHIPPREP3#1,1786633955-567691,declared_arm,2	build toward the triple captain
CHIPPREP3#1,1786633955-567691,declared_arm,3	build toward both
CHIPPREP3#1,1786633955-567691,constant,chip_plan.bench_boost_gameweek	8
CHIPPREP3#1,1786633955-567691,constant,chip_plan.free_hit_gameweek	16
CHIPPREP3#1,1786633955-567691,constant,chip_plan.triple_captain_gameweek	9
CHIPPREP3#1,1786633955-567691,constant,chip_plan.wildcard_gameweek	6
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.BOU[0].note	enters at round three as a European qualifier
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.BOU[0].start_date	2026-09-15
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.BRE[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.BRE[0].match_dates	6 items, sha f7a87904"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.BRE[0].note	enters at round two
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.BRE[0].start_date	2026-08-26
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.CHE[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.CHE[0].match_dates	6 items, sha f7a87904"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.CHE[0].note	enters at round two
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.CHE[0].start_date	2026-08-26
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.COV[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.COV[0].match_dates	6 items, sha f7a87904"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.COV[0].note	enters at round two
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.COV[0].start_date	2026-08-26
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.CRY[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.CRY[0].match_dates	5 items, sha 3f0a0705"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.CRY[0].note	enters at round three as a European qualifier
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.CRY[0].start_date	2026-09-15
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.EVE[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.EVE[0].match_dates	6 items, sha f7a87904"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.EVE[0].note	enters at round two
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.EVE[0].start_date	2026-08-26
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.FUL[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.FUL[0].match_dates	6 items, sha f7a87904"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.FUL[0].note	enters at round two
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.FUL[0].start_date	2026-08-26
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.HUL[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.HUL[0].match_dates	6 items, sha f7a87904"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.HUL[0].note	enters at round two
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.HUL[0].start_date	2026-08-26
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.IPS[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.IPS[0].match_dates	6 items, sha f7a87904"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.IPS[0].note	enters at round two
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.IPS[0].start_date	2026-08-26
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.LEE[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.LEE[0].match_dates	6 items, sha f7a87904"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.LEE[0].note	enters at round two
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.LEE[0].start_date	2026-08-26
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.LIV[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.LIV[0].match_dates	5 items, sha 3f0a0705"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.LIV[0].note	enters at round three as a European qualifier
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.LIV[0].start_date	2026-09-15
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.MCI[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.MCI[0].match_dates	5 items, sha 3f0a0705"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.MCI[0].note	enters at round three as a European qualifier
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.MCI[0].start_date	2026-09-15
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.MUN[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.MUN[0].match_dates	5 items, sha 3f0a0705"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.MUN[0].note	enters at round three as a European qualifier
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.MUN[0].start_date	2026-09-15
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.NEW[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.NEW[0].match_dates	6 items, sha f7a87904"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.NEW[0].note	enters at round two
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.NEW[0].start_date	2026-08-26
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.NFO[0].competition	League Cup
CHIPPREP3#1,1786633955-567691,constant,"congestion.domestic_cup_campaigns.NFO[0].match_dates	6 items, sha f7a87904"
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.NFO[0].note	enters at round two
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.NFO[0].start_date	2026-08-26
CHIPPREP3#1,1786633955-567691,constant,congestion.domestic_cup_campaigns.SUN[0].competition	League Cup
