sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,oracle,oracle_kind
CHIPSEQ2#1,1786633231-564171,neither,0,true,2020-21,2019-20,1,38,5,false,2171,1711,45,3,57.13157894736842,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,26,11,19,8,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2021-22,2020-21,1,38,5,false,2223,1942,50,6,58.5,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,36,29,26,6,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2022-23,2021-22,1,38,5,false,2051,1842,44,2,53.973684210526315,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,29,11,34,18,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2023-24,2022-23,1,38,5,false,2317,1809,47,1,60.973684210526315,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,34,0,37,3,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2024-25,2023-24,1,38,5,false,2283,1847,42,2,60.078947368421055,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,33,14,0,0,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2025-26,2024-25,1,38,5,false,2137,1514,43,2,56.23684210526316,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,33,0,0,0,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2020-21,2019-20,6,33,5,false,1872,1634,40,4,56.72727272727273,49.515151515151516,,,,,,,1633,49.484848484848484,1447,43.84848484848485,26,4,19,8,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2021-22,2020-21,6,33,5,false,1855,1513,44,5,56.21212121212121,45.84848484848485,,,,,,,1536,46.54545454545455,1291,39.121212121212125,36,20,26,6,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2022-23,2021-22,6,33,5,false,1767,1563,41,5,53.54545454545455,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,29,10,34,18,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2023-24,2022-23,6,33,5,false,2081,1662,39,2,63.06060606060606,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,34,0,37,3,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2024-25,2023-24,6,33,5,false,1967,1762,39,3,59.60606060606061,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,33,8,0,0,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2025-26,2024-25,6,33,5,false,1844,1742,37,1,55.878787878787875,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,33,1,0,0,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2020-21,2019-20,11,28,5,false,1585,1389,35,2,56.607142857142854,49.607142857142854,,,,,,,1387,49.535714285714285,1212,43.285714285714285,26,11,19,8,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2021-22,2020-21,11,28,5,false,1546,1604,38,3,55.214285714285715,57.285714285714285,,,,,,,1632,58.285714285714285,1444,51.57142857142857,36,6,26,6,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2022-23,2021-22,11,28,5,false,1561,1548,30,4,55.75,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,29,11,34,18,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2023-24,2022-23,11,28,5,false,1734,1424,34,0,61.92857142857143,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,34,0,37,3,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2024-25,2023-24,11,28,5,false,1832,1704,31,0,65.42857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,33,14,0,0,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2025-26,2024-25,11,28,5,false,1507,1489,28,0,53.82142857142857,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,33,5,0,0,-,none
CHIPSEQ2#1,1786633231-564171,neither,0,true,2020-21,2019-20,16,23,5,false,1344,1189,28,2,58.43478260869565,51.69565217391305,,,,,,,1155,50.21739130434783,1042,45.30434782608695,26,4,19,8,-,none
