sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,oracle,oracle_kind
BLEND#1,1786708411-807087,BlendRateK=8 (ships),0,true,2020-21,2019-20,1,38,5,false,2155,1711,39,3,56.71052631578947,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,0,0,0,0,-,none
BLEND#1,1786708411-807087,BlendRateK=8 (ships),0,true,2021-22,2020-21,1,38,5,false,2276,1942,42,6,59.89473684210526,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,0,0,0,0,-,none
BLEND#1,1786708411-807087,BlendRateK=8 (ships),0,true,2022-23,2021-22,1,38,5,false,2052,1842,38,2,54,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,0,0,0,0,-,none
BLEND#1,1786708411-807087,BlendRateK=8 (ships),0,true,2023-24,2022-23,1,38,5,false,2233,1809,37,1,58.76315789473684,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,0,0,0,0,-,none
BLEND#1,1786708411-807087,BlendRateK=8 (ships),0,true,2024-25,2023-24,1,38,5,false,2218,1847,35,2,58.36842105263158,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,0,0,0,0,-,none
BLEND#1,1786708411-807087,BlendRateK=8 (ships),0,true,2025-26,2024-25,1,38,5,false,2134,1514,36,2,56.1578947368421,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,0,0,0,0,-,none
BLEND#1,1786708411-807087,BlendRateK=8 (ships),0,true,2020-21,2019-20,6,33,5,false,1798,1634,36,5,54.484848484848484,49.515151515151516,,,,,,,1633,49.484848484848484,1447,43.84848484848485,0,0,0,0,-,none
BLEND#1,1786708411-807087,BlendRateK=8 (ships),0,true,2021-22,2020-21,6,33,5,false,1851,1513,36,5,56.09090909090909,45.84848484848485,,,,,,,1536,46.54545454545455,1291,39.121212121212125,0,0,0,0,-,none
BLEND#1,1786708411-807087,BlendRateK=8 (ships),0,true,2022-23,2021-22,6,33,5,false,1809,1563,31,1,54.81818181818182,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,0,0,0,0,-,none
BLEND#1,1786708411-807087,BlendRateK=8 (ships),0,true,2023-24,2022-23,6,33,5,false,2077,1662,33,2,62.93939393939394,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,0,0,0,0,-,none
BLEND#1,1786708411-807087,BlendRateK=8 (ships),0,true,2024-25,2023-24,6,33,5,false,1940,1762,33,4,58.78787878787879,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,0,0,0,0,-,none
BLEND#1,1786708411-807087,BlendRateK=8 (ships),0,true,2025-26,2024-25,6,33,5,false,1865,1742,31,3,56.515151515151516,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,0,0,0,0,-,none
BLEND#1,1786708411-807087,BlendRateK=8 (ships),0,true,2020-21,2019-20,11,28,5,false,1617,1389,24,1,57.75,49.607142857142854,,,,,,,1387,49.535714285714285,1212,43.285714285714285,0,0,0,0,-,none
