sweep,run_id,metric,variant,variant_index,baseline_variant,mean_per_gw,n_cells,oracle
BLENDLO#1,1786721062-875311,policy,BlendRateK=3,1,BlendRateK=8 (ships),-0.15122280959428125,36,-
BLENDLO#1,1786721062-875311,policy,BlendRateK=5,2,BlendRateK=8 (ships),-0.21670516674330564,36,-
BLENDLO#1,1786721062-875311,policy,BlendRateK=12,3,BlendRateK=8 (ships),-0.35049146900786887,36,-
BLENDLO#1,1786721062-875311,policy,BlendRateK=16,4,BlendRateK=8 (ships),-0.27554450027752886,36,-
BLENDLO#1,1786721062-875311,policy,BlendRateK=24,5,BlendRateK=8 (ships),-0.7521742284328096,36,-
BLENDLO#1,1786721062-875311,hold,BlendRateK=3,1,BlendRateK=8 (ships),-0.10716738448431823,36,-
BLENDLO#1,1786721062-875311,hold,BlendRateK=5,2,BlendRateK=8 (ships),0.048148520688566045,36,-
BLENDLO#1,1786721062-875311,hold,BlendRateK=12,3,BlendRateK=8 (ships),-0.30617774920787927,36,-
BLENDLO#1,1786721062-875311,hold,BlendRateK=16,4,BlendRateK=8 (ships),0.30613906109710776,36,-
BLENDLO#1,1786721062-875311,hold,BlendRateK=24,5,BlendRateK=8 (ships),0.3314613618294011,36,-
BLENDLO#1,1786721062-875311,hold_fixedcap,BlendRateK=3,1,BlendRateK=8 (ships),0.4208857768640374,36,-
BLENDLO#1,1786721062-875311,hold_fixedcap,BlendRateK=5,2,BlendRateK=8 (ships),0.3307860952788489,36,-
BLENDLO#1,1786721062-875311,hold_fixedcap,BlendRateK=12,3,BlendRateK=8 (ships),-0.23753933264802798,36,-
BLENDLO#1,1786721062-875311,hold_fixedcap,BlendRateK=16,4,BlendRateK=8 (ships),0.3120596861538893,36,-
BLENDLO#1,1786721062-875311,hold_fixedcap,BlendRateK=24,5,BlendRateK=8 (ships),0.39453139453139485,36,-
BLENDLO#1,1786721062-875311,hold_nocap,BlendRateK=3,1,BlendRateK=8 (ships),0.07293558561674492,36,-
BLENDLO#1,1786721062-875311,hold_nocap,BlendRateK=5,2,BlendRateK=8 (ships),0.10096545966111156,36,-
BLENDLO#1,1786721062-875311,hold_nocap,BlendRateK=12,3,BlendRateK=8 (ships),-0.2253391737087394,36,-
BLENDLO#1,1786721062-875311,hold_nocap,BlendRateK=16,4,BlendRateK=8 (ships),0.2400092191758859,36,-
BLENDLO#1,1786721062-875311,hold_nocap,BlendRateK=24,5,BlendRateK=8 (ships),0.2788209844369269,36,-
