sweep,run_id,key,value
BLENDLO#1,1786721062-875311,commit,5a683b0a36687407422cd99390919703a2f16157
BLENDLO#1,1786721062-875311,dirty,true
BLENDLO#1,1786721062-875311,constants_digest,67455aaa8835
BLENDLO#1,1786721062-875311,bank_up_to,5
BLENDLO#1,1786721062-875311,season,2020-21<-2019-20
BLENDLO#1,1786721062-875311,season,2021-22<-2020-21
BLENDLO#1,1786721062-875311,season,2022-23<-2021-22
BLENDLO#1,1786721062-875311,season,2023-24<-2022-23
BLENDLO#1,1786721062-875311,season,2024-25<-2023-24
BLENDLO#1,1786721062-875311,season,2025-26<-2024-25
BLENDLO#1,1786721062-875311,start_gw,1
BLENDLO#1,1786721062-875311,start_gw,6
BLENDLO#1,1786721062-875311,start_gw,11
BLENDLO#1,1786721062-875311,start_gw,16
BLENDLO#1,1786721062-875311,start_gw,21
BLENDLO#1,1786721062-875311,start_gw,26
BLENDLO#1,1786721062-875311,declared_arm,0	BlendRateK=8 (ships)
BLENDLO#1,1786721062-875311,declared_arm,1	BlendRateK=3
BLENDLO#1,1786721062-875311,declared_arm,2	BlendRateK=5
BLENDLO#1,1786721062-875311,declared_arm,3	BlendRateK=12
BLENDLO#1,1786721062-875311,declared_arm,4	BlendRateK=16
BLENDLO#1,1786721062-875311,declared_arm,5	BlendRateK=24
BLENDLO#1,1786721062-875311,constant,chip_plan.bench_boost_gameweek	8
BLENDLO#1,1786721062-875311,constant,chip_plan.free_hit_gameweek	16
BLENDLO#1,1786721062-875311,constant,chip_plan.triple_captain_gameweek	9
BLENDLO#1,1786721062-875311,constant,chip_plan.wildcard_gameweek	6
BLENDLO#1,1786721062-875311,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
BLENDLO#1,1786721062-875311,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
BLENDLO#1,1786721062-875311,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
BLENDLO#1,1786721062-875311,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
BLENDLO#1,1786721062-875311,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
BLENDLO#1,1786721062-875311,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
BLENDLO#1,1786721062-875311,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
BLENDLO#1,1786721062-875311,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
BLENDLO#1,1786721062-875311,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
BLENDLO#1,1786721062-875311,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
BLENDLO#1,1786721062-875311,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
BLENDLO#1,1786721062-875311,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
BLENDLO#1,1786721062-875311,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
BLENDLO#1,1786721062-875311,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
BLENDLO#1,1786721062-875311,constant,congestion.domestic_cup_campaigns.BOU[0].note	enters at round three as a European qualifier
BLENDLO#1,1786721062-875311,constant,congestion.domestic_cup_campaigns.BOU[0].start_date	2026-09-15
BLENDLO#1,1786721062-875311,constant,congestion.domestic_cup_campaigns.BRE[0].competition	League Cup
BLENDLO#1,1786721062-875311,constant,"congestion.domestic_cup_campaigns.BRE[0].match_dates	6 items, sha f7a87904"
BLENDLO#1,1786721062-875311,constant,congestion.domestic_cup_campaigns.BRE[0].note	enters at round two
BLENDLO#1,1786721062-875311,constant,congestion.domestic_cup_campaigns.BRE[0].start_date	2026-08-26
BLENDLO#1,1786721062-875311,constant,congestion.domestic_cup_campaigns.CHE[0].competition	League Cup
