sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,floor_flips_le28,floor_flips_gt28,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
ANCHORED#1,1787702178-1596158,chips at fixed offsets from entry,0,true,2020-21,2019-20,1,38,5,false,2091,1628,42,5,55.026315789473685,42.8421052631579,,,,,,,1628,42.8421052631579,1388,36.526315789473685,36,0,,,1.1111111111111112,32,37,10,12,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,7,0,14,16,,,,,,,,,,,1613.0156880372417,42.44778126413794,2057.5390002474905,54.14576316440765,,55,98b82c09e797,-,none
ANCHORED#1,1787702178-1596158,chips at fixed offsets from entry,0,true,2021-22,2020-21,1,38,5,false,2235,1942,43,5,58.81578947368421,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,36,0,,,1.25,32,38,17,8,16,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,7,0,14,15,,,,,,,,,,,1925.730264990003,50.67711223657903,2283.899217877958,60.10261099678837,,55,2ee4dc9e44a7,-,none
ANCHORED#1,1787702178-1596158,chips at fixed offsets from entry,0,true,2022-23,2021-22,1,38,5,false,2090,1857,40,3,55,48.86842105263158,,,,,,,1855,48.81578947368421,1607,42.28947368421053,36,0,,,1.6388888888888888,32,35,14,6,15,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,22,0,0,7,0,14,1,,,,,,,,,,,1880.4174544158348,49.48466985304828,2095.113641012703,55.13456950033429,,55,daf912cff2eb,-,none
ANCHORED#1,1787702178-1596158,chips at fixed offsets from entry,0,true,2023-24,2022-23,1,38,5,false,2379,1806,40,3,62.60526315789474,47.526315789473685,,,,,,,1780,46.8421052631579,1569,41.28947368421053,36,0,,,1.6111111111111112,32,36,16,9,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,7,1,14,5,,,,,,,,,,,1847.281228959663,48.61266391999113,2323.928877773734,61.15602309930878,,55,7df5f95f1759,-,none
ANCHORED#1,1787702178-1596158,chips at fixed offsets from entry,0,true,2024-25,2023-24,1,38,5,false,2444,1908,38,1,64.3157894736842,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,36,0,,,1.8333333333333333,32,33,14,9,11,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,7,2,0,0,,,,,,,,,,,1984.839567078322,52.23262018627163,2330.713054659753,61.33455406999351,,55,d0f719155ebc,-,none
ANCHORED#1,1787702178-1596158,chips at fixed offsets from entry,0,true,2025-26,2024-25,1,38,5,false,2183,1523,35,1,57.44736842105263,40.078947368421055,,,,,,,1529,40.23684210526316,1375,36.18421052631579,36,0,,,1.3888888888888888,32,30,9,8,-5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,7,2,0,0,,,,,,,,,,,1583.8646329653097,41.680648235929205,2109.0447645869403,55.501178015445795,,55,cdb305de770a,-,none
ANCHORED#1,1787702178-1596158,chips at fixed offsets from entry,0,true,2020-21,2019-20,6,33,5,false,1742,1564,36,4,52.78787878787879,47.39393939393939,,,,,,,1556,47.15151515151515,1364,41.333333333333336,31,0,,,1.2903225806451613,31,36,8,12,-7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,12,0,19,8,,,,,,,,,,,1607.8659884381584,48.72321177085328,1777.06468888368,53.85044511768727,,55,e4f19b098970,-,none
ANCHORED#1,1787702178-1596158,chips at fixed offsets from entry,0,true,2021-22,2020-21,6,33,5,false,1962,1697,38,6,59.45454545454545,51.42424242424242,,,,,,,1703,51.60606060606061,1488,45.09090909090909,31,0,,,1.3225806451612903,31,38,14,10,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,12,7,19,0,,,,,,,,,,,1717.4237818225079,52.04314490371236,2010.8949450957366,60.93621045744656,,55,ed57ca1f3812,-,none
ANCHORED#1,1787702178-1596158,chips at fixed offsets from entry,0,true,2022-23,2021-22,6,33,5,false,1833,1561,28,0,55.54545454545455,47.303030303030305,,,,,,,1500,45.45454545454545,1372,41.57575757575758,31,0,,,3,31,28,12,8,2,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,16,0,0,12,0,19,2,,,,,,,,,,,1550.0004339075806,46.969710118411534,1858.889897110418,56.32999688213388,,55,9193eb4c0665,-,none
ANCHORED#1,1787702178-1596158,chips at fixed offsets from entry,0,true,2023-24,2022-23,6,33,5,false,2107,1724,33,2,63.84848484848485,52.24242424242424,,,,,,,1702,51.57575757575758,1484,44.96969696969697,31,0,,,1.967741935483871,31,33,12,13,4,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,12,0,19,3,,,,,,,,,,,1721.7944263935356,52.175588678591986,2079.864593378498,63.02619979934842,,55,a4cd558c8a6c,-,none
