sweep,run_id,metric,variant,variant_index,baseline_variant,mean_per_gw,n_cells,oracle
ANCHORED#1,1787702178-1596158,policy,chips anchored on the calendar (full sight),1,chips at fixed offsets from entry,1.4178139288741887,36,-
ANCHORED#1,1787702178-1596158,policy,"anchored, 2 gameweeks of sight",2,chips at fixed offsets from entry,0.9304682378671707,36,-
ANCHORED#1,1787702178-1596158,policy,"anchored, 4 gameweeks of sight",3,chips at fixed offsets from entry,1.2185589804296908,36,-
ANCHORED#1,1787702178-1596158,policy,"anchored, 6 gameweeks of sight",4,chips at fixed offsets from entry,1.2345062239227007,36,-
ANCHORED#1,1787702178-1596158,policy_xpoints,chips anchored on the calendar (full sight),1,chips at fixed offsets from entry,1.1612145037423693,36,-
ANCHORED#1,1787702178-1596158,policy_xpoints,"anchored, 2 gameweeks of sight",2,chips at fixed offsets from entry,0.7185569250402241,36,-
ANCHORED#1,1787702178-1596158,policy_xpoints,"anchored, 4 gameweeks of sight",3,chips at fixed offsets from entry,0.9822200204097923,36,-
ANCHORED#1,1787702178-1596158,policy_xpoints,"anchored, 6 gameweeks of sight",4,chips at fixed offsets from entry,0.9934755965523225,36,-
ANCHORED#1,1787702178-1596158,hold,chips anchored on the calendar (full sight),1,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787702178-1596158,hold,"anchored, 2 gameweeks of sight",2,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787702178-1596158,hold,"anchored, 4 gameweeks of sight",3,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787702178-1596158,hold,"anchored, 6 gameweeks of sight",4,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787702178-1596158,hold_xpoints,chips anchored on the calendar (full sight),1,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787702178-1596158,hold_xpoints,"anchored, 2 gameweeks of sight",2,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787702178-1596158,hold_xpoints,"anchored, 4 gameweeks of sight",3,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787702178-1596158,hold_xpoints,"anchored, 6 gameweeks of sight",4,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787702178-1596158,hold_fixedcap,chips anchored on the calendar (full sight),1,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787702178-1596158,hold_fixedcap,"anchored, 2 gameweeks of sight",2,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787702178-1596158,hold_fixedcap,"anchored, 4 gameweeks of sight",3,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787702178-1596158,hold_fixedcap,"anchored, 6 gameweeks of sight",4,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787702178-1596158,hold_nocap,chips anchored on the calendar (full sight),1,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787702178-1596158,hold_nocap,"anchored, 2 gameweeks of sight",2,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787702178-1596158,hold_nocap,"anchored, 4 gameweeks of sight",3,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787702178-1596158,hold_nocap,"anchored, 6 gameweeks of sight",4,chips at fixed offsets from entry,0,36,-
