sweep,run_id,key,value
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,commit,3b8bf1ab4f02447d18a497e79e37a57c178e197b
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,dirty,false
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,constants_digest,b7af8440a3f4
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,bank_up_to,5
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,season,2020-21<-2019-20
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,season,2021-22<-2020-21
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,season,2022-23<-2021-22
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,season,2023-24<-2022-23
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,season,2024-25<-2023-24
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,season,2025-26<-2024-25
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,start_gw,1
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,start_gw,6
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,start_gw,11
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,start_gw,16
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,start_gw,21
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,start_gw,26
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,declared_arm,"0	wildcard, fixed offset (control)"
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,declared_arm,"1	wildcard, anchored (4gw sight)"
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,constant,chip_plan.bench_boost_gameweek	8
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,constant,chip_plan.free_hit_gameweek	16
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,constant,chip_plan.triple_captain_gameweek	9
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,constant,chip_plan.wildcard_gameweek	6
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
TestDiagAnchoredChipDecomposition#1,1787710440-1642993,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
