sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,floor_flips_le28,floor_flips_gt28,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
ANCHORED#1,1787686781-1459534,chips at fixed offsets from entry,0,true,2020-21,2019-20,1,38,5,false,2184,1628,37,1,57.473684210526315,42.8421052631579,,,,,,,1628,42.8421052631579,1388,36.526315789473685,36,0,,,1.25,32,32,7,12,-8,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,7,0,14,16,,,,,,,,,,,1629.8410135822319,42.8905529890061,2160.8011258650804,56.86318752276527,,55,98b82c09e797,-,none
ANCHORED#1,1787686781-1459534,chips at fixed offsets from entry,0,true,2021-22,2020-21,1,38,5,false,2263,1896,43,6,59.55263157894737,49.89473684210526,,,,,,,1941,51.078947368421055,1646,43.31578947368421,36,0,,,1.1388888888888888,32,38,14,12,-1,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,7,0,14,15,,,,,,,,,,,1900.8006137807054,50.02106878370277,2295.78477388588,60.41538878647052,,55,afeb5fe71ddc,-,none
ANCHORED#1,1787686781-1459534,chips at fixed offsets from entry,0,true,2022-23,2021-22,1,38,5,false,2110,1842,38,3,55.526315789473685,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,36,0,,,1.6666666666666667,32,34,18,8,14,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,22,0,0,7,0,14,1,,,,,,,,,,,1851.9591496843016,48.73576709695531,2146.3491797511274,56.48287315134546,,55,fe5b3efc1102,-,none
ANCHORED#1,1787686781-1459534,chips at fixed offsets from entry,0,true,2023-24,2022-23,1,38,5,false,2318,1806,42,5,61,47.526315789473685,,,,,,,1780,46.8421052631579,1569,41.28947368421053,36,0,,,1.2222222222222223,32,36,14,9,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,7,9,14,5,,,,,,,,,,,1847.281228959663,48.61266391999113,2359.16374854415,62.08325654063553,,55,7df5f95f1759,-,none
ANCHORED#1,1787686781-1459534,chips at fixed offsets from entry,0,true,2024-25,2023-24,1,38,5,false,2324,1908,39,4,61.1578947368421,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,36,0,,,1.8888888888888888,32,36,14,14,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,7,3,0,0,,,,,,,,,,,1984.839567078322,52.23262018627163,2254.624443109722,59.33222218709795,,55,d0f719155ebc,-,none
ANCHORED#1,1787686781-1459534,chips at fixed offsets from entry,0,true,2025-26,2024-25,1,38,5,false,2100,1523,38,3,55.26315789473684,40.078947368421055,,,,,,,1529,40.23684210526316,1375,36.18421052631579,36,0,,,1.2222222222222223,32,33,10,9,4,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,7,3,0,0,,,,,,,,,,,1583.8646329653097,41.680648235929205,2030.4652363976961,53.43329569467621,,55,cdb305de770a,-,none
ANCHORED#1,1787686781-1459534,chips at fixed offsets from entry,0,true,2020-21,2019-20,6,33,5,false,1792,1613,33,2,54.303030303030305,48.878787878787875,,,,,,,1616,48.96969696969697,1430,43.333333333333336,31,0,,,1.4516129032258065,31,33,7,9,-4,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,12,6,19,8,,,,,,,,,,,1684.09280283701,51.03311523748515,1894.6638425848596,57.41405583590483,,55,4b8efe4c64ac,-,none
ANCHORED#1,1787686781-1459534,chips at fixed offsets from entry,0,true,2021-22,2020-21,6,33,5,false,1901,1577,38,6,57.60606060606061,47.78787878787879,,,,,,,1600,48.484848484848484,1355,41.06060606060606,31,0,,,1.4516129032258065,31,38,12,10,-1,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,12,7,19,0,,,,,,,,,,,1697.4573396224507,51.43810120068032,1986.6990695817228,60.203002108537056,,55,f9ab0649ed9b,-,none
ANCHORED#1,1787686781-1459534,chips at fixed offsets from entry,0,true,2022-23,2021-22,6,33,5,false,1895,1558,33,2,57.42424242424242,47.21212121212121,,,,,,,1506,45.63636363636363,1379,41.78787878787879,31,0,,,2,31,33,16,5,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,16,0,0,12,9,19,2,,,,,,,,,,,1553.0492825250883,47.06209947045722,1890.9372441743224,57.3011286113431,,55,8eeb264adf2d,-,none
ANCHORED#1,1787686781-1459534,chips at fixed offsets from entry,0,true,2023-24,2022-23,6,33,5,false,2064,1657,32,0,62.54545454545455,50.21212121212121,,,,,,,1635,49.54545454545455,1417,42.93939393939394,31,0,,,1.935483870967742,31,32,13,4,18,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,12,1,19,3,,,,,,,,,,,1654.2916352626007,50.13004955341214,2082.1205749312276,63.09456287670387,,55,e4d98525659c,-,none
