sweep,run_id,metric,variant,variant_index,baseline_variant,mean_per_gw,n_cells,oracle
ANCHORED#1,1787686781-1459534,policy,chips anchored on the calendar (full sight),1,chips at fixed offsets from entry,1.1590803114449184,36,-
ANCHORED#1,1787686781-1459534,policy,"anchored, 2 gameweeks of sight",2,chips at fixed offsets from entry,0.7257605941816467,36,-
ANCHORED#1,1787686781-1459534,policy,"anchored, 4 gameweeks of sight",3,chips at fixed offsets from entry,1.0374405907395994,36,-
ANCHORED#1,1787686781-1459534,policy,"anchored, 6 gameweeks of sight",4,chips at fixed offsets from entry,1.0404963288258484,36,-
ANCHORED#1,1787686781-1459534,policy_xpoints,chips anchored on the calendar (full sight),1,chips at fixed offsets from entry,0.8312434940260532,36,-
ANCHORED#1,1787686781-1459534,policy_xpoints,"anchored, 2 gameweeks of sight",2,chips at fixed offsets from entry,0.5317800942296862,36,-
ANCHORED#1,1787686781-1459534,policy_xpoints,"anchored, 4 gameweeks of sight",3,chips at fixed offsets from entry,0.7299119907564378,36,-
ANCHORED#1,1787686781-1459534,policy_xpoints,"anchored, 6 gameweeks of sight",4,chips at fixed offsets from entry,0.7443617966499809,36,-
ANCHORED#1,1787686781-1459534,hold,chips anchored on the calendar (full sight),1,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787686781-1459534,hold,"anchored, 2 gameweeks of sight",2,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787686781-1459534,hold,"anchored, 4 gameweeks of sight",3,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787686781-1459534,hold,"anchored, 6 gameweeks of sight",4,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787686781-1459534,hold_xpoints,chips anchored on the calendar (full sight),1,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787686781-1459534,hold_xpoints,"anchored, 2 gameweeks of sight",2,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787686781-1459534,hold_xpoints,"anchored, 4 gameweeks of sight",3,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787686781-1459534,hold_xpoints,"anchored, 6 gameweeks of sight",4,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787686781-1459534,hold_fixedcap,chips anchored on the calendar (full sight),1,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787686781-1459534,hold_fixedcap,"anchored, 2 gameweeks of sight",2,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787686781-1459534,hold_fixedcap,"anchored, 4 gameweeks of sight",3,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787686781-1459534,hold_fixedcap,"anchored, 6 gameweeks of sight",4,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787686781-1459534,hold_nocap,chips anchored on the calendar (full sight),1,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787686781-1459534,hold_nocap,"anchored, 2 gameweeks of sight",2,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787686781-1459534,hold_nocap,"anchored, 4 gameweeks of sight",3,chips at fixed offsets from entry,0,36,-
ANCHORED#1,1787686781-1459534,hold_nocap,"anchored, 6 gameweeks of sight",4,chips at fixed offsets from entry,0,36,-
