sweep,run_id,key,value
ANCHORED#1,1787686781-1459534,commit,f7d2be1b4982a23a6f4548089866e84a922ca9bd
ANCHORED#1,1787686781-1459534,dirty,false
ANCHORED#1,1787686781-1459534,constants_digest,b7af8440a3f4
ANCHORED#1,1787686781-1459534,bank_up_to,5
ANCHORED#1,1787686781-1459534,season,2020-21<-2019-20
ANCHORED#1,1787686781-1459534,season,2021-22<-2020-21
ANCHORED#1,1787686781-1459534,season,2022-23<-2021-22
ANCHORED#1,1787686781-1459534,season,2023-24<-2022-23
ANCHORED#1,1787686781-1459534,season,2024-25<-2023-24
ANCHORED#1,1787686781-1459534,season,2025-26<-2024-25
ANCHORED#1,1787686781-1459534,start_gw,1
ANCHORED#1,1787686781-1459534,start_gw,6
ANCHORED#1,1787686781-1459534,start_gw,11
ANCHORED#1,1787686781-1459534,start_gw,16
ANCHORED#1,1787686781-1459534,start_gw,21
ANCHORED#1,1787686781-1459534,start_gw,26
ANCHORED#1,1787686781-1459534,declared_arm,0	chips at fixed offsets from entry
ANCHORED#1,1787686781-1459534,declared_arm,1	chips anchored on the calendar (full sight)
ANCHORED#1,1787686781-1459534,declared_arm,"2	anchored, 2 gameweeks of sight"
ANCHORED#1,1787686781-1459534,declared_arm,"3	anchored, 4 gameweeks of sight"
ANCHORED#1,1787686781-1459534,declared_arm,"4	anchored, 6 gameweeks of sight"
ANCHORED#1,1787686781-1459534,constant,chip_plan.bench_boost_gameweek	8
ANCHORED#1,1787686781-1459534,constant,chip_plan.free_hit_gameweek	16
ANCHORED#1,1787686781-1459534,constant,chip_plan.triple_captain_gameweek	9
ANCHORED#1,1787686781-1459534,constant,chip_plan.wildcard_gameweek	6
ANCHORED#1,1787686781-1459534,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
ANCHORED#1,1787686781-1459534,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
ANCHORED#1,1787686781-1459534,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
ANCHORED#1,1787686781-1459534,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
ANCHORED#1,1787686781-1459534,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
ANCHORED#1,1787686781-1459534,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
ANCHORED#1,1787686781-1459534,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
ANCHORED#1,1787686781-1459534,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
