sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,floor_flips_le28,floor_flips_gt28,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2020-21,2019-20,1,38,5,false,2107,1628,46,2,55.44736842105263,42.8421052631579,,,,,,,1628,42.8421052631579,1388,36.526315789473685,36,0,,,1.4722222222222223,32,33,9,12,-2,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,0,0,,,,,,,,,,,1629.8410135822319,42.8905529890061,2159.7278049756414,56.834942236201094,,55,98b82c09e797,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2021-22,2020-21,1,38,5,false,2193,1896,52,7,57.71052631578947,49.89473684210526,,,,,,,1941,51.078947368421055,1646,43.31578947368421,36,0,,,1.3333333333333333,32,39,17,12,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,0,0,0,0,,,,,,,,,,,1900.8006137807054,50.02106878370277,2233.885115052138,58.7864503961089,,55,afeb5fe71ddc,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2022-23,2021-22,1,38,5,false,2112,1842,47,1,55.578947368421055,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,36,0,,,1.4166666666666667,32,34,15,4,22,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,22,0,0,0,0,0,0,,,,,,,,,,,1851.9591496843016,48.73576709695531,2119.811529447774,55.784513932836155,,55,fe5b3efc1102,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2023-24,2022-23,1,38,5,false,2236,1806,47,3,58.8421052631579,47.526315789473685,,,,,,,1780,46.8421052631579,1569,41.28947368421053,36,0,,,1.4722222222222223,32,34,12,7,11,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,0,0,0,0,,,,,,,,,,,1847.281228959663,48.61266391999113,2248.5864014454023,59.173326353826376,,55,7df5f95f1759,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2024-25,2023-24,1,38,5,false,2362,1908,47,2,62.1578947368421,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,36,0,,,1.4166666666666667,32,35,15,12,11,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,1984.839567078322,52.23262018627163,2302.7419048790025,60.59847118102638,,55,d0f719155ebc,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2025-26,2024-25,1,38,5,false,2118,1523,42,2,55.73684210526316,40.078947368421055,,,,,,,1529,40.23684210526316,1375,36.18421052631579,36,0,,,3.0277777777777777,32,27,5,9,-10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,1583.8646329653097,41.680648235929205,2046.320884304549,53.85054958696182,,55,cdb305de770a,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2020-21,2019-20,6,33,5,false,1813,1613,40,3,54.93939393939394,48.878787878787875,,,,,,,1616,48.96969696969697,1430,43.333333333333336,31,0,,,1.6451612903225807,31,34,8,14,-4,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,0,0,,,,,,,,,,,1684.09280283701,51.03311523748515,1897.0609617527202,57.486695810688495,,55,4b8efe4c64ac,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2021-22,2020-21,6,33,5,false,1825,1577,48,8,55.303030303030305,47.78787878787879,,,,,,,1600,48.484848484848484,1355,41.06060606060606,31,0,,,1.2903225806451613,31,39,15,11,7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,0,0,0,0,,,,,,,,,,,1697.4573396224507,51.43810120068032,1922.9463030749357,58.27110009317987,,55,f9ab0649ed9b,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2022-23,2021-22,6,33,5,false,1768,1558,42,3,53.57575757575758,47.21212121212121,,,,,,,1506,45.63636363636363,1379,41.78787878787879,31,0,,,1.3225806451612903,31,34,16,8,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,16,0,0,0,0,0,0,,,,,,,,,,,1553.0492825250883,47.06209947045722,1808.3812910208865,54.799433061238986,,55,8eeb264adf2d,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2023-24,2022-23,6,33,5,false,2076,1657,41,0,62.90909090909091,50.21212121212121,,,,,,,1635,49.54545454545455,1417,42.93939393939394,31,0,,,1.8709677419354838,31,32,14,6,20,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,0,0,0,0,,,,,,,,,,,1654.2916352626007,50.13004955341214,2069.6386932858018,62.71632403896369,,55,e4d98525659c,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2024-25,2023-24,6,33,5,false,1979,1762,41,2,59.96969696969697,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,31,0,,,1.7741935483870968,31,33,20,7,24,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,1774.8051976947927,53.781975687720994,1987.6171715484804,60.230823380256986,,55,5f44285da178,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2025-26,2024-25,6,33,5,false,1859,1744,36,1,56.333333333333336,52.84848484848485,,,,,,,1666,50.484848484848484,1521,46.09090909090909,31,0,,,3.3548387096774195,31,29,8,8,-3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,1684.66381809842,51.05041873025515,1821.9622288240878,55.21097663103296,,55,0dc2d2b17e58,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2020-21,2019-20,11,28,5,false,1647,1470,35,1,58.82142857142857,52.5,,,,,,,1471,52.535714285714285,1296,46.285714285714285,26,0,,,2.269230769230769,26,27,6,17,-17,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,38,43,38,0,0,0,0,0,0,,,,,,,,,,,1497.7056209445889,53.48948646230674,1656.199527029317,59.14998310818989,,55,0b19fd9cb5d8,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2021-22,2020-21,11,28,5,false,1652,1607,37,5,59,57.392857142857146,,,,,,,1635,58.392857142857146,1447,51.67857142857143,26,0,,,1.0769230769230769,26,32,11,9,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,59,0,0,0,0,0,0,,,,,,,,,,,1600.0342377478514,57.144079919566124,1707.8532771252428,60.9947598973301,,55,b9a408253035,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2022-23,2021-22,11,28,5,false,1617,1522,38,3,57.75,54.357142857142854,,,,,,,1424,50.857142857142854,1338,47.785714285714285,26,0,,,1.3846153846153846,26,29,10,9,2,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,16,42,14,0,0,0,0,0,0,,,,,,,,,,,1479.5001593995037,52.83929140712513,1618.216465929706,57.793445211775214,,55,97ce7fa5cdc4,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2023-24,2022-23,11,28,5,false,1682,1438,38,3,60.07142857142857,51.357142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,26,0,,,1.5,26,30,11,9,7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,21,21,21,21,0,0,0,0,0,0,,,,,,,,,,,1421.482920429,50.76724715817857,1721.7883602024046,61.49244143580017,,55,025d70cb5565,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2024-25,2023-24,11,28,5,false,1819,1704,33,1,64.96428571428571,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,26,0,,,1.8461538461538463,26,26,11,9,7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,8,0,0,0,0,0,0,,,,,,,,,,,1656.4013083792024,59.15718958497151,1764.9277669109922,63.033134532535435,,55,d7639030dcde,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2025-26,2024-25,11,28,5,false,1522,1497,29,1,54.357142857142854,53.464285714285715,,,,,,,1469,52.464285714285715,1312,46.857142857142854,26,0,,,2.730769230769231,26,22,6,11,-9,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,1497.3270878420508,53.47596742293039,1529.7691982500412,54.634614223215756,,55,b5c18c2f39b5,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2020-21,2019-20,16,23,5,false,1315,1197,28,1,57.17391304347826,52.04347826086956,,,,,,,1165,50.65217391304348,1052,45.73913043478261,21,0,,,1.5238095238095237,21,22,9,6,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,34,32,23,0,0,0,0,0,0,,,,,,,,,,,1237.3135049055645,53.796239343720195,1357.845343738933,59.036754075605785,,55,622ca390c425,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2021-22,2020-21,16,23,5,false,1365,1260,38,8,59.34782608695652,54.78260869565217,,,,,,,1278,55.56521739130435,1153,50.130434782608695,21,0,,,1.1428571428571428,21,30,12,7,11,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,57,61,27,0,0,0,0,0,0,,,,,,,,,,,1299.404660675238,56.495854811966865,1386.748729118683,60.293423005160136,,55,88076620b267,-,none
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,"wildcard, fixed offset (control)",0,true,2022-23,2021-22,16,23,5,false,1422,1105,31,1,61.82608695652174,48.04347826086956,,,,,,,1044,45.391304347826086,937,40.73913043478261,21,0,,,2.1904761904761907,21,23,9,5,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,14,36,14,0,0,0,0,0,0,,,,,,,,,,,1119.7112697104055,48.68309868306111,1414.0141543681898,61.47887627687782,,55,f8a4e38b18ca,-,none
