sweep,run_id,metric,variant,variant_index,baseline_variant,mean_per_gw,n_cells,oracle
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,policy,"wildcard, anchored (4gw sight)",1,"wildcard, fixed offset (control)",0.23387621609398876,36,-
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,policy_xpoints,"wildcard, anchored (4gw sight)",1,"wildcard, fixed offset (control)",0.06202821470941346,36,-
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,hold,"wildcard, anchored (4gw sight)",1,"wildcard, fixed offset (control)",0,36,-
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,hold_xpoints,"wildcard, anchored (4gw sight)",1,"wildcard, fixed offset (control)",0,36,-
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,hold_fixedcap,"wildcard, anchored (4gw sight)",1,"wildcard, fixed offset (control)",0,36,-
TestDiagAnchoredChipDecomposition#1,1787687750-1468413,hold_nocap,"wildcard, anchored (4gw sight)",1,"wildcard, fixed offset (control)",0,36,-
TestDiagAnchoredChipDecomposition#2,1787687750-1468413,policy,"bench boost, anchored (4gw sight)",1,"bench boost, fixed offset (control)",0.28834063568998836,36,-
TestDiagAnchoredChipDecomposition#2,1787687750-1468413,policy_xpoints,"bench boost, anchored (4gw sight)",1,"bench boost, fixed offset (control)",0.3419756322056937,36,-
TestDiagAnchoredChipDecomposition#2,1787687750-1468413,hold,"bench boost, anchored (4gw sight)",1,"bench boost, fixed offset (control)",0,36,-
TestDiagAnchoredChipDecomposition#2,1787687750-1468413,hold_xpoints,"bench boost, anchored (4gw sight)",1,"bench boost, fixed offset (control)",0,36,-
TestDiagAnchoredChipDecomposition#2,1787687750-1468413,hold_fixedcap,"bench boost, anchored (4gw sight)",1,"bench boost, fixed offset (control)",0,36,-
TestDiagAnchoredChipDecomposition#2,1787687750-1468413,hold_nocap,"bench boost, anchored (4gw sight)",1,"bench boost, fixed offset (control)",0,36,-
TestDiagAnchoredChipDecomposition#3,1787687750-1468413,policy,"free hit, anchored (4gw sight)",1,"free hit, fixed offset (control)",0.7491457376564169,36,-
TestDiagAnchoredChipDecomposition#3,1787687750-1468413,policy_xpoints,"free hit, anchored (4gw sight)",1,"free hit, fixed offset (control)",0.39698855860079973,36,-
TestDiagAnchoredChipDecomposition#3,1787687750-1468413,hold,"free hit, anchored (4gw sight)",1,"free hit, fixed offset (control)",0,36,-
TestDiagAnchoredChipDecomposition#3,1787687750-1468413,hold_xpoints,"free hit, anchored (4gw sight)",1,"free hit, fixed offset (control)",0,36,-
TestDiagAnchoredChipDecomposition#3,1787687750-1468413,hold_fixedcap,"free hit, anchored (4gw sight)",1,"free hit, fixed offset (control)",0,36,-
TestDiagAnchoredChipDecomposition#3,1787687750-1468413,hold_nocap,"free hit, anchored (4gw sight)",1,"free hit, fixed offset (control)",0,36,-
TestDiagAnchoredChipDecomposition#4,1787687750-1468413,policy,"triple captain, anchored (4gw sight)",1,"triple captain, fixed offset (control)",-0.05779596459421082,36,-
TestDiagAnchoredChipDecomposition#4,1787687750-1468413,policy_xpoints,"triple captain, anchored (4gw sight)",1,"triple captain, fixed offset (control)",-0.031151008992957172,36,-
TestDiagAnchoredChipDecomposition#4,1787687750-1468413,hold,"triple captain, anchored (4gw sight)",1,"triple captain, fixed offset (control)",0,36,-
TestDiagAnchoredChipDecomposition#4,1787687750-1468413,hold_xpoints,"triple captain, anchored (4gw sight)",1,"triple captain, fixed offset (control)",0,36,-
TestDiagAnchoredChipDecomposition#4,1787687750-1468413,hold_fixedcap,"triple captain, anchored (4gw sight)",1,"triple captain, fixed offset (control)",0,36,-
TestDiagAnchoredChipDecomposition#4,1787687750-1468413,hold_nocap,"triple captain, anchored (4gw sight)",1,"triple captain, fixed offset (control)",0,36,-
