sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,floor_flips_le28,floor_flips_gt28,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
TestDiagWildcardValue#1,1787687758-1468509,no wildcard (control),0,true,2020-21,2019-20,1,38,5,false,2141,1628,41,6,56.3421052631579,42.8421052631579,,,,,,,1628,42.8421052631579,1388,36.526315789473685,37,0,,,1.3243243243243243,33,36,6,14,-9,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,0,0,,,,,,,,,,,1629.8410135822319,42.8905529890061,2129.177615341798,56.03098987741574,,55,98b82c09e797,-,none
TestDiagWildcardValue#1,1787687758-1468509,no wildcard (control),0,true,2021-22,2020-21,1,38,5,false,2266,1896,43,6,59.63157894736842,49.89473684210526,,,,,,,1941,51.078947368421055,1646,43.31578947368421,37,0,,,1.135135135135135,33,38,14,15,-2,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,0,0,0,0,,,,,,,,,,,1900.8006137807054,50.02106878370277,2271.518670835736,59.77680712725621,,55,afeb5fe71ddc,-,none
TestDiagWildcardValue#1,1787687758-1468509,no wildcard (control),0,true,2022-23,2021-22,1,38,5,false,2145,1842,41,4,56.44736842105263,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,37,0,,,1.5675675675675675,33,37,14,8,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,22,0,0,0,0,0,0,,,,,,,,,,,1851.9591496843016,48.73576709695531,2129.0838127710967,56.028521388713074,,55,fe5b3efc1102,-,none
TestDiagWildcardValue#1,1787687758-1468509,no wildcard (control),0,true,2023-24,2022-23,1,38,5,false,2313,1806,42,5,60.86842105263158,47.526315789473685,,,,,,,1780,46.8421052631579,1569,41.28947368421053,37,0,,,1.2162162162162162,33,36,14,9,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,0,0,0,0,,,,,,,,,,,1847.281228959663,48.61266391999113,2345.1234248745377,61.713774338803624,,55,7df5f95f1759,-,none
TestDiagWildcardValue#1,1787687758-1468509,no wildcard (control),0,true,2024-25,2023-24,1,38,5,false,2271,1908,40,4,59.76315789473684,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,37,0,,,1.5135135135135136,33,37,17,10,9,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,1984.839567078322,52.23262018627163,2247.2356208177816,59.13777949520478,,55,d0f719155ebc,-,none
TestDiagWildcardValue#1,1787687758-1468509,no wildcard (control),0,true,2025-26,2024-25,1,38,5,false,2099,1523,38,3,55.23684210526316,40.078947368421055,,,,,,,1529,40.23684210526316,1375,36.18421052631579,37,0,,,1.2162162162162162,33,33,10,9,4,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,1583.8646329653097,41.680648235929205,2020.731301295924,53.17713950778747,,55,cdb305de770a,-,none
TestDiagWildcardValue#1,1787687758-1468509,no wildcard (control),0,true,2020-21,2019-20,6,33,5,false,1831,1613,32,2,55.484848484848484,48.878787878787875,,,,,,,1616,48.96969696969697,1430,43.333333333333336,32,0,,,1.625,32,32,11,11,-3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,0,0,,,,,,,,,,,1684.09280283701,51.03311523748515,1921.8361092449852,58.237457855908644,,55,4b8efe4c64ac,-,none
TestDiagWildcardValue#1,1787687758-1468509,no wildcard (control),0,true,2021-22,2020-21,6,33,5,false,1837,1577,40,8,55.666666666666664,47.78787878787879,,,,,,,1600,48.484848484848484,1355,41.06060606060606,32,0,,,1.34375,32,40,15,13,2,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,0,0,0,0,,,,,,,,,,,1697.4573396224507,51.43810120068032,1936.9085178927571,58.694197511901734,,55,f9ab0649ed9b,-,none
TestDiagWildcardValue#1,1787687758-1468509,no wildcard (control),0,true,2022-23,2021-22,6,33,5,false,1869,1558,35,4,56.63636363636363,47.21212121212121,,,,,,,1506,45.63636363636363,1379,41.78787878787879,32,0,,,1.78125,32,35,16,6,12,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,16,0,0,0,0,0,0,,,,,,,,,,,1553.0492825250883,47.06209947045722,1840.5538820871318,55.77436006324642,,55,8eeb264adf2d,-,none
TestDiagWildcardValue#1,1787687758-1468509,no wildcard (control),0,true,2023-24,2022-23,6,33,5,false,2048,1657,32,0,62.06060606060606,50.21212121212121,,,,,,,1635,49.54545454545455,1417,42.93939393939394,32,0,,,1.9375,32,32,13,4,18,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,0,0,0,0,,,,,,,,,,,1654.2916352626007,50.13004955341214,2070.515734114538,62.74290103377388,,55,e4d98525659c,-,none
