sweep,run_id,key,value
TestDiagWildcardValue#1,1787687758-1468509,commit,a0f20a018115c65d722c836df6f66078594d1cff
TestDiagWildcardValue#1,1787687758-1468509,dirty,false
TestDiagWildcardValue#1,1787687758-1468509,constants_digest,b7af8440a3f4
TestDiagWildcardValue#1,1787687758-1468509,bank_up_to,5
TestDiagWildcardValue#1,1787687758-1468509,season,2020-21<-2019-20
TestDiagWildcardValue#1,1787687758-1468509,season,2021-22<-2020-21
TestDiagWildcardValue#1,1787687758-1468509,season,2022-23<-2021-22
TestDiagWildcardValue#1,1787687758-1468509,season,2023-24<-2022-23
TestDiagWildcardValue#1,1787687758-1468509,season,2024-25<-2023-24
TestDiagWildcardValue#1,1787687758-1468509,season,2025-26<-2024-25
TestDiagWildcardValue#1,1787687758-1468509,start_gw,1
TestDiagWildcardValue#1,1787687758-1468509,start_gw,6
TestDiagWildcardValue#1,1787687758-1468509,start_gw,11
TestDiagWildcardValue#1,1787687758-1468509,start_gw,16
TestDiagWildcardValue#1,1787687758-1468509,start_gw,21
TestDiagWildcardValue#1,1787687758-1468509,start_gw,26
TestDiagWildcardValue#1,1787687758-1468509,declared_arm,0	no wildcard (control)
TestDiagWildcardValue#1,1787687758-1468509,declared_arm,1	wildcard at a fixed offset
TestDiagWildcardValue#1,1787687758-1468509,constant,chip_plan.bench_boost_gameweek	8
TestDiagWildcardValue#1,1787687758-1468509,constant,chip_plan.free_hit_gameweek	16
TestDiagWildcardValue#1,1787687758-1468509,constant,chip_plan.triple_captain_gameweek	9
TestDiagWildcardValue#1,1787687758-1468509,constant,chip_plan.wildcard_gameweek	6
TestDiagWildcardValue#1,1787687758-1468509,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
TestDiagWildcardValue#1,1787687758-1468509,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
TestDiagWildcardValue#1,1787687758-1468509,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
TestDiagWildcardValue#1,1787687758-1468509,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
TestDiagWildcardValue#1,1787687758-1468509,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
TestDiagWildcardValue#1,1787687758-1468509,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
TestDiagWildcardValue#1,1787687758-1468509,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
TestDiagWildcardValue#1,1787687758-1468509,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
TestDiagWildcardValue#1,1787687758-1468509,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
TestDiagWildcardValue#1,1787687758-1468509,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
TestDiagWildcardValue#1,1787687758-1468509,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
TestDiagWildcardValue#1,1787687758-1468509,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
TestDiagWildcardValue#1,1787687758-1468509,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
TestDiagWildcardValue#1,1787687758-1468509,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
