sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,floor_flips_le28,floor_flips_gt28,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
TestDiagTripleCaptainMatchup#1,1787692320-1534083,"triple captain, fixed offset (control)",0,true,2020-21,2019-20,1,38,5,false,2098,1628,43,6,55.21052631578947,42.8421052631579,,,,,,,1628,42.8421052631579,1388,36.526315789473685,37,0,,,1.0810810810810811,33,38,9,18,-17,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,14,16,,,,,,,,,,,1629.8410135822319,42.8905529890061,2070.321394299758,54.48214195525679,,55,98b82c09e797,-,none
TestDiagTripleCaptainMatchup#1,1787692320-1534083,"triple captain, fixed offset (control)",0,true,2021-22,2020-21,1,38,5,false,2166,1896,45,7,57,49.89473684210526,,,,,,,1941,51.078947368421055,1646,43.31578947368421,37,0,,,1.3513513513513513,33,42,10,15,-7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,0,0,14,15,,,,,,,,,,,1900.8006137807054,50.02106878370277,2247.4596846712434,59.14367591240114,,55,afeb5fe71ddc,-,none
TestDiagTripleCaptainMatchup#1,1787692320-1534083,"triple captain, fixed offset (control)",0,true,2022-23,2021-22,1,38,5,false,2124,1842,33,0,55.89473684210526,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,37,0,,,3.027027027027027,33,29,16,5,18,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,22,0,0,0,0,14,1,,,,,,,,,,,1851.9591496843016,48.73576709695531,2160.786089145252,56.86279181961189,,55,fe5b3efc1102,-,none
TestDiagTripleCaptainMatchup#1,1787692320-1534083,"triple captain, fixed offset (control)",0,true,2023-24,2022-23,1,38,5,false,2375,1806,40,3,62.5,47.526315789473685,,,,,,,1780,46.8421052631579,1569,41.28947368421053,37,0,,,1.6486486486486487,33,36,16,9,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,0,0,14,5,,,,,,,,,,,1847.281228959663,48.61266391999113,2325.1858771702873,61.18910203079704,,55,7df5f95f1759,-,none
TestDiagTripleCaptainMatchup#1,1787692320-1534083,"triple captain, fixed offset (control)",0,true,2024-25,2023-24,1,38,5,false,2483,1908,34,2,65.34210526315789,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,37,0,,,2.054054054054054,33,29,13,9,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,14,7,,,,,,,,,,,1984.839567078322,52.23262018627163,2371.772769636995,62.415072885184074,,55,d0f719155ebc,-,none
TestDiagTripleCaptainMatchup#1,1787692320-1534083,"triple captain, fixed offset (control)",0,true,2025-26,2024-25,1,38,5,false,2207,1523,35,1,58.078947368421055,40.078947368421055,,,,,,,1529,40.23684210526316,1375,36.18421052631579,37,0,,,1.3783783783783783,33,30,9,8,-5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,14,14,,,,,,,,,,,1583.8646329653097,41.680648235929205,2140.341541840457,56.32477741685413,,55,cdb305de770a,-,none
TestDiagTripleCaptainMatchup#1,1787692320-1534083,"triple captain, fixed offset (control)",0,true,2020-21,2019-20,6,33,5,false,1793,1472,37,5,54.333333333333336,44.60606060606061,,,,,,,1475,44.696969696969695,1289,39.06060606060606,32,0,,,1.1875,32,37,10,13,-2,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,19,8,,,,,,,,,,,1534.394651048999,46.49680760754543,1820.284539958558,55.16013757450176,,55,97ea61125f1b,-,none
TestDiagTripleCaptainMatchup#1,1787692320-1534083,"triple captain, fixed offset (control)",0,true,2021-22,2020-21,6,33,5,false,1889,1574,38,6,57.24242424242424,47.696969696969695,,,,,,,1610,48.78787878787879,1365,41.36363636363637,32,0,,,1.1875,32,38,9,11,-5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,0,0,19,8,,,,,,,,,,,1609.57570800674,48.77502145474969,1974.9199754333345,59.8460598616162,,55,0e990ffa7a1d,-,none
TestDiagTripleCaptainMatchup#1,1787692320-1534083,"triple captain, fixed offset (control)",0,true,2022-23,2021-22,6,33,5,false,1814,1593,31,0,54.96969696969697,48.27272727272727,,,,,,,1532,46.42424242424242,1404,42.54545454545455,32,0,,,1.5,32,31,19,7,19,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,16,0,0,0,0,19,2,,,,,,,,,,,1557.4285121108142,47.1948033972974,1836.3625202639082,55.64734909890631,,55,4d36c0997487,-,none
TestDiagTripleCaptainMatchup#1,1787692320-1534083,"triple captain, fixed offset (control)",0,true,2023-24,2022-23,6,33,5,false,2041,1724,32,0,61.84848484848485,52.24242424242424,,,,,,,1702,51.57575757575758,1484,44.96969696969697,32,0,,,1.75,32,32,15,10,15,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,0,0,19,3,,,,,,,,,,,1721.7944263935356,52.175588678591986,2104.373986511514,63.76890868216709,,55,a4cd558c8a6c,-,none
