sweep,run_id,key,value
TestDiagTripleCaptainMatchup#1,1787692320-1534083,commit,5b970338dfadef6cade752a1c26f32e7cf6b79cd
TestDiagTripleCaptainMatchup#1,1787692320-1534083,dirty,false
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constants_digest,b7af8440a3f4
TestDiagTripleCaptainMatchup#1,1787692320-1534083,bank_up_to,5
TestDiagTripleCaptainMatchup#1,1787692320-1534083,season,2020-21<-2019-20
TestDiagTripleCaptainMatchup#1,1787692320-1534083,season,2021-22<-2020-21
TestDiagTripleCaptainMatchup#1,1787692320-1534083,season,2022-23<-2021-22
TestDiagTripleCaptainMatchup#1,1787692320-1534083,season,2023-24<-2022-23
TestDiagTripleCaptainMatchup#1,1787692320-1534083,season,2024-25<-2023-24
TestDiagTripleCaptainMatchup#1,1787692320-1534083,season,2025-26<-2024-25
TestDiagTripleCaptainMatchup#1,1787692320-1534083,start_gw,1
TestDiagTripleCaptainMatchup#1,1787692320-1534083,start_gw,6
TestDiagTripleCaptainMatchup#1,1787692320-1534083,start_gw,11
TestDiagTripleCaptainMatchup#1,1787692320-1534083,start_gw,16
TestDiagTripleCaptainMatchup#1,1787692320-1534083,start_gw,21
TestDiagTripleCaptainMatchup#1,1787692320-1534083,start_gw,26
TestDiagTripleCaptainMatchup#1,1787692320-1534083,declared_arm,"0	triple captain, fixed offset (control)"
TestDiagTripleCaptainMatchup#1,1787692320-1534083,declared_arm,"1	triple captain, best projected matchup"
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,chip_plan.bench_boost_gameweek	8
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,chip_plan.free_hit_gameweek	16
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,chip_plan.triple_captain_gameweek	9
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,chip_plan.wildcard_gameweek	6
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.BOU[0].note	enters at round three as a European qualifier
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.BOU[0].start_date	2026-09-15
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.BRE[0].competition	League Cup
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,"congestion.domestic_cup_campaigns.BRE[0].match_dates	6 items, sha f7a87904"
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.BRE[0].note	enters at round two
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.BRE[0].start_date	2026-08-26
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.CHE[0].competition	League Cup
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,"congestion.domestic_cup_campaigns.CHE[0].match_dates	6 items, sha f7a87904"
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.CHE[0].note	enters at round two
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.CHE[0].start_date	2026-08-26
TestDiagTripleCaptainMatchup#1,1787692320-1534083,constant,congestion.domestic_cup_campaigns.COV[0].competition	League Cup
