sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,floor_flips_le28,floor_flips_gt28,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
TestDiagTwoRegimeChips#1,1787705185-1618773,"both sets, fixed offsets (control, 2 sets)",0,true,2020-21,2019-20,1,38,5,false,2167,1628,61,4,57.026315789473685,42.8421052631579,,,,,,,1628,42.8421052631579,1388,36.526315789473685,33,0,,,1.5454545454545454,29,36,10,13,-5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,21,0,23,7,,,,,,,,,,,1629.8410135822319,42.8905529890061,2142.4371717985277,56.379925573645465,,55,98b82c09e797,-,none
TestDiagTwoRegimeChips#1,1787705185-1618773,"both sets, fixed offsets (control, 2 sets)",0,true,2021-22,2020-21,1,38,5,false,2311,1896,55,3,60.81578947368421,49.89473684210526,,,,,,,1941,51.078947368421055,1646,43.31578947368421,33,0,,,1.5757575757575757,29,37,14,9,5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,21,8,23,2,,,,,,,,,,,1900.8006137807054,50.02106878370277,2364.103117264434,62.21323992801142,,55,afeb5fe71ddc,-,none
TestDiagTwoRegimeChips#1,1787705185-1618773,"both sets, fixed offsets (control, 2 sets)",0,true,2022-23,2021-22,1,38,5,false,2129,1842,50,0,56.026315789473685,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,33,0,,,1.8181818181818181,29,33,12,7,9,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,22,0,0,21,0,23,11,,,,,,,,,,,1851.9591496843016,48.73576709695531,2139.321779302962,56.297941560604265,,55,fe5b3efc1102,-,none
TestDiagTwoRegimeChips#1,1787705185-1618773,"both sets, fixed offsets (control, 2 sets)",0,true,2023-24,2022-23,1,38,5,false,2361,1806,48,0,62.13157894736842,47.526315789473685,,,,,,,1780,46.8421052631579,1569,41.28947368421053,33,0,,,2,29,31,12,6,7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,21,0,23,2,,,,,,,,,,,1847.281228959663,48.61266391999113,2348.2134397733407,61.795090520351074,,55,7df5f95f1759,-,none
TestDiagTwoRegimeChips#1,1787705185-1618773,"both sets, fixed offsets (control, 2 sets)",0,true,2024-25,2023-24,1,38,5,false,2452,1908,48,0,64.52631578947368,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,33,0,,,1.6666666666666667,29,29,15,10,8,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,21,2,23,8,,,,,,,,,,,1984.839567078322,52.23262018627163,2367.5945465608957,62.30511964633936,,55,d0f719155ebc,-,none
TestDiagTwoRegimeChips#1,1787705185-1618773,"both sets, fixed offsets (control, 2 sets)",0,true,2025-26,2024-25,1,38,5,false,2196,1523,46,0,57.78947368421053,40.078947368421055,,,,,,,1529,40.23684210526316,1375,36.18421052631579,33,0,,,1.8181818181818181,29,29,8,8,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,21,0,23,1,,,,,,,,,,,1583.8646329653097,41.680648235929205,2112.80155309005,55.60004087079079,,55,cdb305de770a,-,none
TestDiagTwoRegimeChips#1,1787705185-1618773,"both sets, fixed offsets (control, 2 sets)",0,true,2020-21,2019-20,6,33,5,false,1833,1472,56,5,55.54545454545455,44.60606060606061,,,,,,,1475,44.696969696969695,1289,39.06060606060606,28,0,,,1.4642857142857142,28,37,10,12,-5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,21,0,23,7,,,,,,,,,,,1534.394651048999,46.49680760754543,1901.4184376911983,57.618740536096915,,55,97ea61125f1b,-,none
TestDiagTwoRegimeChips#1,1787705185-1618773,"both sets, fixed offsets (control, 2 sets)",0,true,2021-22,2020-21,6,33,5,false,1853,1574,53,5,56.15151515151515,47.696969696969695,,,,,,,1610,48.78787878787879,1365,41.36363636363637,28,0,,,1.3571428571428572,28,37,13,9,7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,21,10,23,2,,,,,,,,,,,1609.57570800674,48.77502145474969,1967.3342304497498,59.61618880150757,,55,0e990ffa7a1d,-,none
TestDiagTwoRegimeChips#1,1787705185-1618773,"both sets, fixed offsets (control, 2 sets)",0,true,2022-23,2021-22,6,33,5,false,1755,1593,44,1,53.18181818181818,48.27272727272727,,,,,,,1532,46.42424242424242,1404,42.54545454545455,28,0,,,1.8214285714285714,28,33,16,7,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,16,0,0,21,3,23,11,,,,,,,,,,,1557.4285121108142,47.1948033972974,1823.9947516855016,55.27256823289399,,55,4d36c0997487,-,none
TestDiagTwoRegimeChips#1,1787705185-1618773,"both sets, fixed offsets (control, 2 sets)",0,true,2023-24,2022-23,6,33,5,false,2127,1724,45,0,64.45454545454545,52.24242424242424,,,,,,,1702,51.57575757575758,1484,44.96969696969697,28,0,,,2.4285714285714284,28,32,13,10,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,21,1,23,9,,,,,,,,,,,1721.7944263935356,52.175588678591986,2140.900544319152,64.87577407027733,,55,a4cd558c8a6c,-,none
