sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,floor_flips_le28,floor_flips_gt28,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
TestDiagTwoRegimeChips#1,1787705708-1621095,"both sets, fixed offsets (control, 2 sets)",0,true,2020-21,2019-20,1,38,5,false,2164,1628,60,4,56.94736842105263,42.8421052631579,,,,,,,1628,42.8421052631579,1388,36.526315789473685,33,0,,,1.4848484848484849,29,35,6,15,-17,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,21,0,23,7,,,,,,,,,,,1613.0156880372417,42.44778126413794,2152.119007917939,56.634710734682606,,55,98b82c09e797,-,none
TestDiagTwoRegimeChips#1,1787705708-1621095,"both sets, fixed offsets (control, 2 sets)",0,true,2021-22,2020-21,1,38,5,false,2263,1942,57,3,59.55263157894737,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,33,0,,,1.4242424242424243,29,35,14,7,14,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,21,5,23,2,,,,,,,,,,,1925.730264990003,50.67711223657903,2313.2639180272313,60.875366263874504,,55,2ee4dc9e44a7,-,none
TestDiagTwoRegimeChips#1,1787705708-1621095,"both sets, fixed offsets (control, 2 sets)",0,true,2022-23,2021-22,1,38,5,false,2032,1857,48,1,53.473684210526315,48.86842105263158,,,,,,,1855,48.81578947368421,1607,42.28947368421053,33,0,,,1.7575757575757576,29,31,16,5,19,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,22,0,0,21,0,23,11,,,,,,,,,,,1880.4174544158348,49.48466985304828,2098.0315742784264,55.211357217853326,,55,daf912cff2eb,-,none
TestDiagTwoRegimeChips#1,1787705708-1621095,"both sets, fixed offsets (control, 2 sets)",0,true,2023-24,2022-23,1,38,5,false,2361,1806,48,0,62.13157894736842,47.526315789473685,,,,,,,1780,46.8421052631579,1569,41.28947368421053,33,0,,,2,29,31,12,6,7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,21,0,23,2,,,,,,,,,,,1847.281228959663,48.61266391999113,2348.2134397733407,61.795090520351074,,55,7df5f95f1759,-,none
TestDiagTwoRegimeChips#1,1787705708-1621095,"both sets, fixed offsets (control, 2 sets)",0,true,2024-25,2023-24,1,38,5,false,2452,1908,48,0,64.52631578947368,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,33,0,,,1.6666666666666667,29,29,15,10,8,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,21,2,23,8,,,,,,,,,,,1984.839567078322,52.23262018627163,2367.5945465608957,62.30511964633936,,55,d0f719155ebc,-,none
TestDiagTwoRegimeChips#1,1787705708-1621095,"both sets, fixed offsets (control, 2 sets)",0,true,2025-26,2024-25,1,38,5,false,2196,1523,46,0,57.78947368421053,40.078947368421055,,,,,,,1529,40.23684210526316,1375,36.18421052631579,33,0,,,1.8181818181818181,29,29,8,8,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,21,0,23,1,,,,,,,,,,,1583.8646329653097,41.680648235929205,2112.80155309005,55.60004087079079,,55,cdb305de770a,-,none
TestDiagTwoRegimeChips#1,1787705708-1621095,"both sets, fixed offsets (control, 2 sets)",0,true,2020-21,2019-20,6,33,5,false,1829,1564,51,3,55.42424242424242,47.39393939393939,,,,,,,1556,47.15151515151515,1364,41.333333333333336,28,0,,,1.4285714285714286,28,34,4,14,-16,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,21,0,23,7,,,,,,,,,,,1607.8659884381584,48.72321177085328,1912.016413252618,57.93989131068539,,55,e4f19b098970,-,none
TestDiagTwoRegimeChips#1,1787705708-1621095,"both sets, fixed offsets (control, 2 sets)",0,true,2021-22,2020-21,6,33,5,false,1865,1697,54,1,56.515151515151516,51.42424242424242,,,,,,,1703,51.60606060606061,1488,45.09090909090909,28,0,,,1.7142857142857142,28,33,16,11,11,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,21,2,23,2,,,,,,,,,,,1717.4237818225079,52.04314490371236,1952.9784233180405,59.18116434297092,,55,ed57ca1f3812,-,none
TestDiagTwoRegimeChips#1,1787705708-1621095,"both sets, fixed offsets (control, 2 sets)",0,true,2022-23,2021-22,6,33,5,false,1835,1561,40,0,55.60606060606061,47.303030303030305,,,,,,,1500,45.45454545454545,1372,41.57575757575758,28,0,,,2.857142857142857,28,29,12,8,3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,16,0,0,21,3,23,11,,,,,,,,,,,1550.0004339075806,46.969710118411534,1895.1504857378225,57.42880259811583,,55,9193eb4c0665,-,none
TestDiagTwoRegimeChips#1,1787705708-1621095,"both sets, fixed offsets (control, 2 sets)",0,true,2023-24,2022-23,6,33,5,false,2127,1724,45,0,64.45454545454545,52.24242424242424,,,,,,,1702,51.57575757575758,1484,44.96969696969697,28,0,,,2.4285714285714284,28,32,13,10,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,21,1,23,9,,,,,,,,,,,1721.7944263935356,52.175588678591986,2140.900544319152,64.87577407027733,,55,a4cd558c8a6c,-,none
