sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,floor_flips_le28,floor_flips_gt28,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2020-21,2019-20,1,38,5,false,2226,1628,46,0,58.578947368421055,42.8421052631579,,,,,,,1628,42.8421052631579,1388,36.526315789473685,36,0,,,1.3055555555555556,32,32,10,12,-2,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,0,0,,,,,,,,,,,1613.0156880372417,42.44778126413794,2196.144719829298,57.793282100771,,55,98b82c09e797,-,none
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2021-22,2020-21,1,38,5,false,2270,1942,47,2,59.73684210526316,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,36,0,,,1.1666666666666667,32,35,15,10,5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,0,0,0,0,,,,,,,,,,,1925.730264990003,50.67711223657903,2284.8257885783964,60.12699443627359,,55,2ee4dc9e44a7,-,none
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2022-23,2021-22,1,38,5,false,2045,1857,44,1,53.81578947368421,48.86842105263158,,,,,,,1855,48.81578947368421,1607,42.28947368421053,36,0,,,2.0555555555555554,32,32,15,4,18,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,22,0,0,0,0,0,0,,,,,,,,,,,1880.4174544158348,49.48466985304828,2085.741347850717,54.887930206597815,,55,daf912cff2eb,-,none
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2023-24,2022-23,1,38,5,false,2307,1806,46,1,60.71052631578947,47.526315789473685,,,,,,,1780,46.8421052631579,1569,41.28947368421053,36,0,,,2,32,34,18,5,21,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,0,0,0,0,,,,,,,,,,,1847.281228959663,48.61266391999113,2343.659987869981,61.67526283868371,,55,7df5f95f1759,-,none
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2024-25,2023-24,1,38,5,false,2422,1908,38,0,63.73684210526316,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,36,0,,,2.4166666666666665,32,26,11,8,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,1984.839567078322,52.23262018627163,2350.8246196048785,61.863805779075754,,55,d0f719155ebc,-,none
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2025-26,2024-25,1,38,5,false,2215,1523,45,1,58.28947368421053,40.078947368421055,,,,,,,1529,40.23684210526316,1375,36.18421052631579,36,0,,,1.75,32,31,9,9,-3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,1583.8646329653097,41.680648235929205,2118.9439687088066,55.76168338707386,,55,cdb305de770a,-,none
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2020-21,2019-20,6,33,5,false,1771,1564,45,3,53.666666666666664,47.39393939393939,,,,,,,1556,47.15151515151515,1364,41.333333333333336,31,0,,,1.5161290322580645,31,35,9,12,-3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,0,0,,,,,,,,,,,1607.8659884381584,48.72321177085328,1803.0837839565093,54.63890254413664,,55,e4f19b098970,-,none
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2021-22,2020-21,6,33,5,false,1864,1697,47,5,56.484848484848484,51.42424242424242,,,,,,,1703,51.60606060606061,1488,45.09090909090909,31,0,,,1.3225806451612903,31,38,20,12,7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,0,0,0,0,,,,,,,,,,,1717.4237818225079,52.04314490371236,1934.052238845167,58.6076436013687,,55,ed57ca1f3812,-,none
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2022-23,2021-22,6,33,5,false,1836,1561,37,1,55.63636363636363,47.303030303030305,,,,,,,1500,45.45454545454545,1372,41.57575757575758,31,0,,,2.6129032258064515,31,32,18,8,15,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,16,0,0,0,0,0,0,,,,,,,,,,,1550.0004339075806,46.969710118411534,1871.9512296008058,56.725794836388054,,55,9193eb4c0665,-,none
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2023-24,2022-23,6,33,5,false,2056,1724,39,0,62.303030303030305,52.24242424242424,,,,,,,1702,51.57575757575758,1484,44.96969696969697,31,0,,,2.064516129032258,31,32,13,7,14,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,0,0,0,0,,,,,,,,,,,1721.7944263935356,52.175588678591986,2090.2313295087474,63.34034331844689,,55,a4cd558c8a6c,-,none
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2024-25,2023-24,6,33,5,false,1937,1744,37,0,58.696969696969695,52.84848484848485,,,,,,,1641,49.72727272727273,1485,45,31,0,,,2.193548387096774,31,26,11,10,9,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,1754.9002266108062,53.17879474578201,1964.0853529676656,59.51773796871714,,55,7d06f846b27d,-,none
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2025-26,2024-25,6,33,5,false,1916,1743,37,1,58.06060606060606,52.81818181818182,,,,,,,1663,50.39393939393939,1547,46.878787878787875,31,0,,,2.3225806451612905,31,29,10,5,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,1697.4225268293555,51.43704626755623,1845.4297962572264,55.92211503809777,,55,135d9da53c17,-,none
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2020-21,2019-20,11,28,5,false,1576,1208,36,3,56.285714285714285,43.142857142857146,,,,,,,1203,42.964285714285715,1039,37.107142857142854,26,0,,,1.4615384615384615,26,30,13,13,-1,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,38,43,38,0,0,0,0,0,0,,,,,,,,,,,1319.6548051841444,47.13052875657659,1633.8545852689297,58.35194947389034,,55,5babbe645ffb,-,none
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2021-22,2020-21,11,28,5,false,1631,1630,37,3,58.25,58.214285714285715,,,,,,,1658,59.214285714285715,1470,52.5,26,0,,,1.9615384615384615,26,30,12,8,5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,59,0,0,0,0,0,0,,,,,,,,,,,1616.204129636625,57.7215760584509,1702.5062783602875,60.80379565572456,,55,0e0b223ab713,-,none
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2022-23,2021-22,11,28,5,false,1666,1555,36,1,59.5,55.535714285714285,,,,,,,1494,53.357142857142854,1371,48.964285714285715,26,0,,,2.4615384615384617,26,28,10,6,7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,16,42,14,0,0,0,0,0,0,,,,,,,,,,,1523.4456911914474,54.40877468540884,1659.7613773336604,59.27719204763073,,55,57dcb8c18a3d,-,none
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2023-24,2022-23,11,28,5,false,1627,1428,36,1,58.107142857142854,51,,,,,,,1405,50.17857142857143,1247,44.535714285714285,26,0,,,1.7692307692307692,26,28,14,4,17,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,21,21,21,21,0,0,0,0,0,0,,,,,,,,,,,1416.7846694489685,50.5994524803203,1706.3952167521143,60.94268631257551,,55,2a84996b516a,-,none
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2024-25,2023-24,11,28,5,false,1726,1681,37,2,61.642857142857146,60.035714285714285,,,,,,,1681,60.035714285714285,1412,50.42857142857143,26,0,,,1.9615384615384615,26,29,13,10,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,8,0,0,0,0,0,0,,,,,,,,,,,1648.6369668324785,58.87989167258852,1714.7027565605745,61.23938416287766,,55,a6e9f92d83f6,-,none
TestDiagAnchoredChipDecomposition#1,1787696113-1576283,"wildcard, fixed offset (control)",0,true,2025-26,2024-25,11,28,5,false,1594,1444,34,0,56.92857142857143,51.57142857142857,,,,,,,1416,50.57142857142857,1259,44.964285714285715,26,0,,,2.3846153846153846,26,25,8,9,-5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,1420.3707344105421,50.72752622894793,1552.0934593341262,55.43190926193308,,55,71a4b81a55e0,-,none
