sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,floor_flips_le28,floor_flips_gt28,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
TestDiagAnchoredChipDecomposition#1,1787696998-1581034,"wildcard, fixed offset (control)",0,true,2020-21,2019-20,1,38,5,false,2136,1628,48,3,56.21052631578947,42.8421052631579,,,,,,,1628,42.8421052631579,1388,36.526315789473685,36,0,,,1.25,32,34,7,14,-6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,0,0,,,,,,,,,,,1629.8410135822319,42.8905529890061,2113.4026667082903,55.61585965021817,,55,98b82c09e797,-,none
TestDiagAnchoredChipDecomposition#1,1787696998-1581034,"wildcard, fixed offset (control)",0,true,2021-22,2020-21,1,38,5,false,2266,1896,52,6,59.63157894736842,49.89473684210526,,,,,,,1941,51.078947368421055,1646,43.31578947368421,36,0,,,1.4166666666666667,32,40,14,13,-5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,0,0,0,0,,,,,,,,,,,1900.8006137807054,50.02106878370277,2263.2314193515144,59.55872156188196,,55,afeb5fe71ddc,-,none
TestDiagAnchoredChipDecomposition#1,1787696998-1581034,"wildcard, fixed offset (control)",0,true,2022-23,2021-22,1,38,5,false,2118,1842,43,0,55.73684210526316,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,36,0,,,2.4722222222222223,32,30,12,5,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,22,0,0,0,0,0,0,,,,,,,,,,,1851.9591496843016,48.73576709695531,2140.5865922756893,56.33122611251814,,55,fe5b3efc1102,-,none
TestDiagAnchoredChipDecomposition#1,1787696998-1581034,"wildcard, fixed offset (control)",0,true,2023-24,2022-23,1,38,5,false,2307,1806,46,1,60.71052631578947,47.526315789473685,,,,,,,1780,46.8421052631579,1569,41.28947368421053,36,0,,,2,32,34,18,5,21,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,0,0,0,0,,,,,,,,,,,1847.281228959663,48.61266391999113,2343.659987869981,61.67526283868371,,55,7df5f95f1759,-,none
TestDiagAnchoredChipDecomposition#1,1787696998-1581034,"wildcard, fixed offset (control)",0,true,2024-25,2023-24,1,38,5,false,2422,1908,38,0,63.73684210526316,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,36,0,,,2.4166666666666665,32,26,11,8,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,1984.839567078322,52.23262018627163,2350.8246196048785,61.863805779075754,,55,d0f719155ebc,-,none
TestDiagAnchoredChipDecomposition#1,1787696998-1581034,"wildcard, fixed offset (control)",0,true,2025-26,2024-25,1,38,5,false,2215,1523,45,1,58.28947368421053,40.078947368421055,,,,,,,1529,40.23684210526316,1375,36.18421052631579,36,0,,,1.75,32,31,9,9,-3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,0,0,,,,,,,,,,,1583.8646329653097,41.680648235929205,2118.9439687088066,55.76168338707386,,55,cdb305de770a,-,none
TestDiagAnchoredChipDecomposition#1,1787696998-1581034,"wildcard, fixed offset (control)",0,true,2020-21,2019-20,6,33,5,false,1802,1472,46,6,54.60606060606061,44.60606060606061,,,,,,,1475,44.696969696969695,1289,39.06060606060606,31,0,,,1.3548387096774193,31,37,11,13,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,0,0,,,,,,,,,,,1534.394651048999,46.49680760754543,1838.535353165867,55.71319252017779,,55,97ea61125f1b,-,none
TestDiagAnchoredChipDecomposition#1,1787696998-1581034,"wildcard, fixed offset (control)",0,true,2021-22,2020-21,6,33,5,false,1856,1574,42,0,56.24242424242424,47.696969696969695,,,,,,,1610,48.78787878787879,1365,41.36363636363637,31,0,,,1.2580645161290323,31,33,6,11,-7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,61,61,61,61,0,0,0,0,0,0,,,,,,,,,,,1609.57570800674,48.77502145474969,1933.7801031013246,58.599397063676506,,55,0e990ffa7a1d,-,none
TestDiagAnchoredChipDecomposition#1,1787696998-1581034,"wildcard, fixed offset (control)",0,true,2022-23,2021-22,6,33,5,false,1800,1593,38,2,54.54545454545455,48.27272727272727,,,,,,,1532,46.42424242424242,1404,42.54545454545455,31,0,,,1.935483870967742,31,33,13,3,14,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,22,42,16,0,0,0,0,0,0,,,,,,,,,,,1557.4285121108142,47.1948033972974,1834.6344827120993,55.59498432460907,,55,4d36c0997487,-,none
TestDiagAnchoredChipDecomposition#1,1787696998-1581034,"wildcard, fixed offset (control)",0,true,2023-24,2022-23,6,33,5,false,2056,1724,39,0,62.303030303030305,52.24242424242424,,,,,,,1702,51.57575757575758,1484,44.96969696969697,31,0,,,2.064516129032258,31,32,13,7,14,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,0,0,0,0,,,,,,,,,,,1721.7944263935356,52.175588678591986,2090.2313295087474,63.34034331844689,,55,a4cd558c8a6c,-,none
