sweep,run_id,key,value
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,commit,2d852bdb5449a30dfa39209b27c606ac33450be5
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,dirty,false
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,constants_digest,5848566e3e0a
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,bank_up_to,5
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,season,2020-21<-2019-20
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,season,2021-22<-2020-21
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,season,2022-23<-2021-22
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,season,2023-24<-2022-23
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,season,2024-25<-2023-24
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,season,2025-26<-2024-25
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,start_gw,1
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,start_gw,6
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,start_gw,11
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,start_gw,16
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,start_gw,21
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,start_gw,26
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,declared_arm,0	no wildcard trigger (control)
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,declared_arm,"1	cost, raw count, bar 12 (the shipped rule)"
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,declared_arm,"2	single-week drift > 3.0 (horizon-5, NOT fixture-aware)"
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,declared_arm,"3	lookahead value > 40 (horizon-1, fixture-aware)"
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,declared_arm,"4	lookahead value > 55 (horizon-1, fixture-aware)"
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,declared_arm,"5	lookahead value > 70 (horizon-1, fixture-aware)"
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,declared_arm,"6	lookahead value > 85 (horizon-1, fixture-aware)"
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,declared_arm,"7	lookahead value > 100 (horizon-1, fixture-aware)"
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,constant,chip_plan.bench_boost_gameweek	8
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,constant,chip_plan.free_hit_gameweek	16
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,constant,chip_plan.triple_captain_gameweek	9
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,constant,chip_plan.wildcard_gameweek	6
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
TestDiagWildcardLookaheadTrigger#1,1787766840-1864557,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
