sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,floor_flips_le28,floor_flips_gt28,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2023-24,2022-23,1,38,5,false,2326,1806,39,2,61.21052631578947,47.526315789473685,,,,,,,1780,46.8421052631579,1569,41.28947368421053,36,0,,,1.6111111111111112,32,35,16,5,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,7,0,14,5,,,,,,,,,,,1842.825474712614,48.495407229279316,2288.689417038004,60.22866886942116,,55,7df5f95f1759,-,none
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2024-25,2023-24,1,38,5,false,2440,1908,37,1,64.21052631578948,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,36,0,,,1.5,32,32,14,8,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,7,2,0,0,,,,,,,,,,,1980.8056632647795,52.126464822757356,2350.6049739896825,61.858025631307434,,55,d0f719155ebc,-,none
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2025-26,2024-25,1,38,5,false,2163,1523,33,0,56.921052631578945,40.078947368421055,,,,,,,1529,40.23684210526316,1375,36.18421052631579,36,0,,,2.0833333333333335,32,28,12,7,1,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,7,3,0,0,,,,,,,,,,,1591.1053303415895,41.87119290372604,2140.345766766089,56.32488859910761,,55,cdb305de770a,-,none
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2023-24,2022-23,6,33,5,false,2091,1723,29,0,63.36363636363637,52.21212121212121,,,,,,,1714,51.93939393939394,1496,45.333333333333336,31,0,,,3.225806451612903,31,29,10,6,7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,12,0,19,3,,,,,,,,,,,1717.478042890524,52.04478917850073,2084.080511586463,63.15395489655949,,55,ab5a706b9204,-,none
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2024-25,2023-24,6,33,5,false,2003,1719,33,2,60.696969696969695,52.09090909090909,,,,,,,1616,48.96969696969697,1460,44.24242424242424,31,0,,,1.7096774193548387,31,33,15,8,18,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,12,1,0,0,,,,,,,,,,,1744.595016594384,52.86651565437528,2006.0521828575413,60.78946008659216,,55,c4fd5ee169d0,-,none
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2025-26,2024-25,6,33,5,false,1986,1743,30,0,60.18181818181818,52.81818181818182,,,,,,,1663,50.39393939393939,1547,46.878787878787875,31,0,,,2.032258064516129,31,30,8,12,-4,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,12,0,0,0,,,,,,,,,,,1700.9562165037728,51.5441277728416,1884.8652740671082,57.1171295171851,,55,135d9da53c17,-,none
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2023-24,2022-23,11,28,5,false,1688,1428,27,0,60.285714285714285,51,,,,,,,1405,50.17857142857143,1247,44.535714285714285,26,0,,,2.3461538461538463,26,27,16,3,17,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,21,21,21,21,0,0,17,0,24,2,,,,,,,,,,,1411.586094286668,50.413789081666714,1718.3530748582066,61.36975267350738,,55,2a84996b516a,-,none
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2024-25,2023-24,11,28,5,false,1802,1645,25,0,64.35714285714286,58.75,,,,,,,1645,58.75,1376,49.142857142857146,26,0,,,1.8846153846153846,26,25,10,5,19,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,8,0,0,17,6,0,0,,,,,,,,,,,1609.986957665415,57.49953420233625,1759.7488261148596,62.848172361244984,,55,07fc39500149,-,none
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2025-26,2024-25,11,28,5,false,1577,1444,26,0,56.32142857142857,51.57142857142857,,,,,,,1416,50.57142857142857,1259,44.964285714285715,26,0,,,1.5384615384615385,26,26,8,8,2,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,17,2,0,0,,,,,,,,,,,1420.2802340844762,50.72429407444558,1530.2387534519728,54.65138405185617,,55,71a4b81a55e0,-,none
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2023-24,2022-23,16,23,5,false,1416,1081,23,2,61.56521739130435,47,,,,,,,1081,47,930,40.43478260869565,21,0,,,1.5714285714285714,21,23,11,5,12,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,21,21,21,17,0,0,22,1,29,2,,,,,,,,,,,1101.7564671200844,47.90245509217758,1411.5962831486115,61.37375144124398,,55,07a6ac32e640,-,none
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2024-25,2023-24,16,23,5,false,1402,1367,21,1,60.95652173913044,59.43478260869565,,,,,,,1367,59.43478260869565,1174,51.04347826086956,21,0,,,2.9047619047619047,21,21,6,6,3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,8,10,8,0,0,22,0,0,0,,,,,,,,,,,1408.5650359547335,61.24195808498841,1437.4104155078735,62.49610502208146,,55,0a92238fc17e,-,none
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2025-26,2024-25,16,23,5,false,1277,1307,22,1,55.52173913043478,56.82608695652174,,,,,,,1308,56.869565217391305,1146,49.82608695652174,21,0,,,1.4285714285714286,21,22,5,8,-4,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,22,1,0,0,,,,,,,,,,,1248.5061826687286,54.282877507336025,1206.3458311420593,52.44981874530693,,55,439f261a429b,-,none
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2023-24,2022-23,21,18,5,false,1241,952,17,1,68.94444444444444,52.888888888888886,,,,,,,942,52.333333333333336,833,46.27777777777778,16,0,,,1.5625,16,17,9,3,8,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,21,17,17,17,0,0,27,4,34,20,,,,,,,,,,,990.3140382457984,55.017446569211025,1176.9920452672432,65.38844695929129,,55,a39e1a72098e,-,none
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2024-25,2023-24,21,18,5,false,1092,956,18,2,60.666666666666664,53.111111111111114,,,,,,,956,53.111111111111114,821,45.611111111111114,16,0,,,1.5,16,18,9,4,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,8,6,8,0,0,27,1,0,0,,,,,,,,,,,979.4911656142941,54.41617586746079,1099.1730939760225,61.06517188755681,,55,19ae61bc0abc,-,none
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2025-26,2024-25,21,18,5,false,1072,950,13,0,59.55555555555556,52.77777777777778,,,,,,,932,51.77777777777778,846,47,16,0,,,2.25,16,13,4,4,-3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,27,2,0,0,,,,,,,,,,,914.2778160739939,50.79321200411077,1031.8516674414511,57.325092635636175,,55,ba7dd2e202e8,-,none
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2023-24,2022-23,26,13,5,false,753,617,12,0,57.92307692307692,47.46153846153846,,,,,,,619,47.61538461538461,548,42.15384615384615,11,0,,,2.6363636363636362,11,12,6,1,11,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,17,13,15,1,0,0,32,5,38,6,,,,,,,,,,,636.3115899837887,48.94704538336836,776.3719810704129,59.720921620800986,,55,d725094b2efe,-,none
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2024-25,2023-24,26,13,5,false,682,692,11,2,52.46153846153846,53.23076923076923,,,,,,,692,53.23076923076923,619,47.61538461538461,11,0,,,2,11,11,3,3,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,6,8,6,4,0,0,32,2,0,0,,,,,,,,,,,729.9768584276153,56.15206603289349,740.6222589776613,56.97094299828164,,55,685eecb0cbdb,-,none
ANCHORED#1,1787763469-1800106,chips at fixed offsets from entry,0,true,2025-26,2024-25,26,13,5,false,779,756,9,0,59.92307692307692,58.15384615384615,,,,,,,757,58.23076923076923,655,50.38461538461539,11,0,,,1.8181818181818181,11,9,2,5,-7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,8,10,8,10,0,0,32,6,0,0,,,,,,,,,,,709.3851696912681,54.568089976251386,730.0433317384893,56.15717936449918,,55,32f63ab9f3ba,-,none
ANCHORED#1,1787763469-1800106,chips anchored on the calendar (full sight),1,false,2023-24,2022-23,1,38,5,false,2380,1806,38,1,62.63157894736842,47.526315789473685,,,,,,,1780,46.8421052631579,1569,41.28947368421053,36,0,,,1.6666666666666667,32,34,13,6,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,34,0,37,4,,,,,,,,,,,1842.825474712614,48.495407229279316,2315.4012533779737,60.93161193099931,,55,7df5f95f1759,-,none
ANCHORED#1,1787763469-1800106,chips anchored on the calendar (full sight),1,false,2024-25,2023-24,1,38,5,false,2416,1908,38,2,63.578947368421055,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,36,0,,,1.4722222222222223,32,33,13,10,3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,33,12,0,0,,,,,,,,,,,1980.8056632647795,52.126464822757356,2328.7155926086207,61.281989279174226,,55,d0f719155ebc,-,none
ANCHORED#1,1787763469-1800106,chips anchored on the calendar (full sight),1,false,2025-26,2024-25,1,38,5,false,2199,1523,33,0,57.86842105263158,40.078947368421055,,,,,,,1529,40.23684210526316,1375,36.18421052631579,36,0,,,2.0833333333333335,32,28,12,7,1,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,33,19,0,0,,,,,,,,,,,1591.1053303415895,41.87119290372604,2167.9534246553058,57.05140591198173,,55,cdb305de770a,-,none
