sweep,run_id,key,value
ANCHORED#1,1787763469-1800106,commit,6eca31673a512a4055cd4668d4f592806726e2cb
ANCHORED#1,1787763469-1800106,dirty,false
ANCHORED#1,1787763469-1800106,constants_digest,ffd0138f35e0
ANCHORED#1,1787763469-1800106,bank_up_to,5
ANCHORED#1,1787763469-1800106,season,2023-24<-2022-23
ANCHORED#1,1787763469-1800106,season,2024-25<-2023-24
ANCHORED#1,1787763469-1800106,season,2025-26<-2024-25
ANCHORED#1,1787763469-1800106,start_gw,1
ANCHORED#1,1787763469-1800106,start_gw,6
ANCHORED#1,1787763469-1800106,start_gw,11
ANCHORED#1,1787763469-1800106,start_gw,16
ANCHORED#1,1787763469-1800106,start_gw,21
ANCHORED#1,1787763469-1800106,start_gw,26
ANCHORED#1,1787763469-1800106,declared_arm,0	chips at fixed offsets from entry
ANCHORED#1,1787763469-1800106,declared_arm,1	chips anchored on the calendar (full sight)
ANCHORED#1,1787763469-1800106,declared_arm,"2	anchored, 2 gameweeks of sight"
ANCHORED#1,1787763469-1800106,declared_arm,"3	anchored, 4 gameweeks of sight"
ANCHORED#1,1787763469-1800106,declared_arm,"4	anchored, 6 gameweeks of sight"
ANCHORED#1,1787763469-1800106,constant,chip_plan.bench_boost_gameweek	8
ANCHORED#1,1787763469-1800106,constant,chip_plan.free_hit_gameweek	16
ANCHORED#1,1787763469-1800106,constant,chip_plan.triple_captain_gameweek	9
ANCHORED#1,1787763469-1800106,constant,chip_plan.wildcard_gameweek	6
ANCHORED#1,1787763469-1800106,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
ANCHORED#1,1787763469-1800106,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
ANCHORED#1,1787763469-1800106,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
ANCHORED#1,1787763469-1800106,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
ANCHORED#1,1787763469-1800106,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
ANCHORED#1,1787763469-1800106,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
ANCHORED#1,1787763469-1800106,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
ANCHORED#1,1787763469-1800106,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
ANCHORED#1,1787763469-1800106,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
ANCHORED#1,1787763469-1800106,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
