sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,floor_flips_le28,floor_flips_gt28,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
ANCHORED#1,1787764127-1803155,chips at fixed offsets from entry,0,true,2023-24,2022-23,1,38,5,false,2379,1806,40,3,62.60526315789474,47.526315789473685,,,,,,,1780,46.8421052631579,1569,41.28947368421053,36,0,,,1.6111111111111112,32,36,16,9,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,7,1,14,5,,,,,,,,,,,1847.281228959663,48.61266391999113,2323.928877773734,61.15602309930878,,55,7df5f95f1759,-,none
ANCHORED#1,1787764127-1803155,chips at fixed offsets from entry,0,true,2024-25,2023-24,1,38,5,false,2444,1908,38,1,64.3157894736842,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,36,0,,,1.8333333333333333,32,33,14,9,11,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,7,2,0,0,,,,,,,,,,,1984.839567078322,52.23262018627163,2330.713054659753,61.33455406999351,,55,d0f719155ebc,-,none
ANCHORED#1,1787764127-1803155,chips at fixed offsets from entry,0,true,2025-26,2024-25,1,38,5,false,2183,1523,35,1,57.44736842105263,40.078947368421055,,,,,,,1529,40.23684210526316,1375,36.18421052631579,36,0,,,1.3888888888888888,32,30,9,8,-5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,7,2,0,0,,,,,,,,,,,1583.8646329653097,41.680648235929205,2109.0447645869403,55.501178015445795,,55,cdb305de770a,-,none
ANCHORED#1,1787764127-1803155,chips at fixed offsets from entry,0,true,2023-24,2022-23,6,33,5,false,2107,1724,33,2,63.84848484848485,52.24242424242424,,,,,,,1702,51.57575757575758,1484,44.96969696969697,31,0,,,1.967741935483871,31,33,12,13,4,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,12,0,19,3,,,,,,,,,,,1721.7944263935356,52.175588678591986,2079.864593378498,63.02619979934842,,55,a4cd558c8a6c,-,none
ANCHORED#1,1787764127-1803155,chips at fixed offsets from entry,0,true,2024-25,2023-24,6,33,5,false,1940,1744,29,1,58.78787878787879,52.84848484848485,,,,,,,1641,49.72727272727273,1485,45,31,0,,,2.096774193548387,31,29,15,5,21,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,12,1,0,0,,,,,,,,,,,1754.9002266108062,53.17879474578201,1975.6457021276449,59.8680515796256,,55,7d06f846b27d,-,none
ANCHORED#1,1787764127-1803155,chips at fixed offsets from entry,0,true,2025-26,2024-25,6,33,5,false,1923,1743,30,1,58.27272727272727,52.81818181818182,,,,,,,1663,50.39393939393939,1547,46.878787878787875,31,0,,,1.935483870967742,31,30,6,9,-5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,12,0,0,0,,,,,,,,,,,1697.4225268293555,51.43704626755623,1871.611251557443,56.71549247143766,,55,135d9da53c17,-,none
ANCHORED#1,1787764127-1803155,chips at fixed offsets from entry,0,true,2023-24,2022-23,11,28,5,false,1702,1428,29,1,60.785714285714285,51,,,,,,,1405,50.17857142857143,1247,44.535714285714285,26,0,,,1.8076923076923077,26,29,10,7,1,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,21,21,21,21,0,0,17,0,24,15,,,,,,,,,,,1416.7846694489685,50.5994524803203,1737.4613438640915,62.05219085228898,,55,2a84996b516a,-,none
ANCHORED#1,1787764127-1803155,chips at fixed offsets from entry,0,true,2024-25,2023-24,11,28,5,false,1829,1681,28,2,65.32142857142857,60.035714285714285,,,,,,,1681,60.035714285714285,1412,50.42857142857143,26,0,,,1.4615384615384615,26,28,12,11,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,8,0,0,17,1,0,0,,,,,,,,,,,1648.6369668324785,58.87989167258852,1750.921397427368,62.53290705097743,,55,a6e9f92d83f6,-,none
ANCHORED#1,1787764127-1803155,chips at fixed offsets from entry,0,true,2025-26,2024-25,11,28,5,false,1518,1444,26,1,54.214285714285715,51.57142857142857,,,,,,,1416,50.57142857142857,1259,44.964285714285715,26,0,,,1.4230769230769231,26,26,9,8,-3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,17,0,0,0,,,,,,,,,,,1420.3707344105421,50.72752622894793,1505.4830063958484,53.76725022842316,,55,71a4b81a55e0,-,none
ANCHORED#1,1787764127-1803155,chips at fixed offsets from entry,0,true,2023-24,2022-23,16,23,5,false,1420,1085,23,2,61.73913043478261,47.17391304347826,,,,,,,1085,47.17391304347826,934,40.608695652173914,21,0,,,1.5714285714285714,21,23,11,4,13,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,21,21,21,17,0,0,22,0,29,2,,,,,,,,,,,1100.0328547404902,47.82751542349957,1417.5197436243288,61.63129320105777,,55,291eebc880a2,-,none
ANCHORED#1,1787764127-1803155,chips at fixed offsets from entry,0,true,2024-25,2023-24,16,23,5,false,1470,1367,19,1,63.91304347826087,59.43478260869565,,,,,,,1367,59.43478260869565,1174,51.04347826086956,21,0,,,3.0476190476190474,21,19,6,5,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,8,10,8,0,0,22,0,0,0,,,,,,,,,,,1409.2322184264299,61.27096601854043,1479.8628926098845,64.34186489608193,,55,0a92238fc17e,-,none
