sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,floor_flips_le28,floor_flips_gt28,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
ANCHORED#1,1787763740-1802039,chips at fixed offsets from entry,0,true,2023-24,2022-23,1,38,5,false,2340,1806,38,1,61.578947368421055,47.526315789473685,,,,,,,1780,46.8421052631579,1569,41.28947368421053,36,0,,,1.6944444444444444,32,34,13,8,8,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,23,23,21,0,0,7,1,14,5,,,,,,,,,,,1836.5679154091795,48.33073461603104,2291.2015814577576,60.29477845941467,,55,7df5f95f1759,-,none
ANCHORED#1,1787763740-1802039,chips at fixed offsets from entry,0,true,2024-25,2023-24,1,38,5,false,2494,1908,34,0,65.63157894736842,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,36,0,,,2.0555555555555554,32,29,16,10,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,7,2,0,0,,,,,,,,,,,1977.8605960372556,52.04896305361199,2364.99345343501,62.23666982723711,,55,d0f719155ebc,-,none
ANCHORED#1,1787763740-1802039,chips at fixed offsets from entry,0,true,2025-26,2024-25,1,38,5,false,2230,1524,39,3,58.68421052631579,40.10526315789474,,,,,,,1529,40.23684210526316,1375,36.18421052631579,36,0,,,2.2222222222222223,32,34,12,10,-2,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,7,6,0,0,,,,,,,,,,,1582.7383874692666,41.651010196559646,2148.2465259440405,56.53280331431686,,55,cdb305de770a,-,none
ANCHORED#1,1787763740-1802039,chips at fixed offsets from entry,0,true,2023-24,2022-23,6,33,5,false,2050,1845,30,0,62.121212121212125,55.90909090909091,,,,,,,1823,55.24242424242424,1605,48.63636363636363,31,0,,,2.5806451612903225,31,30,11,6,9,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,23,21,21,21,0,0,12,0,19,3,,,,,,,,,,,1808.3155153299356,54.797439858482896,2071.559595296654,62.7745331908077,,55,89cf0e4eb0f7,-,none
ANCHORED#1,1787763740-1802039,chips at fixed offsets from entry,0,true,2024-25,2023-24,6,33,5,false,2001,1719,29,1,60.63636363636363,52.09090909090909,,,,,,,1616,48.96969696969697,1460,44.24242424242424,31,0,,,2.3870967741935485,31,29,13,8,12,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,12,1,0,0,,,,,,,,,,,1743.7100758159409,52.839699267149726,2004.77624965276,60.750795444023034,,55,c4fd5ee169d0,-,none
ANCHORED#1,1787763740-1802039,chips at fixed offsets from entry,0,true,2025-26,2024-25,6,33,5,false,1887,1818,32,3,57.18181818181818,55.09090909090909,,,,,,,1743,52.81818181818182,1622,49.15151515151515,31,0,,,1.7419354838709677,31,32,8,15,-10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,12,2,0,0,,,,,,,,,,,1797.9135688724655,54.48222935977168,1838.6738165255629,55.717388379562514,,55,c656f352231a,-,none
ANCHORED#1,1787763740-1802039,chips at fixed offsets from entry,0,true,2023-24,2022-23,11,28,5,false,1665,1428,28,1,59.464285714285715,51,,,,,,,1405,50.17857142857143,1247,44.535714285714285,26,0,,,1.6538461538461537,26,28,10,7,5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,21,21,21,21,0,0,17,6,24,2,,,,,,,,,,,1412.126699470197,50.4330964096499,1684.0087712921854,60.14317040329234,,55,2a84996b516a,-,none
ANCHORED#1,1787763740-1802039,chips at fixed offsets from entry,0,true,2024-25,2023-24,11,28,5,false,1873,1670,27,1,66.89285714285714,59.642857142857146,,,,,,,1670,59.642857142857146,1401,50.035714285714285,26,0,,,1.5769230769230769,26,27,14,6,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,8,0,0,17,7,0,0,,,,,,,,,,,1641.0527409975489,58.60902646419817,1803.6277223050852,64.41527579661019,,55,0997cb8fb0d1,-,none
ANCHORED#1,1787763740-1802039,chips at fixed offsets from entry,0,true,2025-26,2024-25,11,28,5,false,1512,1444,26,1,54,51.57142857142857,,,,,,,1416,50.57142857142857,1259,44.964285714285715,26,0,,,1.7307692307692308,26,26,13,7,10,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,17,2,0,0,,,,,,,,,,,1410.4549038943298,50.373389424797494,1528.8860354866097,54.603072695950345,,55,71a4b81a55e0,-,none
ANCHORED#1,1787763740-1802039,chips at fixed offsets from entry,0,true,2023-24,2022-23,16,23,5,false,1396,1081,23,1,60.69565217391305,47,,,,,,,1081,47,930,40.43478260869565,21,0,,,1.5714285714285714,21,23,10,5,11,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,21,21,21,17,0,0,22,1,29,2,,,,,,,,,,,1103.9512936029707,47.99788233056395,1402.9775770359115,60.99902508851789,,55,07a6ac32e640,-,none
