element,GW,expected_goals
5,2,0.025147
5,3,0.019432
5,4,0.460302
5,6,0.462084
5,8,0.201317
5,9,0.051401
5,18,0.018308
5,19,0.832238
5,20,0.379972
5,21,0.240261
5,22,0.118077
5,24,0.030165
5,26,0.086552
5,28,0.020080
5,30,0.011534
5,32,0.119210
5,33,0.028115
5,35,0.962394
5,36,0.208133
5,37,0.017020
6,5,0.062511
6,11,0.360472
6,22,0.093328
6,27,0.433369
6,28,0.506808
7,1,0.779364
7,2,0.226060
7,3,0.118849
7,5,0.083234
7,6,0.066965
7,7,0.137739
7,8,0.067083
7,9,0.055915
7,10,0.079236
7,11,0.362589
7,12,0.104235
7,14,0.110042
7,24,0.119155
7,25,0.045594
7,30,0.084833
7,35,0.389615
7,36,0.372332
8,2,0.430094
8,3,0.082507
8,4,0.077695
8,6,0.320296
8,7,0.151786
8,10,0.117084
8,12,0.545033
8,13,0.141996
8,15,0.130537
8,16,0.113980
8,17,0.073024
8,19,0.587183
8,22,0.058917
8,24,0.269475
8,28,0.621417
10,16,0.064316
10,32,0.051717
11,1,0.017020
11,14,0.059928
11,15,0.078303
11,22,0.094449
11,32,0.011478
12,5,0.037208
12,19,0.033603
16,1,0.124719
16,2,0.237691
16,5,0.043211
16,6,0.094378
16,7,0.756005
16,8,0.104106
16,9,0.013843
16,10,0.714851
16,11,0.447901
16,12,0.095144
16,13,0.296945
16,14,0.581602
16,15,0.538430
16,16,0.030530
16,17,0.257631
16,18,0.623297
16,19,0.499573
16,20,0.029313
16,21,0.134678
16,22,0.316597
16,23,0.073253
16,26,0.497794
16,27,0.799011
16,28,0.017824
16,29,0.113564
16,30,0.147109
16,34,0.079012
16,35,0.175215
16,36,0.039031
16,37,0.150148
17,1,0.117929
17,2,0.035130
17,14,0.023809
17,15,0.117995
17,16,0.099925
17,18,0.124470
17,19,0.337600
17,20,0.015382
17,23,0.107025
17,26,0.034624
17,34,0.021434
17,37,0.090093
18,3,0.125639
18,5,0.261713
18,14,0.524834
18,15,0.032517
18,20,0.079782
18,22,0.111941
18,25,0.039603
18,26,0.357463
18,30,0.086860
18,34,0.034262
18,38,0.188357
19,1,0.054022
19,5,0.092066
19,6,0.039053
19,8,0.582202
19,13,0.077234
19,14,0.084418
