season,element,club,minutes,exposure,tercile,act90,rec90_fpl,rec90_ust
2025-26,1,1,3330.0,0.000000000,0,0.744864865,0.827702703,0.868659703
2025-26,5,1,2750.0,0.050909091,0,0.720327273,0.848560000,0.871983363
2025-26,6,1,2610.0,0.068965517,1,0.703793103,0.822500000,0.848223879
2025-26,7,1,1697.0,0.575721862,2,0.515497938,0.660598114,0.765980202
2025-26,8,1,2452.0,0.155791191,1,0.640497553,0.755171289,0.802196061
2025-26,32,2,2835.0,0.015873016,0,1.362539683,1.360158730,1.357122746
2025-26,36,2,3016.0,0.194297082,1,1.356266578,1.355009947,1.284811711
2025-26,37,2,1825.0,0.506849315,2,1.370465753,1.303473973,1.351845714
2025-26,38,2,3035.0,0.021416804,0,1.450971993,1.433937397,1.406917779
2025-26,39,2,1560.0,0.538461538,2,1.536923077,1.548910256,1.417947926
2025-26,40,2,1322.0,0.046898638,0,1.590998487,1.625279879,1.485114697
2025-26,41,2,1673.0,0.193066348,1,1.227077107,1.151948595,1.169104226
2025-26,44,2,1023.0,0.648093842,2,1.353079179,1.343118280,1.416070662
2025-26,67,4,3420.0,0.000000000,0,1.492631579,1.511973684,1.411006947
2025-26,72,4,3288.0,0.041970803,0,1.499178832,1.522131995,1.428548784
2025-26,73,4,1039.0,0.480269490,2,1.574783446,1.586592878,1.454321324
2025-26,74,4,3378.0,0.040852575,0,1.449911190,1.501512729,1.402957121
2025-26,77,4,2056.0,0.124513619,1,1.462937743,1.457237354,1.393907542
2025-26,101,5,3330.0,0.000000000,0,1.445405405,1.428108108,1.459413270
2025-26,106,5,2971.0,0.030629418,0,1.439515315,1.385139684,1.381741161
2025-26,107,5,1942.0,0.490216272,2,1.563645726,1.420932029,1.407714408
2025-26,108,5,1789.0,0.245388485,2,1.585187255,1.526931247,1.560751829
2025-26,109,5,1278.0,0.507042254,2,1.683802817,1.466275430,1.471330808
2025-26,110,5,3258.0,0.143646409,1,1.454419890,1.428462247,1.450585066
2025-26,113,5,2761.0,0.022093444,0,1.355704455,1.385335024,1.424393702
2025-26,139,6,3420.0,0.000000000,0,1.291052632,1.285657895,1.300629539
2025-26,145,6,1404.0,0.679487179,2,1.544230769,1.386210826,1.475060102
2025-26,146,6,2837.0,0.016566796,0,1.329221008,1.267842792,1.298155261
2025-26,148,6,3130.0,0.137380192,1,1.282715655,1.276795527,1.280014575
2025-26,151,6,3210.0,0.018691589,0,1.297289720,1.290794393,1.322684220
2025-26,152,6,1044.0,0.396551724,2,1.488793103,1.244533046,1.255421864
2025-26,187,3,3095.0,0.069466882,1,1.963715670,1.955754443,2.043656133
2025-26,190,3,1539.0,0.064327485,1,1.814619883,1.806621183,1.866044745
2025-26,191,3,2933.0,0.110126151,1,2.057756563,2.015901807,2.023241712
2025-26,192,3,1825.0,0.210958904,1,2.116109589,2.108356164,2.085651717
2025-26,193,3,1574.0,0.256670902,2,2.018424396,1.995276366,2.064359742
2025-26,195,3,1405.0,0.103202847,1,1.805765125,1.811288256,1.921959468
2025-26,198,3,1201.0,0.100749376,1,2.225645296,2.147568693,2.155227828
2025-26,220,7,3040.0,0.023026316,0,1.440000000,1.418970395,1.497840566
2025-26,224,7,2706.0,0.135254989,1,1.378603104,1.401603843,1.449283176
2025-26,225,7,1957.0,0.310168625,2,1.322176801,1.406489525,1.481451156
2025-26,226,7,2780.0,0.093525180,1,1.321834532,1.364524281,1.412387467
2025-26,228,7,2255.0,0.600886918,2,1.481906874,1.358862528,1.394700937
2025-26,230,7,1718.0,0.476135041,2,1.352095460,1.283429860,1.351095516
2025-26,253,8,3330.0,0.000000000,0,1.389189189,1.431621622,1.535476811
2025-26,256,8,2400.0,0.175000000,1,1.285500000,1.315143750,1.420345685
2025-26,257,8,3085.0,0.037277147,0,1.284797407,1.370259319,1.462311394
2025-26,258,8,3253.0,0.086996619,1,1.377251768,1.397018137,1.475819423
2025-26,260,13,3150.0,0.000000000,0,1.273714286,1.140571429,1.121099271
2025-26,261,8,2825.0,0.044247788,0,1.312247788,1.329932743,1.408690298
2025-26,287,9,3420.0,0.000000000,0,1.480000000,1.450131579,1.415979197
2025-26,291,9,3330.0,0.000000000,0,1.447027027,1.415810811,1.406522878
2025-26,292,9,2959.0,0.057113890,0,1.472423116,1.434515039,1.414068163
2025-26,293,9,3117.0,0.162656400,1,1.544465833,1.488735964,1.440737940
2025-26,295,9,2587.0,0.060688056,1,1.548821028,1.497734828,1.487620940
2025-26,314,10,3420.0,0.000000000,0,1.387631579,1.368157895,1.438228526
2025-26,316,10,1477.0,0.268788084,2,1.469735951,1.446723087,1.537333621
2025-26,317,10,2882.0,0.031922276,0,1.401526718,1.398376128,1.458388425
2025-26,318,10,2532.0,0.004739336,0,1.351066351,1.308048973,1.373693521
2025-26,319,10,1817.0,0.207484865,1,1.617721519,1.526026417,1.634727139
2025-26,321,10,935.0,0.326203209,2,1.414973262,1.477957219,1.554491466
2025-26,322,10,1784.0,0.192825112,1,1.301065022,1.250190583,1.237550931
2025-26,341,11,1980.0,0.000000000,0,1.289090909,1.314090909,1.294787545
2025-26,342,11,2795.0,0.355992844,2,1.285760286,1.396447227,1.351243915
2025-26,343,11,2935.0,0.049403748,0,1.316115843,1.344385009,1.323476692
2025-26,344,11,1879.0,0.281532730,2,1.507823310,1.693469931,1.523111077
2025-26,347,11,2637.0,0.215017065,1,1.401365188,1.493777019,1.443899964
2025-26,348,11,2952.0,0.054878049,0,1.479878049,1.498726287,1.415550168
2025-26,366,12,2340.0,0.000000000,0,1.137692308,1.110000000,1.074945654
2025-26,370,12,952.0,0.621848739,2,1.226155462,1.204789916,1.273136101
2025-26,371,12,2180.0,0.339449541,2,1.242660550,1.330954128,1.394881467
2025-26,372,12,1164.0,0.690721649,2,1.348453608,1.192774914,1.246135224
2025-26,373,12,3420.0,0.000000000,0,1.253421053,1.265000000,1.328514500
2025-26,374,12,3090.0,0.242718447,2,1.184271845,1.230880259,1.271787499
2025-26,375,12,928.0,0.612068966,2,1.044504310,1.173760776,1.218831237
2025-26,402,13,970.0,0.443298969,2,1.136597938,1.107675258,1.103395480
2025-26,403,13,1370.0,0.211678832,1,1.054379562,1.105812044,1.129231422
2025-26,406,13,1427.0,0.306236861,2,1.317519271,1.363913805,1.359831120
2025-26,407,13,2861.0,0.150646627,1,1.097553303,1.151047711,1.144161892
2025-26,408,13,2139.0,0.074333801,1,1.096914446,1.074029921,1.087430308
2025-26,411,13,2626.0,0.246001523,2,1.198514851,1.177720868,1.161802670
2025-26,436,14,1170.0,0.000000000,0,1.440769231,1.549230769,1.469856308
2025-26,437,14,1227.0,0.193154034,1,1.116381418,1.143732681,1.107024110
2025-26,438,14,970.0,0.721649485,2,1.205257732,1.273525773,1.184053480
2025-26,440,14,2577.0,0.231664726,2,1.277182771,1.259227784,1.237744195
2025-26,441,14,1440.0,0.375000000,2,1.225625000,1.261381944,1.211886804
