season,gw,team,xgc,clean_sheet,element,cf,def,xgc90,opponent,home,strength_cut,strength_end,difficulty_end,difficulty_pit,def_pit,def_moved,ambiguous
2020-21,7,1,1.5588845283611061,1,8,1,1.2,1.299070440300922,13,0,1250,1320,4,4,1.2,0,0
2020-21,7,2,1.062617413786214,0,12,1,0.85,1.2501381338661341,16,1,1090,1060,2,2,0.85,0,0
2020-21,7,3,1.6114747562647243,0,66,1,1.2,1.3428956302206037,17,0,1290,1250,4,4,1.2,0,0
2020-21,7,4,1.4678730261155215,0,85,1,1.2,1.2232275217629347,5,1,1250,1250,4,4,1.2,0,0
2020-21,7,5,0.8819690328720576,1,110,1,0.85,1.0376106269083032,4,0,1100,1070,2,2,0.85,0,0
2020-21,7,6,1.3620062346938775,0,128,1,1,1.3620062346938775,20,0,1210,1110,3,3,1.0,0,0
2020-21,7,7,0.954713748328862,0,156,1,0.85,1.123192645092779,14,0,1130,1070,2,3,1.0,1,0
2020-21,7,9,1.1198420187969926,0,217,1,1,1.1198420187969926,10,0,1130,1170,3,3,1.0,0,0
2020-21,7,10,1.6482263885555768,0,197,1,1.2,1.3735219904629807,9,1,1200,1240,4,3,1.0,1,0
2020-21,7,11,1.3052998655737704,0,255,1,1.2,1.087749887978142,19,1,1140,1230,4,3,1.0,1,0
2020-21,7,12,0.882579945305964,1,278,1,0.85,1.0383293474187811,15,0,1160,1040,2,3,1.0,1,0
2020-21,7,13,1.2296263238866398,0,291,1,1,1.2296263238866398,1,1,1240,1200,3,4,1.2,1,0
2020-21,7,14,1.8996900527648883,0,323,1,1.2,1.5830750439707404,7,1,1200,1250,4,3,1.0,1,0
2020-21,7,15,1.56148243933376,0,347,1,1.2,1.3012353661114668,12,1,1330,1340,4,4,1.2,0,0
2020-21,7,17,1.29371116687737,0,383,1,1,1.29371116687737,3,1,1100,1130,3,2,0.85,1,0
2020-21,7,18,1.309361141133005,0,417,1,0.85,1.5404248719211824,8,0,1020,1100,2,2,0.85,0,0
2020-21,7,19,1.3000911965719684,0,431,1,1,1.3000911965719684,11,0,1350,1210,3,5,1.4,1,0
2020-21,7,20,0.9253445815789472,1,455,1,0.85,1.088640684210526,6,1,1080,1090,2,2,0.85,0,0
2020-21,8,1,1.0511138059720646,0,8,1,0.85,1.2366044776141938,2,1,1130,1100,2,3,1.0,1,0
2020-21,8,2,1.4720206063079777,1,12,1,1.2,1.2266838385899814,1,0,1250,1250,4,4,1.2,0,0
2020-21,8,3,1.1680465299750125,1,66,1,0.85,1.374172388205897,4,1,1060,1060,2,2,0.85,0,0
2020-21,8,5,0.8416924733811962,0,110,1,0.85,0.9902264392719956,15,1,1140,1000,2,3,1.0,1,0
2020-21,8,6,1.3538259523809524,0,128,1,1,1.3538259523809524,10,1,1090,1160,3,2,0.85,1,0
2020-21,8,7,1.4513545625039124,0,156,1,1.2,1.209462135419927,13,1,1220,1250,4,4,1.2,0,0
2020-21,8,8,1.6102148268907566,0,516,1,1.2,1.3418456890756305,19,0,1170,1260,4,3,1.0,1,0
2020-21,8,9,0.9807151115789474,1,217,1,0.85,1.1537824842105264,20,1,1190,1080,2,3,1.0,1,0
2020-21,8,10,1.4683638359541118,0,197,1,1,1.4683638359541118,6,0,1120,1110,3,3,1.0,0,0
2020-21,8,11,1.4443965602914388,0,255,1,1.4,1.0317118287795992,12,0,1350,1360,5,5,1.4,0,0
2020-21,8,12,1.2111378442666416,0,278,1,1.2,1.0092815368888681,11,1,1330,1250,4,4,1.2,0,0
2020-21,8,13,1.2072921578947369,0,291,1,1,1.2072921578947369,7,0,1210,1130,3,3,1.0,0,0
2020-21,8,14,1.3193185248834542,0,323,1,0.85,1.5521394410393579,16,0,1120,1100,2,3,1.0,1,0
2020-21,8,15,1.5967664900448428,0,347,1,1.2,1.3306387417040357,5,0,1280,1280,4,4,1.2,0,0
2020-21,8,16,1.0570403609523806,1,363,1,0.85,1.243576895238095,14,1,1090,1050,2,2,0.85,0,0
2020-21,8,17,1.0432356757227135,1,383,1,0.85,1.2273360890855454,18,0,1040,1040,2,2,0.85,0,0
