sweep,digest,kind,name,value
MINHL#1,ae6ec815e6a5,config,chip_plan.bench_boost_gameweek,8
MINHL#1,ae6ec815e6a5,config,chip_plan.free_hit_gameweek,16
MINHL#1,ae6ec815e6a5,config,chip_plan.triple_captain_gameweek,9
MINHL#1,ae6ec815e6a5,config,chip_plan.wildcard_gameweek,6
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.ARS[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.ARS[0].match_dates,"5 items, sha 3f0a0705"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.ARS[0].note,enters at round three as a European qualifier
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.ARS[0].start_date,2026-09-15
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.AVL[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.AVL[0].match_dates,"5 items, sha 3f0a0705"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.AVL[0].note,enters at round three as a European qualifier
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.AVL[0].start_date,2026-09-15
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.BHA[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.BHA[0].match_dates,"5 items, sha 3f0a0705"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.BHA[0].note,enters at round three as a European qualifier
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.BHA[0].start_date,2026-09-15
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.BOU[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.BOU[0].match_dates,"5 items, sha 3f0a0705"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.BOU[0].note,enters at round three as a European qualifier
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.BOU[0].start_date,2026-09-15
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.BRE[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.BRE[0].match_dates,"6 items, sha f7a87904"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.BRE[0].note,enters at round two
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.BRE[0].start_date,2026-08-26
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.CHE[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.CHE[0].match_dates,"6 items, sha f7a87904"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.CHE[0].note,enters at round two
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.CHE[0].start_date,2026-08-26
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.COV[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.COV[0].match_dates,"6 items, sha f7a87904"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.COV[0].note,enters at round two
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.COV[0].start_date,2026-08-26
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.CRY[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.CRY[0].match_dates,"5 items, sha 3f0a0705"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.CRY[0].note,enters at round three as a European qualifier
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.CRY[0].start_date,2026-09-15
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.EVE[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.EVE[0].match_dates,"6 items, sha f7a87904"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.EVE[0].note,enters at round two
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.EVE[0].start_date,2026-08-26
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.FUL[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.FUL[0].match_dates,"6 items, sha f7a87904"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.FUL[0].note,enters at round two
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.FUL[0].start_date,2026-08-26
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.HUL[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.HUL[0].match_dates,"6 items, sha f7a87904"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.HUL[0].note,enters at round two
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.HUL[0].start_date,2026-08-26
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.IPS[0].competition,League Cup
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.IPS[0].match_dates,"6 items, sha f7a87904"
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.IPS[0].note,enters at round two
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.IPS[0].start_date,2026-08-26
MINHL#1,ae6ec815e6a5,config,congestion.domestic_cup_campaigns.LEE[0].competition,League Cup
