sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,oracle,oracle_kind
VICEXGOFF#1,1786485794-302631,vice off (pre-fix),0,true,2022-23,2021-22,1,38,5,false,2000,1653,42,6,52.63157894736842,43.5,,,,,,,1627,42.81578947368421,1466,38.578947368421055,-,none
VICEXGOFF#1,1786485794-302631,vice off (pre-fix),0,true,2023-24,2022-23,1,38,5,false,2237,1802,37,1,58.86842105263158,47.421052631578945,,,,,,,1780,46.8421052631579,1569,41.28947368421053,-,none
VICEXGOFF#1,1786485794-302631,vice off (pre-fix),0,true,2024-25,2023-24,1,38,5,false,2255,1830,35,2,59.3421052631579,48.1578947368421,,,,,,,1770,46.578947368421055,1643,43.23684210526316,-,none
VICEXGOFF#1,1786485794-302631,vice off (pre-fix),0,true,2025-26,2024-25,1,38,5,false,2113,1512,36,2,55.60526315789474,39.78947368421053,,,,,,,1498,39.421052631578945,1375,36.18421052631579,-,none
VICEXGOFF#1,1786485794-302631,vice off (pre-fix),0,true,2022-23,2021-22,6,33,5,false,1773,1578,38,7,53.72727272727273,47.81818181818182,,,,,,,1441,43.666666666666664,1389,42.09090909090909,-,none
VICEXGOFF#1,1786485794-302631,vice off (pre-fix),0,true,2023-24,2022-23,6,33,5,false,2076,1650,33,2,62.90909090909091,50,,,,,,,1589,48.15151515151515,1417,42.93939393939394,-,none
VICEXGOFF#1,1786485794-302631,vice off (pre-fix),0,true,2024-25,2023-24,6,33,5,false,1936,1748,33,4,58.666666666666664,52.96969696969697,,,,,,,1621,49.121212121212125,1503,45.54545454545455,-,none
VICEXGOFF#1,1786485794-302631,vice off (pre-fix),0,true,2025-26,2024-25,6,33,5,false,1891,1729,31,3,57.303030303030305,52.39393939393939,,,,,,,1607,48.696969696969695,1519,46.03030303030303,-,none
VICEXGOFF#1,1786485794-302631,vice off (pre-fix),0,true,2022-23,2021-22,11,28,5,false,1657,1565,31,5,59.17857142857143,55.892857142857146,,,,,,,1500,53.57142857142857,1385,49.464285714285715,-,none
VICEXGOFF#1,1786485794-302631,vice off (pre-fix),0,true,2023-24,2022-23,11,28,5,false,1719,1411,27,1,61.392857142857146,50.392857142857146,,,,,,,1385,49.464285714285715,1257,44.892857142857146,-,none
