sweep,run_id,key,value
VICEXGOFF#1,1786485794-302631,commit,0104d9d3ea62e64fc2c8f8f2b5a88c4fb1fd3173
VICEXGOFF#1,1786485794-302631,dirty,true
VICEXGOFF#1,1786485794-302631,constants_digest,e96b61fe9477
VICEXGOFF#1,1786485794-302631,bank_up_to,5
VICEXGOFF#1,1786485794-302631,season,2022-23<-2021-22
VICEXGOFF#1,1786485794-302631,season,2023-24<-2022-23
VICEXGOFF#1,1786485794-302631,season,2024-25<-2023-24
VICEXGOFF#1,1786485794-302631,season,2025-26<-2024-25
VICEXGOFF#1,1786485794-302631,start_gw,1
VICEXGOFF#1,1786485794-302631,start_gw,6
VICEXGOFF#1,1786485794-302631,start_gw,11
VICEXGOFF#1,1786485794-302631,start_gw,16
VICEXGOFF#1,1786485794-302631,start_gw,21
VICEXGOFF#1,1786485794-302631,start_gw,26
VICEXGOFF#1,1786485794-302631,declared_arm,0	vice off (pre-fix)
VICEXGOFF#1,1786485794-302631,declared_arm,1	vice on (ships)
VICEXGOFF#1,1786485794-302631,constant,chip_plan.bench_boost_gameweek	8
VICEXGOFF#1,1786485794-302631,constant,chip_plan.free_hit_gameweek	16
VICEXGOFF#1,1786485794-302631,constant,chip_plan.triple_captain_gameweek	9
VICEXGOFF#1,1786485794-302631,constant,chip_plan.wildcard_gameweek	6
VICEXGOFF#1,1786485794-302631,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
VICEXGOFF#1,1786485794-302631,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
VICEXGOFF#1,1786485794-302631,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
VICEXGOFF#1,1786485794-302631,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
VICEXGOFF#1,1786485794-302631,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
VICEXGOFF#1,1786485794-302631,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
VICEXGOFF#1,1786485794-302631,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
VICEXGOFF#1,1786485794-302631,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
VICEXGOFF#1,1786485794-302631,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
VICEXGOFF#1,1786485794-302631,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
