sweep,run_id,key,value
ORACLEARMBAND#1,1786398442-58420,commit,407fac6ca9f7220bc2688c1effadaba4aa231ad7
ORACLEARMBAND#1,1786398442-58420,dirty,true
ORACLEARMBAND#1,1786398442-58420,constants_digest,78a58b3f4253
ORACLEARMBAND#1,1786398442-58420,bank_up_to,5
ORACLEARMBAND#1,1786398442-58420,season,2022-23<-2021-22
ORACLEARMBAND#1,1786398442-58420,season,2023-24<-2022-23
ORACLEARMBAND#1,1786398442-58420,season,2024-25<-2023-24
ORACLEARMBAND#1,1786398442-58420,season,2025-26<-2024-25
ORACLEARMBAND#1,1786398442-58420,start_gw,1
ORACLEARMBAND#1,1786398442-58420,start_gw,6
ORACLEARMBAND#1,1786398442-58420,start_gw,11
ORACLEARMBAND#1,1786398442-58420,start_gw,16
ORACLEARMBAND#1,1786398442-58420,start_gw,21
ORACLEARMBAND#1,1786398442-58420,start_gw,26
ORACLEARMBAND#1,1786398442-58420,declared_arm,0	real (ships)
ORACLEARMBAND#1,1786398442-58420,declared_arm,1	ORACLE[decision:armband] perfect armband
ORACLEARMBAND#1,1786398442-58420,constant,chip_plan.bench_boost_gameweek	8
ORACLEARMBAND#1,1786398442-58420,constant,chip_plan.free_hit_gameweek	16
ORACLEARMBAND#1,1786398442-58420,constant,chip_plan.triple_captain_gameweek	9
ORACLEARMBAND#1,1786398442-58420,constant,chip_plan.wildcard_gameweek	6
ORACLEARMBAND#1,1786398442-58420,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
ORACLEARMBAND#1,1786398442-58420,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
ORACLEARMBAND#1,1786398442-58420,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
ORACLEARMBAND#1,1786398442-58420,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
ORACLEARMBAND#1,1786398442-58420,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
ORACLEARMBAND#1,1786398442-58420,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
ORACLEARMBAND#1,1786398442-58420,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
ORACLEARMBAND#1,1786398442-58420,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
ORACLEARMBAND#1,1786398442-58420,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
ORACLEARMBAND#1,1786398442-58420,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
ORACLEARMBAND#1,1786398442-58420,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
ORACLEARMBAND#1,1786398442-58420,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
ORACLEARMBAND#1,1786398442-58420,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
ORACLEARMBAND#1,1786398442-58420,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
ORACLEARMBAND#1,1786398442-58420,constant,congestion.domestic_cup_campaigns.BOU[0].note	enters at round three as a European qualifier
ORACLEARMBAND#1,1786398442-58420,constant,congestion.domestic_cup_campaigns.BOU[0].start_date	2026-09-15
ORACLEARMBAND#1,1786398442-58420,constant,congestion.domestic_cup_campaigns.BRE[0].competition	League Cup
ORACLEARMBAND#1,1786398442-58420,constant,"congestion.domestic_cup_campaigns.BRE[0].match_dates	6 items, sha f7a87904"
ORACLEARMBAND#1,1786398442-58420,constant,congestion.domestic_cup_campaigns.BRE[0].note	enters at round two
