sweep,run_id,key,value
ORACLEMINUTES#1,1786410044-73049,commit,9cbd92ca98991e47fb013de6b0734f1c5411618f
ORACLEMINUTES#1,1786410044-73049,dirty,false
ORACLEMINUTES#1,1786410044-73049,constants_digest,78a58b3f4253
ORACLEMINUTES#1,1786410044-73049,bank_up_to,5
ORACLEMINUTES#1,1786410044-73049,season,2022-23<-2021-22
ORACLEMINUTES#1,1786410044-73049,season,2023-24<-2022-23
ORACLEMINUTES#1,1786410044-73049,season,2024-25<-2023-24
ORACLEMINUTES#1,1786410044-73049,season,2025-26<-2024-25
ORACLEMINUTES#1,1786410044-73049,start_gw,1
ORACLEMINUTES#1,1786410044-73049,start_gw,6
ORACLEMINUTES#1,1786410044-73049,start_gw,11
ORACLEMINUTES#1,1786410044-73049,start_gw,16
ORACLEMINUTES#1,1786410044-73049,start_gw,21
ORACLEMINUTES#1,1786410044-73049,start_gw,26
ORACLEMINUTES#1,1786410044-73049,declared_arm,0	real (ships)
ORACLEMINUTES#1,1786410044-73049,declared_arm,1	ORACLE[info:minutes] perfect minutes
ORACLEMINUTES#1,1786410044-73049,constant,chip_plan.bench_boost_gameweek	8
ORACLEMINUTES#1,1786410044-73049,constant,chip_plan.free_hit_gameweek	16
ORACLEMINUTES#1,1786410044-73049,constant,chip_plan.triple_captain_gameweek	9
ORACLEMINUTES#1,1786410044-73049,constant,chip_plan.wildcard_gameweek	6
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
ORACLEMINUTES#1,1786410044-73049,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
ORACLEMINUTES#1,1786410044-73049,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
ORACLEMINUTES#1,1786410044-73049,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
ORACLEMINUTES#1,1786410044-73049,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.BOU[0].note	enters at round three as a European qualifier
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.BOU[0].start_date	2026-09-15
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.BRE[0].competition	League Cup
ORACLEMINUTES#1,1786410044-73049,constant,"congestion.domestic_cup_campaigns.BRE[0].match_dates	6 items, sha f7a87904"
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.BRE[0].note	enters at round two
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.BRE[0].start_date	2026-08-26
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.CHE[0].competition	League Cup
ORACLEMINUTES#1,1786410044-73049,constant,"congestion.domestic_cup_campaigns.CHE[0].match_dates	6 items, sha f7a87904"
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.CHE[0].note	enters at round two
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.CHE[0].start_date	2026-08-26
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.COV[0].competition	League Cup
ORACLEMINUTES#1,1786410044-73049,constant,"congestion.domestic_cup_campaigns.COV[0].match_dates	6 items, sha f7a87904"
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.COV[0].note	enters at round two
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.COV[0].start_date	2026-08-26
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.CRY[0].competition	League Cup
ORACLEMINUTES#1,1786410044-73049,constant,"congestion.domestic_cup_campaigns.CRY[0].match_dates	5 items, sha 3f0a0705"
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.CRY[0].note	enters at round three as a European qualifier
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.CRY[0].start_date	2026-09-15
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.EVE[0].competition	League Cup
ORACLEMINUTES#1,1786410044-73049,constant,"congestion.domestic_cup_campaigns.EVE[0].match_dates	6 items, sha f7a87904"
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.EVE[0].note	enters at round two
ORACLEMINUTES#1,1786410044-73049,constant,congestion.domestic_cup_campaigns.EVE[0].start_date	2026-08-26
