sweep,run_id,key,value
ORACLEPRICES#1,1786410339-75394,commit,9cbd92ca98991e47fb013de6b0734f1c5411618f
ORACLEPRICES#1,1786410339-75394,dirty,true
ORACLEPRICES#1,1786410339-75394,constants_digest,78a58b3f4253
ORACLEPRICES#1,1786410339-75394,bank_up_to,5
ORACLEPRICES#1,1786410339-75394,season,2022-23<-2021-22
ORACLEPRICES#1,1786410339-75394,season,2023-24<-2022-23
ORACLEPRICES#1,1786410339-75394,season,2024-25<-2023-24
ORACLEPRICES#1,1786410339-75394,season,2025-26<-2024-25
ORACLEPRICES#1,1786410339-75394,start_gw,1
ORACLEPRICES#1,1786410339-75394,start_gw,6
ORACLEPRICES#1,1786410339-75394,start_gw,11
ORACLEPRICES#1,1786410339-75394,start_gw,16
ORACLEPRICES#1,1786410339-75394,start_gw,21
ORACLEPRICES#1,1786410339-75394,start_gw,26
ORACLEPRICES#1,1786410339-75394,declared_arm,0	real prices (ships)
ORACLEPRICES#1,1786410339-75394,declared_arm,1	ORACLE[info:prices] perfect timing
ORACLEPRICES#1,1786410339-75394,constant,chip_plan.bench_boost_gameweek	8
ORACLEPRICES#1,1786410339-75394,constant,chip_plan.free_hit_gameweek	16
ORACLEPRICES#1,1786410339-75394,constant,chip_plan.triple_captain_gameweek	9
ORACLEPRICES#1,1786410339-75394,constant,chip_plan.wildcard_gameweek	6
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.ARS[0].competition	League Cup
ORACLEPRICES#1,1786410339-75394,constant,"congestion.domestic_cup_campaigns.ARS[0].match_dates	5 items, sha 3f0a0705"
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.ARS[0].note	enters at round three as a European qualifier
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.ARS[0].start_date	2026-09-15
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.AVL[0].competition	League Cup
ORACLEPRICES#1,1786410339-75394,constant,"congestion.domestic_cup_campaigns.AVL[0].match_dates	5 items, sha 3f0a0705"
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.AVL[0].note	enters at round three as a European qualifier
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.AVL[0].start_date	2026-09-15
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.BHA[0].competition	League Cup
ORACLEPRICES#1,1786410339-75394,constant,"congestion.domestic_cup_campaigns.BHA[0].match_dates	5 items, sha 3f0a0705"
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.BHA[0].note	enters at round three as a European qualifier
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.BHA[0].start_date	2026-09-15
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.BOU[0].competition	League Cup
ORACLEPRICES#1,1786410339-75394,constant,"congestion.domestic_cup_campaigns.BOU[0].match_dates	5 items, sha 3f0a0705"
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.BOU[0].note	enters at round three as a European qualifier
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.BOU[0].start_date	2026-09-15
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.BRE[0].competition	League Cup
ORACLEPRICES#1,1786410339-75394,constant,"congestion.domestic_cup_campaigns.BRE[0].match_dates	6 items, sha f7a87904"
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.BRE[0].note	enters at round two
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.BRE[0].start_date	2026-08-26
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.CHE[0].competition	League Cup
ORACLEPRICES#1,1786410339-75394,constant,"congestion.domestic_cup_campaigns.CHE[0].match_dates	6 items, sha f7a87904"
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.CHE[0].note	enters at round two
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.CHE[0].start_date	2026-08-26
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.COV[0].competition	League Cup
ORACLEPRICES#1,1786410339-75394,constant,"congestion.domestic_cup_campaigns.COV[0].match_dates	6 items, sha f7a87904"
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.COV[0].note	enters at round two
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.COV[0].start_date	2026-08-26
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.CRY[0].competition	League Cup
ORACLEPRICES#1,1786410339-75394,constant,"congestion.domestic_cup_campaigns.CRY[0].match_dates	5 items, sha 3f0a0705"
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.CRY[0].note	enters at round three as a European qualifier
ORACLEPRICES#1,1786410339-75394,constant,congestion.domestic_cup_campaigns.CRY[0].start_date	2026-09-15
